"FirstName","Surname","PositionsList","Team","Cost","PointsLastRound","TotalPoints","TransfersOut","YellowCards","GoalsConceded","GoalsConcededPoints","GoalsScored","GoalsScoredPoints","TransfersOutRound","PriceRise","PriceFallRound","LastSeasonPoints","PriceFall","PenaltiesMissed","Form","Bonus","CleanSheets","CleanSheetPoints","Assists","SelectedByPercent","TransfersIn","OwnGoals","MinutesPlayed","TransfersInRound","PriceRiseRound","RedCards","Week","Season"
"Sergio","Aguero","FWD","MCI",11500000,0,169,4192169,2,12,0,21,0,0,0,0,169,0,0,0,22,13,0,6,10.7,4137173,0,1960,0,0,0,"37",2017
"Nathan","Ake","DEF","BOU",5e+06,2,102,550652,5,59,0,2,0,0,0,0,102,0,0,0,8,6,0,3,6.1,473457,0,3352,0,0,0,"37",2017
"Marc","Albrighton","MID","LEI",5500000,0,107,469984,5,42,0,2,0,0,0,0,107,0,0,0,12,8,0,8,2.2,480100,0,2533,0,0,1,"37",2017
"Joe","Allen","MID","STK",5100000,1,109,260198,8,55,0,2,0,0,-4,0,109,4,0,0,12,6,0,6,1.7,132625,0,3139,0,0,0,"37",2017
"Bamidele","Alli","MID","TOT",9e+06,1,175,2312061,7,28,0,9,0,0,-5,0,175,5,0,0,12,16,0,13,13.8,1310914,0,2957,0,0,0,"37",2017
"Marcos","Alonso","DEF","CHE",7100000,0,165,1821079,6,30,0,7,0,0,1,0,165,-1,0,0,15,13,0,2,16.2,1720420,0,2855,0,0,0,"37",2017
"Marko","Arnautovic","MID","WHU",7100000,12,144,1122460,5,50,0,11,0,0,1,0,144,-1,0,0,12,7,0,7,7.6,1535109,0,2309,0,0,1,"37",2017
"Cesar","Azpilicueta","DEF","CHE",6900000,1,175,1138791,1,38,0,2,0,0,4,0,175,-4,0,0,25,15,0,6,21,1565365,1,3330,0,0,0,"37",2017
"Hector","Bellerin","DEF","ARS",5900000,6,132,960552,5,44,0,2,0,0,-1,0,132,1,0,0,11,12,0,4,10.3,748052,0,3050,0,0,0,"37",2017
NA,"Bernardo Silva","MID","MCI",7200000,3,112,224703,0,10,0,6,0,0,-8,0,112,8,0,0,8,9,0,5,1.4,188040,0,1514,0,0,0,"37",2017
