FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,7029,0,0,0,0,0,0,0,0,476,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1017,0,0,0,0,0,25,0,0,0,West Ham,Liverpool,Southampton,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,7,15,3,6.66666666666667E-07,3.33333333333333E-06,0,19965,0,6,0,0,0,1,0,3.3,2682,0,0,15,0,0.5,0,2.3,0,0,1,0,0,0.8,28719,0,0,0,0,409,11527,0,1,75,Burnley,Crystal Palace,Watford,Southampton,Fulham,3,2.3,1.7,2.8,1.6,3,2.1,2.4,1.6,3.8,3.6,2.2,4.2,2.9,2.9,2.6,2.4,2.9,3.5,3,1.8,3.9,1.8,2.9,3,3,2.4,3.7,1.8,2.9,2.3,3.7,4.1,13.9
,Adrian,GLK,WHU,4400000,0,0,0,0,0,0,8622,0,0,0,0,0,0,0,0,949,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,708,0,0,0,0,0,106,0,0,0,Chelsea,Man Utd,Brighton,Tottenham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11400000,7,37,7.4,6.49122807017544E-07,3.24561403508772E-06,0,335889,0,3,0,0,0,3,0,3.2,176027,4,0,37,-4,0.4,0,5,4,0,1,0,4,50.9,1328599,0,0,0,1,386,98381,0,0,136,Cardiff City,Brighton,Liverpool,Burnley,Tottenham,8.3,11.1,7.6,9.7,9.8,9.4,9.1,10.1,11.1,9.4,8.6,10.1,7.2,8.8,10.3,9.8,10,10.1,9.8,9.6,9.1,9.6,9.6,8.4,9.4,10.9,9.3,10.5,11.1,9.6,10.1,10.9,8.4,60.7
Nathan,Ake,DEF,BOU,5000000,1,20,4,8E-07,4E-06,0,71745,0,7,0,0,0,1,0,4,10669,0,0,20,0,0.7,0,3.3,3,0,1,0,0,4.6,95291,0,0,0,0,450,9740,0,0,82,Burnley,Crystal Palace,Watford,Southampton,Fulham,4.5,3.6,2.8,4.4,2.6,4.6,3.3,3.8,2.5,5.6,5.3,3.5,6,4.4,4.5,4.1,3.7,4.4,5.3,4,2.9,5.7,2.9,4.5,4.6,4.6,3.8,5.5,3,4.5,3.6,5.5,5.9,14.7
Marc,Albrighton,MID,LEI,5300000,6,13,2.6,4.90566037735849E-07,2.45283018867925E-06,0,31914,0,3,0,0,0,1,0,2.5,2517,-2,0,13,2,0.8,0,4,0,0,0,0,1,0.6,6511,0,0,0,0,171,3699,0,0,54,Huddersfield,Newcastle,Everton,Arsenal,West Ham,2.8,2.6,2.2,1.9,2.2,1.7,2.6,1.5,2.2,1.7,1.8,3.9,1.3,1.9,2.8,1.7,2.3,1.7,1.3,1.9,1.6,2.3,3.1,1.8,2.5,2.4,3.1,2.6,3,2,2,1.3,1.5,14.3
Toby,Alderweireld,DEF,TOT,5900000,1,10,2.5,4.23728813559322E-07,1.69491525423729E-06,0,65840,0,5,0,0,0,0,0,1.7,5720,-1,0,10,1,0.5,0,2.7,0,0,1,0,0,2.6,16603,0,0,0,0,350,2792,0,0,81,Brighton,Huddersfield,Cardiff City,West Ham,Man City,2,3.1,3.3,2.3,1.7,2.4,3.8,2.2,2,1.6,2.6,2.3,2.5,1.9,2.5,3,1.7,1.8,1.5,1.7,2.8,3,2.5,1.3,2.4,1.2,1.9,2.7,2.4,1.7,1.6,1.3,2.1,11.4
Trent,Alexander-Arnold,DEF,LIV,5000000,6,23,4.6,9.2E-07,4.6E-06,0,282058,3,1,0,0,0,0,0,4.6,26149,0,0,23,0,0.9,0,4.3,0,0,4,0,0,16.9,337129,0,0,0,0,445,89326,0,0,104,Southampton,Chelsea,Man City,Huddersfield,Cardiff City,5,5.2,5.2,6,6.9,4.2,5.2,4.1,6,6,2.8,5.3,4.9,5.3,4.4,3.7,4.3,4.2,6.9,4.8,5.6,6,4.7,5.1,6.3,3.7,6.3,5,6.1,5.2,6.2,4.7,6.6,17.9
,Alisson,GLK,LIV,5600000,2,24,4.8,8.57142857142857E-07,4.28571428571429E-06,0,177317,0,2,0,12,0,0,0,4.3,28122,1,0,24,-1,0.7,0,3.7,1,0,3,0,0,19,332708,0,0,0,0,450,36191,0,0,109,Southampton,Chelsea,Man City,Huddersfield,Cardiff City,5.4,5.6,5.5,6.2,7.2,4.5,5.5,4.4,6.4,6.2,3,5.7,5.2,5.6,4.7,4,4.5,4.5,7.2,5.1,6,6.3,5,5.5,6.5,4,6.6,5.4,6.4,5.4,6.5,5,6.9,8.9
Bamidele,Alli,MID,TOT,9000000,0,19,4.8,5.33333333333333E-07,2.11111111111111E-06,0,315509,0,4,0,0,0,1,0,2.1,67786,0,1,19,0,0.2,0,1.7,2,0,1,0,1,4,255077,0,0,0,0,349,727,-1,0,69,Brighton,Huddersfield,Cardiff City,West Ham,Man City,0,6.9,5.9,6.1,4.2,5.3,7.2,3.4,5.8,4.9,4.6,5.4,5.4,6.3,5.5,5.4,4.2,5.4,4.7,5.9,5.1,6.7,4.2,4.3,6.5,4.8,3.7,6.3,5.7,4.4,4.7,5,4.7,34.5
