FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,7851,0,0,0,0,0,0,0,0,118,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1066,0,0,0,0,0,16,0,0,0,Burnley,Crystal Palace,Everton,Tottenham,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,6,30,3.3,7.33333333333333E-07,6.66666666666667E-06,0,29265,0,9,0,0,0,1,0,6.7,2063,0,0,30,0,1,0,4.7,0,0,3,0,0,0.9,44060,0,0,0,0,756,4560,0,1,144,Fulham,Man Utd,Newcastle,Arsenal,Man City,2.2,3.8,3.1,2.6,2.3,4.2,4.1,3.4,4.5,3.3,3.3,3.4,2.7,4,3.9,3.4,2.9,4.1,1.7,3.6,4.2,3.2,2.5,3.6,2.7,3.4,3,3.8,3.7,24.4
,Adrian,GLK,WHU,4400000,0,0,0,0,0,0,11244,0,0,0,0,0,0,0,0,441,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,1108,0,0,0,0,0,77,0,0,0,Leicester,Burnley,Huddersfield,Man City,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11300000,6,58,6.4,5.66371681415929E-07,5.13274336283186E-06,0,754734,1,3,0,0,0,6,0,5.1,109001,3,0,58,-3,0.4,0,5,6,0,5,0,4,50.6,1757897,0,0,0,1,641,70005,0,0,223,Tottenham,Southampton,Man Utd,West Ham,Bournemouth,6.9,8.8,8.6,7.8,9.4,8,7.2,9.6,7.2,7.8,8.1,7.6,7.4,8.9,8.8,9.1,7.4,7.1,9.1,7,8.8,8.4,7.7,9.5,8.8,7.3,7.7,9.2,7.2,104.8
Nathan,Ake,DEF,BOU,5000000,6,34,3.8,7.6E-07,6.8E-06,0,109948,0,12,0,0,0,1,0,6.8,5209,0,0,34,0,0.9,0,4.7,3,0,3,0,0,4.5,123046,0,0,0,0,810,7712,0,0,166,Fulham,Man Utd,Newcastle,Arsenal,Man City,2.8,4.6,3.9,3.3,2.9,5.1,4.9,4.1,5.4,4.1,4.1,4.2,3.4,4.9,4.7,4.2,3.6,5,2.1,4.4,5.1,3.9,3.1,4.5,3.4,4.2,3.7,4.7,4.5,34.8
Marc,Albrighton,MID,LEI,5200000,0,16,1.77777777777778,3.41880341880342E-07,3.07692307692308E-06,0,42616,1,6,0,0,0,1,0,3.1,1991,-3,0,16,3,0.1,0,0.7,0,0,0,0,1,0.5,8752,0,0,0,0,252,290,0,0,63,West Ham,Cardiff City,Burnley,Brighton,Watford,1.3,0.9,1.4,0.9,1.1,1,0.9,2,0.9,0.9,1.4,0.9,1.5,1.1,0.9,0.9,0.9,1.4,1.5,1,1.3,1,1.4,1.7,1.4,1,1.1,0.9,0.9,17.5
Toby,Alderweireld,DEF,TOT,5900000,7,30,3.8,6.44067796610169E-07,5.08474576271186E-06,0,83236,1,6,0,0,0,0,0,5.1,4969,-1,0,30,1,1,0,6,1,0,4,0,0,2.7,41049,0,0,0,0,710,2857,0,0,175,Man City,Wolverhampton,Crystal Palace,Chelsea,Arsenal,3.9,4.8,5.1,4.1,2.7,4,3.8,3.9,4.1,3.5,4.4,4.9,4,3.5,3.6,3.3,3.8,3.7,4.9,2.7,4.4,3.2,4.3,4.9,4.5,3.6,4.3,2.8,4.8,22
Trent,Alexander-Arnold,DEF,LIV,5100000,0,36,5.1,1E-06,7.05882352941176E-06,0,549829,3,2,0,0,0,0,0,6.9,165294,1,1,36,-1,0.1,0,0.7,2,0,5,0,1,18.6,707626,0,0,0,1,625,11404,-1,0,147,Cardiff City,Arsenal,Fulham,Watford,Everton,7.5,3.9,6.1,5.6,7.5,5.2,4,6.6,6.6,5.7,4.8,5.1,5.7,5.6,6.3,6.1,5.9,6.6,6,5.7,6.4,4.9,6.7,6.1,6.7,6.1,6.5,6.3,7,28.2
,Alisson,GLK,LIV,5600000,6,45,5,8.92857142857143E-07,8.03571428571429E-06,0,263031,0,3,0,19,0,0,0,8,11664,1,0,45,-1,0.9,0,5,1,0,6,0,0,20.7,498361,0,0,0,0,810,65772,0,0,194,Cardiff City,Arsenal,Fulham,Watford,Everton,7.4,3.8,5.9,5.5,7.3,5,3.9,6.4,6.5,5.5,4.7,4.9,5.6,5.4,6.1,6,5.7,6.5,5.8,5.5,6.2,4.8,6.5,6,6.6,6,6.4,6.2,6.8,16.2
Bamidele,Alli,MID,TOT,8900000,0,20,2.22222222222222,2.49687890137328E-07,2.24719101123596E-06,0,406958,0,5,0,0,0,1,0,2.2,7828,-1,1,20,1,0,0,0,2,0,1,0,1,2.6,271131,0,0,0,0,361,246,-1,0,72,Man City,Wolverhampton,Crystal Palace,Chelsea,Arsenal,0,1.8,2.9,1.1,1.5,1.9,1.5,1.8,1.2,1.8,1.6,1.5,1.2,1.6,1.5,1.7,1.6,1.7,1.3,1.4,2.1,1.8,1.2,1.9,1.8,1.1,1.6,1.5,1.6,35.2
