FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8075,0,0,0,0,0,0,0,0,61,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1095,0,0,0,0,0,10,0,0,0,Tottenham,Fulham,Wolverhampton,Man City,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,1,37,3.1,6.88888888888889E-07,8.22222222222222E-06,0,54979,1,12,0,0,0,1,0,8.2,19472,0,0,37,0,0.5,0,2.3,0,0,4,0,0,0.7,59924,0,0,0,0,965,216,0,1,184,Arsenal,Man City,Huddersfield,Liverpool,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,1.9,3,3.8,2.8,2.9,3,2.7,3.2,2.6,3.2,3.5,29.4
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,12501,0,0,0,0,0,0,0,0,358,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,1450,0,0,0,0,0,151,0,0,0,Man City,Newcastle,Cardiff City,Crystal Palace,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11500000,7,80,6.7,5.82608695652174E-07,6.95652173913044E-06,0,932304,2,5,0,0,0,8,0,7,13001,5,-1,80,-5,0.6,0,7.3,9,0,6,0,6,54.2,2134368,0,0,0,2,875,179053,1,0,308,West Ham,Bournemouth,Watford,Chelsea,Everton,8.6,9.3,8,8,9.8,8.2,8.6,8.5,8.3,8.5,8.7,8.9,9.3,7.4,7.6,9.3,8.2,9.4,8.8,8.4,9.7,9.7,7.2,8.6,8.9,7.7,138.9
Nathan,Ake,DEF,BOU,5000000,1,43,3.6,7.2E-07,8.6E-06,0,138725,0,16,0,0,0,1,0,8.6,13990,0,0,43,0,0.6,0,3,4,0,4,0,0,4.9,174899,0,0,0,0,1080,9210,0,0,228,Arsenal,Man City,Huddersfield,Liverpool,Wolverhampton,2.9,3.1,5,4.8,3.8,5.2,4.5,4,4.2,3.8,4.1,4,4.3,3.8,4.4,2.4,3.8,4.6,3.5,3.6,3.8,3.4,4,3.3,3.9,4.4,48
Marc,Albrighton,MID,LEI,5200000,1,22,1.83333333333333,3.52564102564103E-07,4.23076923076923E-06,0,46829,1,7,0,0,0,1,0,4.2,1332,-3,0,22,3,0.4,0,2,0,0,1,0,1,0.4,11174,0,0,0,0,491,456,0,0,99,Brighton,Watford,Fulham,Tottenham,Crystal Palace,1,1.2,1.2,0.9,1.9,0.9,0.9,1.3,0.9,1.5,1.2,0.9,0.9,1.2,1.2,1.6,1,1.4,1.3,1.2,1.5,1.4,1.2,1.1,0.9,0.9,42.7
Toby,Alderweireld,DEF,TOT,5900000,7,40,3.6,6.10169491525424E-07,6.77966101694915E-06,0,95195,1,9,0,0,0,0,0,6.8,3851,-1,0,40,1,0.6,0,3.3,2,0,5,0,0,2.9,57818,0,0,0,0,980,10573,0,0,235,Chelsea,Arsenal,Southampton,Leicester,Burnley,3.2,3,3.1,4.2,3.1,4.4,2.6,3.7,4.9,3.5,3.8,3.4,2.8,3.2,4,4.8,2.3,3.9,2.9,4.5,4.5,4.3,3.7,3.4,3.2,4.4,32.3
Trent,Alexander-Arnold,DEF,LIV,5100000,11,51,5.1,1E-06,1E-05,0,675566,3,4,0,0,0,0,0,10.2,15188,1,-1,51,-1,1,0,5,4,0,6,0,2,20.8,952730,0,0,0,2,895,196030,1,0,219,Watford,Everton,Burnley,Bournemouth,Man Utd,5.3,7.6,5.5,4.4,6.9,6.1,6,5.1,5.1,5.5,6.1,6.5,5.8,5.7,6.4,6.9,5.8,6.4,5.3,6.5,5.3,6.6,6,7.1,5.5,7.1,48.3
,Alisson,GLK,LIV,5700000,7,57,4.8,8.42105263157895E-07,1E-05,0,352156,0,5,0,25,0,0,0,10,19612,2,0,57,-2,0.7,0,4,1,0,7,0,0,20.2,566774,0,0,0,0,1080,16195,0,0,244,Watford,Everton,Burnley,Bournemouth,Man Utd,4.9,7.2,5,4,6.4,5.6,5.5,4.7,4.7,5.1,5.6,6,5.3,5.3,5.9,6.3,5.4,5.9,4.8,6,4.9,6.1,5.6,6.7,5,6.6,20.9
Bamidele,Alli,MID,TOT,8900000,3,24,2,2.24719101123596E-07,2.69662921348315E-06,0,418464,0,5,0,0,0,1,0,2.7,3284,-1,0,24,1,0.1,0,1.3,2,0,2,0,1,2.6,280907,0,0,0,0,466,2475,0,0,92,Chelsea,Arsenal,Southampton,Leicester,Burnley,1,1.4,1.5,1.5,1.2,1.1,1.1,1.2,1.4,1,1.6,1.2,1.3,1,1.7,1.2,1,1.9,1.2,1,1.6,1.4,1,1.1,1.4,1.1,39
