FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8250,0,0,0,0,0,0,0,0,30,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1123,0,0,0,0,0,8,0,0,0,Leicester,Watford,Crystal Palace,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4400000,0,37,3.1,7.04545454545455E-07,8.40909090909091E-06,0,73398,1,12,0,0,0,1,0,8.4,1616,-1,0,37,1,0,0,0,0,0,4,0,0,0.4,60068,0,0,0,0,965,26,0,1,184,Brighton,Tottenham,Man Utd,Watford,Everton,0,0,0,0,0,0,0,0,0,3.6,1.9,3.3,4.1,2.5,2.7,3.4,2.6,3.2,2.4,3.3,3.3,29.4
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,13739,0,0,0,0,0,0,0,0,255,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,2125,0,0,0,0,0,163,0,0,0,Watford,Southampton,Burnley,Brighton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11200000,0,82,6.3,5.625E-07,7.32142857142857E-06,0,2889469,2,5,0,0,0,8,0,7.3,39066,2,0,82,-2,0,0,0.4,9,0,7,0,6,23.3,2288269,0,0,0,2,955,75974,0,0,316,Crystal Palace,Leicester,Southampton,Liverpool,Wolverhampton,8,7.6,7.6,7.6,8.1,8.1,8.6,9.1,7.8,6.8,8.5,7.7,9,7.9,7.5,9.4,7.6,7.4,7.5,8.7,7.1,141.8
Nathan,Ake,DEF,BOU,5000000,1,46,2.7,5.4E-07,9.2E-06,0,184713,2,28,0,0,0,1,0,9.2,7624,0,0,46,0,0.1,0,0.6,4,0,4,0,0,4.6,202682,0,0,0,0,1530,10314,0,0,286,Brighton,Tottenham,Man Utd,Watford,Everton,3.3,2.7,2.3,2.9,2.6,2.3,3.1,3,2.3,2.9,1.5,2.7,3.4,2,2.2,2.7,2.1,2.6,1.9,2.7,2.7,64.1
Marc,Albrighton,MID,LEI,5100000,2,33,1.94117647058824,3.80622837370242E-07,6.47058823529412E-06,0,51373,3,11,0,0,0,1,0,6.5,947,-4,0,33,4,0.4,0,2.2,0,0,2,0,2,0.4,13830,0,0,0,0,883,242,0,0,153,Chelsea,Man City,Cardiff City,Everton,Southampton,1,1,1.5,1,1.7,1.3,1,1.2,1,1.3,1.7,1.1,1.7,1.3,1.5,1.6,1.5,1.2,1.3,1,1,60
Toby,Alderweireld,DEF,TOT,5900000,9,59,3.9,6.61016949152542E-07,1E-05,0,117592,1,11,0,0,0,0,0,10,6018,-1,0,59,1,0.6,0,3.8,5,0,7,0,0,4,142517,0,0,0,1,1340,23345,0,0,319,Everton,Bournemouth,Wolverhampton,Cardiff City,Man Utd,4.8,3.5,4.5,4.9,4.1,3.9,4.4,3.2,4.1,4,5,3.2,3.9,4.3,4.4,5,4.9,4,3.6,3.5,5.7,45.9
Trent,Alexander-Arnold,DEF,LIV,5200000,0,73,5.6,1.07692307692308E-06,1.40384615384615E-05,0,1341525,3,5,0,0,0,1,0,13.8,286354,2,1,73,-2,0.8,0,4.4,6,0,8,0,2,19.9,1578316,0,0,0,3,1142,5304,-1,0,284,Wolverhampton,Newcastle,Arsenal,Man City,Brighton,0,0,6.1,6.2,6.4,7.5,7.4,6.7,6.6,6.8,7.8,6.4,7.6,6,7.4,6,7.8,6.6,7.5,6.8,7.8,64.6
,Alisson,GLK,LIV,5800000,2,83,4.9,8.44827586206897E-07,1.43103448275862E-05,0,414697,0,7,0,38,0,0,0,14.6,11429,3,-1,83,-3,0.9,0,5.2,3,0,10,0,0,21.8,705442,0,0,0,0,1530,34752,1,0,353,Wolverhampton,Newcastle,Arsenal,Man City,Brighton,6,5.1,5,5.1,5.2,6.4,6.2,5.6,5.4,5.6,6.5,5.6,6.3,4.9,6.2,4.9,6.9,5.7,6.6,5.7,6.7,30
Bamidele,Alli,MID,TOT,8900000,3,51,3,3.37078651685393E-07,5.73033707865169E-06,0,459175,1,11,0,0,0,3,0,5.7,15191,-1,0,51,1,0.6,0,5.4,6,0,4,0,2,3.6,375111,0,0,0,1,821,7896,0,0,184,Everton,Bournemouth,Wolverhampton,Cardiff City,Man Utd,2,2.7,2.6,2.2,2.2,2.9,2.5,2.7,2.5,2.8,1.9,2.4,3,2.5,1.9,3.1,2.8,1.6,2.1,2.7,2.7,74.1
Marcos,Alonso,DEF,CHE,7000000,1,100,5.9,8.42857142857143E-07,1.42857142857143E-05,0,584175,3,14,0,0,0,1,0,14.3,48976,5,0,100,-5,0.4,0,2.8,14,0,8,0,7,45.6,1971235,0,0,0,3,1517,25199,0,0,407,Leicester,Watford,Crystal Palace,Southampton,Newcastle,7.8,7.4,7.9,7.7,6.6,5.5,6,7.8,6.8,8.9,7.8,6.6,8.2,6.9,7,7.1,7.4,8,7.4,8.3,7.3,85
Daniel,Amartey,MID,LEI,4300000,0,15,0.882352941176471,2.05198358413133E-07,3.48837209302326E-06,0,18114,2,9,0,0,0,0,0,3.5,251,-2,0,15,2,0,0,0,0,0,1,0,0,0.2,10753,0,0,0,0,639,47,0,0,103,Chelsea,Man City,Cardiff City,Everton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,20.8
Luke,Amos,MID,TOT,4300000,0,1,0.0588235294117647,1.36798905608755E-08,2.32558139534884E-07,0,10022,0,0,0,0,0,0,0,0.2,833,-2,0,1,2,0,0,0,0,0,0,0,0,0.1,10402,0,0,0,0,2,949,0,0,3,Everton,Bournemouth,Wolverhampton,Cardiff City,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,3256,0,0,0,0,0,0,0,0,56,-1,0,0,1,0,0,0,0,0,0,0,0,0,1560,0,0,0,0,0,33,0,0,0,Leicester,Watford,Crystal Palace,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,0,18,2.6,5.2E-07,3.6E-06,0,13761,1,4,0,0,0,2,0,3.6,3963,0,0,18,0,0.6,0,3.2,2,0,0,0,0,0.3,26313,0,0,0,0,273,1290,0,0,56,Bournemouth,Arsenal,Everton,West Ham,Liverpool,1.9,2.9,3.1,2.2,2.2,2.1,2.8,2.9,3.1,1.4,1.7,2.6,1.7,3.3,3.1,1.6,3,1.5,2.4,1.8,2.4,16.5
,Andre Gomes,MID,EVE,5400000,2,23,1.35294117647059,2.50544662309368E-07,4.25925925925926E-06,0,21591,1,10,0,0,0,0,0,4.3,901,-1,0,23,1,0.5,0,2.6,0,0,3,0,1,0.2,12398,0,0,0,0,801,927,0,0,102,Tottenham,Burnley,Brighton,Leicester,Bournemouth,0.7,0.7,0.7,0.9,1,0.7,0.7,0.9,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,0.7,0.8,0.7,1.1,0.7,30.1
Michail,Antonio,MID,WHU,6800000,8,39,2.29411764705882,3.37370242214533E-07,5.73529411764706E-06,0,48473,1,11,0,0,0,2,0,5.7,821,-2,0,39,2,0.5,0,3.4,0,0,3,0,2,0.9,14089,0,0,0,0,694,2985,0,0,104,Watford,Southampton,Burnley,Brighton,Arsenal,1.6,2,1.8,2.1,1.6,1.7,1.8,1.2,2,2,1.1,1.8,1.4,1.9,1.8,1.2,1.5,1.6,1.5,2.1,1.6,61.3
Stuart,Armstrong,MID,SOU,5100000,1,35,2.7,5.29411764705882E-07,6.86274509803922E-06,0,31886,2,15,0,0,0,3,0,6.9,6070,-4,0,35,4,1,0,5,2,0,1,0,0,0.9,69601,0,0,0,1,654,6417,0,0,128,Huddersfield,West Ham,Man City,Chelsea,Leicester,2.6,2.1,1.7,1.4,1.9,2.6,2.4,2,2.7,1.7,2.9,1.7,1.8,1.8,1.8,1.8,2.6,2.8,2.6,2,2.7,48.6
