FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8320,0,0,0,0,0,0,0,0,34,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1137,0,0,0,0,0,6,0,0,0,Crystal Palace,Southampton,Newcastle,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4400000,0,37,1.94736842105263,4.42583732057416E-07,8.40909090909091E-06,0,75933,1,12,0,0,0,1,0,8.4,1163,-1,0,37,1,0,0,0,0,0,4,0,0,0.4,60114,0,0,0,0,965,19,0,1,184,Man Utd,Watford,Everton,West Ham,Chelsea,0,0,0,0,0,0,0,1.9,1,1.7,1.9,1.3,1.2,1.7,1.1,1.7,1.1,1.6,1.6,29.4
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,14331,0,0,0,0,0,0,0,0,309,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,2426,0,0,0,0,0,146,0,0,0,Burnley,Brighton,Arsenal,Bournemouth,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11200000,4,87,5.8,5.17857142857143E-07,7.76785714285714E-06,0,3023935,3,8,0,0,0,8,0,7.8,53099,2,0,87,-2,0.1,0,0.8,9,0,7,0,7,22.6,2383028,0,0,0,2,1085,67571,0,0,324,Southampton,Liverpool,Wolverhampton,Huddersfield,Newcastle,7.1,6.5,7.1,7.3,7.4,8.4,6.9,6.3,7.7,6.8,7.9,7.3,7,8.6,6.7,6.7,7,7.5,6.5,148.7
Nathan,Ake,DEF,BOU,5000000,0,53,2.8,5.6E-07,1.06E-05,0,211219,2,33,0,0,0,1,0,10.6,16144,0,0,53,0,0.3,0,1.7,5,0,5,0,0,4.2,208065,0,0,0,0,1710,1132,0,0,328,Man Utd,Watford,Everton,West Ham,Chelsea,2.3,3,2.6,2.5,3.4,3.2,2.3,3.2,1.4,3,3.2,2.4,2.2,2.9,2,3,1.9,2.9,2.8,68.5
Marc,Albrighton,MID,LEI,5100000,10,46,2.6,5.09803921568628E-07,9.01960784313725E-06,0,53468,3,12,0,0,0,2,0,9,1234,-4,0,46,4,0.7,0,3.7,3,0,3,0,2,0.7,32942,0,0,0,0,1063,18708,0,0,205,Cardiff City,Everton,Southampton,Wolverhampton,Liverpool,2.3,1.5,2.5,2.2,1.4,1.7,1.6,2,2.8,1.9,2.6,2.2,2.4,2.6,2.4,2.1,2.1,1.3,1.5,77.1
Toby,Alderweireld,DEF,TOT,6000000,6,66,3.9,6.5E-07,1.1E-05,0,131873,1,13,0,0,0,0,0,11,5698,0,0,66,0,0.7,0,4,5,0,8,0,0,4.4,176840,0,0,0,1,1520,23195,0,0,369,Wolverhampton,Cardiff City,Man Utd,Fulham,Watford,4.6,5,4.3,3.9,4.4,3.5,4.1,4,5.2,3.2,3.9,4.5,4.5,5,5,4,3.7,3.3,5.5,50.5
Trent,Alexander-Arnold,DEF,LIV,5100000,11,84,6,1.17647058823529E-06,1.64705882352941E-05,0,1512147,3,5,0,0,0,1,0,16.5,17850,1,1,84,-1,0.6,0,3.2,8,0,9,0,3,19.1,1691229,0,0,0,4,1232,100451,-1,0,325,Arsenal,Man City,Brighton,Crystal Palace,Leicester,6.7,7,6.9,8,7.9,7.8,7.7,7.6,8.3,7.1,8.2,6.9,8,6.8,8.2,7.2,8,7.4,8.2,74.3
,Alisson,GLK,LIV,5900000,6,98,5.2,8.8135593220339E-07,1.66101694915254E-05,0,441576,0,7,0,45,0,0,0,16.6,19387,4,0,98,-4,1,0,5.8,5,0,12,0,0,24,851104,0,0,0,0,1710,49578,0,0,411,Arsenal,Man City,Brighton,Crystal Palace,Leicester,5.4,5.7,5.6,7,6.5,6.4,6.3,6.3,6.9,6.2,6.8,5.6,6.6,5.5,7.1,6.3,7,6.1,7.1,36.4
Bamidele,Alli,MID,TOT,8900000,0,57,3,3.37078651685393E-07,6.40449438202247E-06,0,513060,1,12,0,0,0,4,0,6.4,21895,-1,0,57,1,0.4,0,3.3,6,0,4,0,2,2.8,381549,0,0,0,1,866,711,0,0,205,Wolverhampton,Cardiff City,Man Utd,Fulham,Watford,0,2.3,2.1,2.8,2.4,2.9,2.5,2.8,2,2.6,2.9,2.5,1.8,3.3,2.9,1.6,2.1,2.4,2.5,81.2
