FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8347,0,0,0,0,0,0,0,0,27,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1148,0,0,0,0,0,11,0,0,0,Southampton,Newcastle,Arsenal,Bournemouth,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4400000,0,37,1.85,4.20454545454545E-07,8.40909090909091E-06,0,76793,1,12,0,0,0,1,0,8.4,832,-1,0,37,1,0,0,0,0,0,4,0,0,0.4,60141,0,0,0,0,965,27,0,1,184,Watford,Everton,West Ham,Chelsea,Cardiff City,0,0,0,0,0,0,1.7,0.9,1.6,1.7,1.2,1.2,1.6,0.9,1.7,1,1.5,1.5,29.4
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,14662,0,0,0,0,0,0,0,0,328,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,2558,0,0,0,0,0,130,0,0,0,Brighton,Arsenal,Bournemouth,Wolverhampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11200000,5,92,5.8,5.17857142857143E-07,8.21428571428571E-06,0,3098807,4,9,0,0,0,9,0,8.2,73945,2,0,92,-2,0.2,0,1.7,9,0,7,0,7,21.7,2413686,0,0,0,2,1157,28465,0,0,347,Liverpool,Wolverhampton,Huddersfield,Newcastle,Arsenal,6.6,7,7.2,7.5,8.5,6.7,6.3,7.8,6.8,7.9,7.2,6.8,8.2,6.9,6.6,6.9,7.4,6.3,160.9
Nathan,Ake,DEF,BOU,5000000,7,60,3,6E-07,1.2E-05,0,223550,2,37,0,0,0,2,0,12,12074,0,0,60,0,0.5,0,2.7,6,0,5,0,0,4.1,210725,0,0,0,0,1791,2646,0,0,355,Watford,Everton,West Ham,Chelsea,Cardiff City,0,2.9,2.9,3.8,3.5,2.4,3.5,1.5,3.3,3.5,2.7,2.6,3.3,2.1,3.4,2.2,3.1,3.1,79.4
Marc,Albrighton,MID,LEI,5100000,1,47,2.5,4.90196078431373E-07,9.2156862745098E-06,0,58470,3,12,0,0,0,2,0,9.2,4966,-4,0,47,4,0.6,0,3,3,0,3,0,2,0.6,35079,0,0,0,0,1120,1733,0,0,209,Everton,Southampton,Wolverhampton,Liverpool,Man Utd,1.4,2.3,2.1,1.3,1.5,1.6,1.8,2.6,1.8,2.5,2,2.2,2.5,2.1,2,2,1.2,1.3,78.7
Toby,Alderweireld,DEF,TOT,6000000,1,67,3.7,6.16666666666667E-07,1.11666666666667E-05,0,144387,1,16,0,0,0,0,0,11.2,12407,0,0,67,0,0.6,0,3.6,5,0,8,0,0,4.3,186585,0,0,0,1,1610,9357,0,0,387,Cardiff City,Man Utd,Fulham,Watford,Newcastle,4.9,3.8,3.6,4,3.1,3.6,3.6,5,3,3.8,4.1,4,4.6,4.7,3.8,3.4,3.2,5.2,53.9
Trent,Alexander-Arnold,DEF,LIV,5100000,2,86,5.7,1.11764705882353E-06,1.68627450980392E-05,0,1549761,3,6,0,0,0,1,0,16.9,37229,1,0,86,-1,0.6,0,3,8,0,9,0,3,19.8,1780391,0,0,0,4,1322,87406,0,0,339,Man City,Brighton,Crystal Palace,Leicester,West Ham,6.6,6.2,7.5,7.3,7.2,7.3,6.9,7.8,6.7,7.7,6.3,7.4,6.5,7.7,7.1,7.7,6.9,7.7,79.1
,Alisson,GLK,LIV,5900000,2,100,5,8.47457627118644E-07,1.69491525423729E-05,0,479928,0,8,0,46,0,0,0,16.9,37965,4,0,100,-4,0.9,0,5.3,5,0,12,0,0,24.2,894779,0,0,0,0,1800,43102,0,0,429,Man City,Brighton,Crystal Palace,Leicester,West Ham,5.5,5.1,6.6,6.1,6,6.1,5.7,6.6,5.9,6.5,5.2,6.1,5.4,6.7,6.2,6.8,5.8,6.7,37.9
Bamidele,Alli,MID,TOT,8900000,3,60,3,3.37078651685393E-07,6.74157303370787E-06,0,518741,1,12,0,0,0,4,0,6.7,5351,-1,0,60,1,0.4,0,3.3,6,0,5,0,2,2.8,387418,0,0,0,1,933,5850,0,0,214,Cardiff City,Man Utd,Fulham,Watford,Newcastle,2.4,2,2.9,2.3,2.7,2.4,2.8,2.1,2.6,3,2.4,1.9,3.3,2.9,1.7,2.1,2.5,2.5,84.3
Marcos,Alonso,DEF,CHE,6800000,5,109,5.5,8.08823529411765E-07,1.60294117647059E-05,0,950841,4,16,0,0,0,1,0,16,111166,3,0,109,-3,0.5,0,3.1,14,0,9,0,7,40.4,2030277,0,0,0,3,1787,28474,0,0,455,Southampton,Newcastle,Arsenal,Bournemouth,Huddersfield,6.6,5.9,5.1,5.6,7.1,6.6,8,6.7,6.3,7.2,6.8,7.1,6.4,6.9,7,6.8,7.2,7.1,95.5
Daniel,Amartey,MID,LEI,4300000,0,15,0.75,1.74418604651163E-07,3.48837209302326E-06,0,19002,2,9,0,0,0,0,0,3.5,276,-2,0,15,2,0,0,0,0,0,1,0,0,0.2,10918,0,0,0,0,639,68,0,0,103,Everton,Southampton,Wolverhampton,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,20.8
Luke,Amos,MID,TOT,4300000,0,1,0.05,1.16279069767442E-08,2.32558139534884E-07,0,12042,0,0,0,0,0,0,0,0.2,718,-2,0,1,2,0,0,0,0,0,0,0,0,0.1,12164,0,0,0,0,2,723,0,0,3,Cardiff City,Man Utd,Fulham,Watford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,3450,0,0,0,0,0,0,0,0,73,-1,0,0,1,0,0,0,0,0,0,0,0,0,1685,0,0,0,0,0,43,0,0,0,Southampton,Newcastle,Arsenal,Bournemouth,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,5000000,2,23,1.15,2.3E-07,4.6E-06,0,22922,1,6,0,0,0,2,0,4.6,3324,0,0,23,0,0.4,0,2.2,2,0,1,0,0,0.3,36103,0,0,0,0,436,3814,0,0,56,West Ham,Liverpool,Man Utd,Fulham,Watford,0.6,0.6,0.6,0.6,0.8,0.9,0.6,0.6,0.7,0.6,0.8,0.9,0.6,1,0.6,0.7,0.6,0.7,29.8
,Andre Gomes,MID,EVE,5400000,2,27,1.35,2.5E-07,5E-06,0,25667,2,16,0,0,0,0,0,5,812,-1,0,27,1,0.4,0,2,0,0,3,0,1,0.2,13795,0,0,0,0,998,456,0,0,124,Leicester,Bournemouth,Southampton,Huddersfield,Wolverhampton,0.8,1,0.7,0.7,0.9,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,0.7,0.7,0.7,1.1,0.7,31.4
Michail,Antonio,MID,WHU,6800000,2,49,2.45,3.60294117647059E-07,7.20588235294118E-06,0,52785,2,16,0,0,0,2,0,7.2,1291,-2,0,49,2,0.6,0,4.2,2,0,3,0,3,0.8,16382,0,0,0,0,964,723,0,0,134,Brighton,Arsenal,Bournemouth,Wolverhampton,Liverpool,2.5,1.9,1.8,2.1,1.3,2.2,2.4,1.2,2,1.7,2.2,1.8,1.5,1.5,1.7,1.6,2.1,1.8,79.5
Stuart,Armstrong,MID,SOU,5100000,0,39,2.6,5.09803921568628E-07,7.64705882352941E-06,0,55233,2,18,0,0,0,3,0,7.6,6322,-4,0,39,4,0.3,0,1.5,2,0,1,0,0,0.6,72888,0,0,0,1,812,334,0,0,158,Chelsea,Leicester,Everton,Crystal Palace,Burnley,1.4,2.1,2.2,2.1,2,2.2,1.7,2.8,1.5,1.5,1.8,1.8,1.6,2.2,2.6,2.5,2,2.6,61.8
Marko,Arnautovic,FWD,WHU,6900000,2,61,4.4,6.3768115942029E-07,8.84057971014493E-06,0,2243646,3,20,0,0,0,5,0,8.8,11074,-1,0,61,1,0,0,0.3,9,0,1,0,3,7,1538237,0,0,0,1,1080,56600,0,0,226,Brighton,Arsenal,Bournemouth,Wolverhampton,Liverpool,5.9,5.6,5.1,4.8,3.9,5.2,6.1,4.6,4.6,5.1,4.8,5.5,4.6,5.9,4.5,4.9,5.5,5.3,109.9
Harry,Arter,MID,CAR,4900000,3,31,1.8,3.6734693877551E-07,6.3265306122449E-06,0,11826,5,28,0,0,0,0,0,6.3,162,-1,0,31,1,0.4,0,2.2,0,0,4,0,0,0.2,3299,0,0,0,0,1317,105,0,0,142,Tottenham,Huddersfield,Newcastle,Arsenal,Bournemouth,0.9,1.5,1.4,0.9,1.5,1.2,1.2,1.3,1.1,1.1,0.9,0.9,0.9,1,0.9,1.1,1.2,0.9,37.4
Christian,Atsu,MID,NEW,5100000,2,19,0.95,1.86274509803922E-07,3.72549019607843E-06,0,8774,2,8,0,0,0,0,0,3.7,122,-4,0,19,4,0.4,0,1.8,0,0,2,0,0,0.1,2081,0,0,0,0,661,49,0,0,64,Man Utd,Chelsea,Cardiff City,Man City,Tottenham,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,39.7
Pierre-Emerick,Aubameyang,FWD,ARS,11400000,2,123,6.2,5.43859649122807E-07,1.07894736842105E-05,0,1558813,0,26,0,0,0,13,0,10.8,94205,4,1,123,-4,0.6,0,6.9,21,0,4,0,4,35.6,2569362,0,0,0,4,1550,120013,-1,0,453,Fulham,West Ham,Chelsea,Cardiff City,Man City,9.3,8.1,7.5,9,6.6,7.8,8.9,9.3,7,8.8,6.9,8.2,6.8,7.7,7.8,7.5,9.3,7.2,155.5
Serge,Aurier,DEF,TOT,5800000,0,22,1.1,1.89655172413793E-07,3.79310344827586E-06,0,48367,1,6,0,0,0,0,0,3.8,477,-2,0,22,2,0.2,0,1.1,0,0,2,0,2,0.5,16535,0,0,0,0,427,37,0,0,88,Cardiff City,Man Utd,Fulham,Watford,Newcastle,0,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.7,0.8,0.6,0.6,0.6,0.9,21.1
Charlie,Austin,FWD,SOU,5500000,1,28,1.9,3.45454545454545E-07,5.09090909090909E-06,0,97236,1,11,0,0,0,2,0,5.1,1913,-5,0,28,5,0.5,1,2.5,1,0,4,0,0,0.5,30686,0,0,0,0,710,1739,0,0,76,Chelsea,Leicester,Everton,Crystal Palace,Burnley,1.1,1.3,1.7,1.2,1.3,1.6,1.4,2.1,1.6,1.1,1.4,1.1,1.1,1.2,1.5,1.8,1.7,1.4,49.4
Jordan,Ayew,FWD,CRY,5700000,0,22,1.8,3.15789473684211E-07,3.85964912280702E-06,0,30870,1,6,0,0,0,0,0,3.9,363,-3,0,22,3,0.1,0,0.7,0,0,3,0,1,0.2,12231,0,0,0,0,663,191,0,0,29,Wolverhampton,Watford,Liverpool,Southampton,Fulham,1.2,1.2,0.9,1.6,1.8,1.3,1.4,1.5,1.3,1.6,1.2,1.2,1.5,1.1,1.4,1.4,1.3,1.5,32.1
