FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8449,0,0,0,0,0,0,0,0,101,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1242,0,0,0,0,0,94,0,0,0,Newcastle,Arsenal,Bournemouth,Huddersfield,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,0,37,1.76190476190476,4.09745293466224E-07,8.6046511627907E-06,0,77940,1,12,0,0,0,1,0,8.4,1124,-2,1,37,2,0,0,0,0,0,4,0,0,0.4,60165,0,0,0,0,965,24,-1,1,184,Everton,West Ham,Chelsea,Cardiff City,Liverpool,0,0,0,0,0,1.6,0.9,1.5,1.5,1.1,1.1,1.4,0.9,1.5,0.9,1.3,1.4,29.4
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,15098,0,0,0,0,0,0,0,0,433,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,2712,0,0,0,0,0,149,0,0,0,Arsenal,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11200000,6,98,5.8,5.17857142857143E-07,8.75E-06,0,3197563,4,10,0,0,0,10,0,8.8,95673,2,0,98,-2,0.3,0,3.2,9,0,7,0,7,21.7,2515293,0,0,0,2,1247,101040,0,0,370,Wolverhampton,Huddersfield,Newcastle,Arsenal,Chelsea,0,7.3,7.7,8.5,6.6,6.5,7.8,6.9,7.9,7.4,6.9,8.1,7,6.5,7,7.1,6.4,169
Nathan,Ake,DEF,BOU,5000000,7,67,3.2,6.4E-07,1.34E-05,0,233939,2,40,0,0,0,3,0,13.4,10002,0,0,67,0,0.9,0,4.4,6,0,5,0,0,4.3,229338,0,0,0,0,1881,18578,0,0,383,Everton,West Ham,Chelsea,Cardiff City,Liverpool,3.3,3.2,4.1,3.8,2.6,3.8,1.7,3.6,3.7,3,2.9,3.5,2.4,3.7,2.5,3.3,3.4,88.1
Marc,Albrighton,MID,LEI,5100000,1,48,2.4,4.70588235294118E-07,9.41176470588235E-06,0,63282,3,12,0,0,0,2,0,9.4,4646,-4,0,48,4,0.7,0,3.4,3,0,3,0,2,0.6,37997,0,0,0,0,1165,2861,0,0,214,Southampton,Wolverhampton,Liverpool,Man Utd,Tottenham,2.1,2.1,1.3,1.4,1.6,1.6,2.4,1.8,2.3,2,2,2.4,1.9,1.9,1.8,1.2,1.2,79.8
Toby,Alderweireld,DEF,TOT,6000000,6,73,3.8,6.33333333333333E-07,1.21666666666667E-05,0,164090,1,16,0,0,0,0,0,12.2,19429,0,0,73,0,0.8,0,4.6,5,0,9,0,0,4.1,195210,0,0,0,1,1700,8265,0,0,413,Man Utd,Fulham,Watford,Newcastle,Leicester,3.7,3.8,3.9,3.2,3.6,3.8,5.3,3.1,4,3.9,4.1,4.7,4.7,4.1,3.4,3.3,5.2,55.9
Trent,Alexander-Arnold,DEF,LIV,5200000,1,87,5.4,1.03846153846154E-06,1.67307692307692E-05,0,1589043,3,8,0,0,0,1,0,17.1,38225,2,-1,87,-2,0.5,0,2.8,8,0,9,0,3,22.3,1969501,0,0,0,4,1412,187057,1,0,356,Brighton,Crystal Palace,Leicester,West Ham,Bournemouth,5.7,7.1,6.8,6.4,6.8,6.1,7.2,6.4,7.1,5.7,6.8,6,7.3,6.6,7.4,6.4,7.3,85.1
,Alisson,GLK,LIV,5900000,1,101,4.8,8.13559322033898E-07,1.71186440677966E-05,0,512718,0,10,0,48,0,0,0,17.1,31864,4,0,101,-4,0.7,0,4,5,0,12,0,0,25.1,967188,0,0,0,0,1890,71598,0,0,446,Brighton,Crystal Palace,Leicester,West Ham,Bournemouth,4.8,6.1,5.7,5.4,5.8,5.2,6.1,5.7,6,4.7,5.7,5,6.5,5.9,6.6,5.4,6.4,40.4
Bamidele,Alli,MID,TOT,8900000,3,63,3,3.37078651685393E-07,7.07865168539326E-06,0,527644,1,12,0,0,0,4,0,7.1,8781,-1,0,63,1,0.3,0,3,6,0,6,0,2,2.8,394070,0,0,0,1,1018,6421,0,0,226,Man Utd,Fulham,Watford,Newcastle,Leicester,1.9,2.9,2.3,2.7,2.3,2.8,2.1,2.5,3.1,2.3,1.9,3.2,2.9,1.7,2.1,2.5,2.4,90.6
