FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8493,0,0,0,0,0,0,0,0,43,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1260,0,0,0,0,0,18,0,0,0,Arsenal,Bournemouth,Huddersfield,Man City,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,1,38,1.72727272727273,4.0169133192389E-07,8.83720930232558E-06,0,78442,1,14,0,0,0,1,0,8.8,485,-2,0,38,2,0,0,0.2,0,0,4,0,0,0.4,60574,0,0,0,0,1055,408,0,1,189,West Ham,Chelsea,Cardiff City,Liverpool,Wolverhampton,1.3,1.8,1.6,0.9,1.6,0.9,1.4,1.4,1.1,1.1,1.4,0.9,1.5,0.9,1.3,1.3,30.2
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,15453,0,0,0,0,0,0,0,0,347,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,2872,0,0,0,0,0,159,0,0,0,Bournemouth,Wolverhampton,Liverpool,Crystal Palace,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11300000,1,99,5.5,4.86725663716814E-07,8.76106194690265E-06,0,3271275,4,10,0,0,0,10,0,8.8,70021,3,-1,99,-3,0.3,0,3.4,9,0,7,0,7,25,2788170,0,0,0,2,1261,271479,1,0,372,Huddersfield,Newcastle,Arsenal,Chelsea,Everton,6.7,7.1,8.2,6.2,5.7,7.5,6.4,7.4,7,6.5,7.5,6.5,6,6.5,6.7,6.1,171.9
Nathan,Ake,DEF,BOU,5000000,1,68,3.1,6.2E-07,1.36E-05,0,243598,2,42,0,0,0,3,0,13.6,9535,0,0,68,0,0.9,0,4.4,6,0,5,0,0,4.4,245079,0,0,0,0,1971,15447,0,0,396,West Ham,Chelsea,Cardiff City,Liverpool,Wolverhampton,3.2,4,3.6,2.5,3.8,1.6,3.5,3.5,2.9,2.8,3.5,2.3,3.6,2.3,3.1,3.2,92.1
Marc,Albrighton,MID,LEI,5100000,1,49,2.3,4.50980392156863E-07,9.6078431372549E-06,0,68134,3,14,0,0,0,2,0,9.6,4743,-4,0,49,4,0.6,0,3.2,3,0,3,0,2,0.5,38866,0,0,0,0,1210,797,0,0,216,Wolverhampton,Liverpool,Man Utd,Tottenham,Crystal Palace,2,1.2,1.2,1.6,1.5,2.1,1.7,2.1,1.8,1.9,2.3,1.8,1.7,1.7,1.2,1.2,80.7
Toby,Alderweireld,DEF,TOT,6000000,2,75,3.8,6.33333333333333E-07,1.25E-05,0,176192,1,17,0,0,0,0,0,12.5,11650,0,0,75,0,0.5,0,3.2,5,0,9,0,0,4.1,207156,0,0,0,1,1790,11888,0,0,426,Fulham,Watford,Newcastle,Leicester,Burnley,4,3.8,3.1,3.5,3.9,5.4,3.1,4.1,3.8,4.3,4.4,4.5,4,3.4,3.4,5.1,62.8
Trent,Alexander-Arnold,DEF,LIV,5200000,6,93,5.5,1.05769230769231E-06,1.78846153846154E-05,0,2011410,3,8,0,0,0,1,0,17.9,421907,2,0,93,-2,0.8,0,4,8,0,10,0,3,16.4,2043148,0,0,0,4,1502,68468,0,0,383,Crystal Palace,Leicester,West Ham,Bournemouth,Man Utd,0,0,6.5,7.1,6.4,7.3,6.5,7.3,6,6.8,6.2,7.4,6.8,7.5,6.7,7.5,90.6
,Alisson,GLK,LIV,6000000,6,107,4.9,8.16666666666667E-07,1.78333333333333E-05,0,552695,0,10,0,48,0,0,0,18.1,39560,5,-1,107,-5,0.8,0,4.8,5,0,13,0,0,25.4,1022829,0,0,0,0,1980,54436,1,0,466,Crystal Palace,Leicester,West Ham,Bournemouth,Man Utd,6.2,5.9,5.5,6.1,5.5,6.3,5.8,6.2,5,5.8,5.2,6.6,6.1,6.6,5.7,6.7,41.5
Bamidele,Alli,MID,TOT,8900000,1,64,2.90909090909091,3.26864147088866E-07,7.19101123595506E-06,0,540113,2,13,0,0,0,4,0,7.2,12321,-1,0,64,1,0.3,0,2.6,6,0,6,0,2,3.7,457973,0,0,0,1,1108,63804,0,0,230,Fulham,Watford,Newcastle,Leicester,Burnley,2.8,2,2.5,2.1,2.7,2.1,2.4,3,2.1,1.9,2.8,2.6,1.7,2,2.4,2.3,101.2
