FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8563,0,0,0,0,0,0,0,0,26,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1284,0,0,0,0,0,10,0,0,0,Huddersfield,Man City,Tottenham,Fulham,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,6,50,3.3,7.67441860465116E-07,1.16279069767442E-05,0,79427,1,14,0,0,0,1,0,11.6,581,-2,0,50,2,1,0,4.3,0,0,6,0,0,0.5,66581,0,0,0,0,1235,5079,0,1,236,Cardiff City,Liverpool,Wolverhampton,Arsenal,Man City,3.6,2.7,4.2,1.6,3.9,3.7,3.3,2.9,3.8,2.3,4,2.5,3.6,3.3,33.3
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,15904,0,0,0,0,0,0,0,0,171,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,3064,0,0,0,0,0,93,0,0,0,Liverpool,Crystal Palace,Fulham,Man City,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11400000,9,113,5.7,5E-07,9.91228070175439E-06,0,3351437,4,12,0,0,0,11,0,10,14917,4,-1,113,-4,0.5,0,5.3,12,0,8,0,8,29.9,3119262,0,0,0,2,1441,258885,1,0,419,Arsenal,Everton,Chelsea,West Ham,Bournemouth,14.5,7.1,0,8,6.2,7.6,7.3,6.7,8.1,6.9,6.4,6.9,7.1,6.5,187.6
Nathan,Ake,DEF,BOU,5000000,6,80,3.3,6.6E-07,1.6E-05,0,255894,2,42,0,0,0,3,0,16,4125,0,0,80,0,0.9,0,4.3,6,0,7,0,0,5.3,303073,0,0,0,0,2151,38366,0,0,448,Cardiff City,Liverpool,Wolverhampton,Arsenal,Man City,3.6,2.7,4.2,1.6,3.9,3.7,3.3,2.9,3.8,2.3,4,2.5,3.6,3.3,96.9
Marc,Albrighton,MID,LEI,5100000,3,52,2.4,4.70588235294118E-07,1.01960784313725E-05,0,73118,3,15,0,0,0,2,0,10.2,1423,-4,0,52,4,0.3,0,1.3,4,0,3,0,2,0.5,39470,0,0,0,0,1300,375,0,0,237,Man Utd,Tottenham,Crystal Palace,Brighton,Watford,1.4,1.7,1.7,2.3,1.8,2.3,2,2.1,2.5,2,1.8,2,1.2,1.3,84.8
Toby,Alderweireld,DEF,TOT,6000000,2,78,3.5,5.83333333333333E-07,1.3E-05,0,192468,2,19,0,0,0,0,0,13,6177,0,0,78,0,0.3,0,1.7,5,0,9,0,0,4,218071,0,0,0,1,1970,5117,0,0,456,Newcastle,Leicester,Burnley,Chelsea,Arsenal,2.8,3.2,3.4,4.7,2.8,3.7,3.3,3.9,3.9,4,3.5,3.3,2.8,4.7,71
Trent,Alexander-Arnold,DEF,LIV,5200000,0,93,5.5,1.05769230769231E-06,1.78846153846154E-05,0,2216785,3,8,0,0,0,1,0,17.9,78330,2,0,93,-2,0.3,0,1.8,8,0,10,0,3,13.3,2066818,0,0,0,4,1502,9608,0,0,383,West Ham,Bournemouth,Man Utd,Watford,Everton,0,7,6.6,7.4,6.7,7,6,6.7,6.4,7.6,6.9,7.2,6.5,7.5,90.6
,Alisson,GLK,LIV,6000000,2,110,4.6,7.66666666666667E-07,1.83333333333333E-05,0,612447,0,14,0,50,0,0,0,18.3,22495,5,0,110,-5,0.4,0,2.5,5,0,13,0,0,24.8,1054535,0,0,0,0,2160,14441,0,0,487,West Ham,Bournemouth,Man Utd,Watford,Everton,5.1,5.5,5.2,5.8,5.6,5.5,4.6,5.2,5,6.3,5.8,6,5.1,6.1,43.4
Bamidele,Alli,MID,TOT,8900000,0,73,3.04166666666667,3.41760299625468E-07,8.20224719101124E-06,0,620767,2,14,0,0,0,5,0,8.2,12966,-1,0,73,1,0.4,0,3.3,8,0,6,0,2,2.5,467901,0,0,0,1,1193,128,0,0,257,Newcastle,Leicester,Burnley,Chelsea,Arsenal,0,0,0,0,0,3.1,2.3,2.1,3.1,2.8,1.8,2.3,2.5,2.4,112
