FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8636,0,0,0,0,0,0,0,0,9,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1317,0,0,0,0,0,5,0,0,0,Fulham,Wolverhampton,Everton,Cardiff City,West Ham,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,0,51,2.7,6.27906976744186E-07,1.18604651162791E-05,0,82852,4,24,0,0,0,1,0,11.9,797,-2,0,51,2,0.1,0,0.3,0,0,6,0,0,0.5,71765,0,0,0,0,1574,845,0,1,273,Man City,Huddersfield,Newcastle,Leicester,Burnley,2.8,2.4,2.7,2.1,2.7,1.7,3.2,1.7,2.9,2.1,49.2
,Adrian,GLK,WHU,4300000,0,0,0,0,0,0,16630,0,0,0,0,0,0,0,0,117,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,3365,0,0,0,0,0,49,0,0,0,Newcastle,Cardiff City,Huddersfield,Everton,Chelsea,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11800000,9,158,6.6,5.59322033898305E-07,1.33898305084746E-05,0,3679744,4,13,0,0,0,18,0,13.5,18312,8,-2,158,-8,1,0,11.3,21,0,11,0,8,39.5,4101780,0,0,0,4,1748,219715,2,0,598,Bournemouth,Watford,Fulham,Cardiff City,Crystal Palace,7.4,9.3,0,7.8,9.4,8.3,17,7.9,8.9,7.7,239.6
Nathan,Ake,DEF,BOU,5000000,0,84,3,6E-07,1.68E-05,0,300895,2,53,0,0,0,3,0,16.8,12627,0,0,84,0,0.2,0,1,6,0,7,0,0,5,333557,0,0,0,0,2511,3574,0,0,504,Man City,Huddersfield,Newcastle,Leicester,Burnley,3.3,2.8,3.1,2.5,3.2,2,3.7,2.1,3.4,2.5,107.5
Marc,Albrighton,MID,LEI,5100000,0,52,1.85714285714286,3.64145658263305E-07,1.01960784313725E-05,0,81248,3,15,0,0,0,2,0,10.2,850,-4,0,52,4,0,0,0,4,0,3,0,2,0.3,39660,0,0,0,0,1300,14,0,0,237,Watford,Fulham,Burnley,Bournemouth,Huddersfield,0,0,0,0,0,1.3,1.2,1.3,0.9,0.9,84.8
Toby,Alderweireld,DEF,TOT,6000000,1,87,3.3,5.5E-07,1.45E-05,0,228534,2,24,0,0,0,0,0,14.5,12402,0,0,87,0,0.4,0,2.3,5,0,10,0,0,3.8,239455,0,0,0,1,2259,1517,0,0,520,Arsenal,Southampton,Liverpool,Brighton,Huddersfield,2.9,3.2,0,3.4,3.8,3.9,2.9,3.4,2.4,4.3,81.2
Trent,Alexander-Arnold,DEF,LIV,5400000,18,112,5.9,1.09259259259259E-06,2.07407407407407E-05,0,2309330,3,8,0,0,0,1,0,21.1,4664,4,-2,112,-4,0.9,0,4.8,11,0,11,0,6,17.4,2403599,0,0,0,5,1605,206204,2,0,456,Everton,Burnley,Fulham,Tottenham,Southampton,7.2,7.6,6.7,7.9,7,8.6,7.3,8.2,6.6,8.3,107.8
,Alisson,GLK,LIV,6000000,7,135,4.8,8E-07,2.25E-05,0,700520,0,15,0,59,0,0,0,22.5,15267,5,0,135,-5,1.1,0,6.3,8,0,16,0,0,24.5,1109167,0,0,0,1,2520,14205,0,0,578,Everton,Burnley,Fulham,Tottenham,Southampton,5.9,5.7,5,6,5.2,7,5.9,6.7,4.9,6.6,51.8
Bamidele,Alli,MID,TOT,8800000,0,73,2.60714285714286,2.96266233766234E-07,8.29545454545455E-06,0,631596,2,14,0,0,0,5,0,8.3,849,-2,0,73,2,0,0,0,8,0,6,0,2,2.3,468450,0,0,0,1,1193,103,0,0,257,Arsenal,Southampton,Liverpool,Brighton,Huddersfield,0,2.2,0,1.4,2.5,2.5,1.3,2,1.8,1.9,112
