FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8697,0,0,0,0,0,0,0,0,4,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1356,0,0,0,0,0,1,0,0,0,Liverpool,Burnley,Man Utd,Watford,Leicester,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4300000,0,54,2.5,5.81395348837209E-07,1.25581395348837E-05,0,93126,5,28,0,0,0,1,0,12.6,1381,-2,0,54,2,0,0,0,0,0,6,0,0,0.4,80089,0,0,0,0,1797,706,0,1,294,Brighton,Fulham,Southampton,Tottenham,Crystal Palace,1.7,2.8,1.8,2.6,1.9,52.9
,Adrian,GLK,WHU,4200000,0,0,0,0,0,0,17485,0,0,0,0,0,0,0,0,252,-3,0,0,3,0,0,0,0,0,0,0,0,0.3,3831,0,0,0,0,0,53,0,0,0,Man Utd,Leicester,Tottenham,Southampton,Watford,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,11700000,0,175,6.5,5.55555555555556E-07,1.4957264957265E-05,0,4569645,4,14,0,0,0,19,0,14.8,95592,7,1,175,-7,0.4,0,5,23,0,12,0,10,36.8,4817296,0,0,0,4,1972,213018,-1,0,648,Crystal Palace,Tottenham,Man Utd,Burnley,Leicester,8.1,16.8,8,8.7,7.7,265.6
Nathan,Ake,DEF,BOU,5100000,1,98,3,5.88235294117647E-07,1.92156862745098E-05,0,361671,2,61,0,0,0,3,0,19.2,20141,1,0,98,-1,0.4,0,2,6,0,8,0,1,6.1,467965,0,0,0,0,2961,5825,0,0,609,Brighton,Fulham,Southampton,Tottenham,Crystal Palace,2.2,3.7,2.4,3.4,2.5,126.7
Marc,Albrighton,MID,LEI,5100000,0,52,1.57575757575758,3.08972073677956E-07,1.01960784313725E-05,0,83071,3,15,0,0,0,2,0,10.2,161,-4,0,52,4,0,0,0,4,0,3,0,2,0.3,39749,0,0,0,0,1300,10,0,0,237,Newcastle,West Ham,Arsenal,Man City,Chelsea,0,0,1,0.8,0.8,84.8
Toby,Alderweireld,DEF,TOT,6000000,0,94,3.2,5.33333333333333E-07,1.56666666666667E-05,0,265103,2,27,0,0,0,0,0,15.7,4606,0,0,94,0,0.4,0,2.5,5,0,11,0,0,3.7,266873,1,0,0,1,2529,16292,0,0,570,Huddersfield,Man City,Brighton,West Ham,Bournemouth,3.7,6.6,3.4,2.3,4.2,88.7
Trent,Alexander-Arnold,DEF,LIV,5500000,4,131,5.5,1E-06,2.38181818181818E-05,0,2565899,3,12,0,0,0,1,0,23.8,63096,5,0,131,-5,0.5,0,2.7,14,0,12,0,7,19.9,2816931,0,0,0,6,2018,52926,0,0,555,Chelsea,Cardiff City,Huddersfield,Newcastle,Wolverhampton,8.1,6.7,7.6,5.8,7.8,141.7
,Alisson,GLK,LIV,5900000,2,149,4.5,7.6271186440678E-07,2.52542372881356E-05,0,862494,1,20,0,64,0,0,0,25.3,39387,4,0,149,-4,0.3,0,2,9,0,17,0,0,23.3,1187777,0,0,0,1,2970,4886,0,0,648,Chelsea,Cardiff City,Huddersfield,Newcastle,Wolverhampton,6.6,5.5,6.2,4.3,6,57.4
Bamidele,Alli,MID,TOT,8800000,0,82,2.5625,2.91193181818182E-07,9.31818181818182E-06,0,645015,3,18,0,0,0,5,0,9.3,6624,-2,0,82,2,0.2,0,2,8,0,7,0,3,2.4,488843,0,0,0,1,1445,6378,0,0,297,Huddersfield,Man City,Brighton,West Ham,Bournemouth,0,0,2.2,1.8,1.9,130
