FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8719,0,0,0,0,0,0,0,0,9,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1369,0,0,0,0,0,5,0,0,0,Man Utd,Watford,Leicester,,,0,0,0,0
,Adam Smith,DEF,BOU,4300000,0,60,2.6,6.04651162790698E-07,1.3953488372093E-05,0,95189,5,28,0,0,0,1,0,14,1389,-2,0,60,2,0.3,0,1.5,0,0,7,0,0,0.4,82101,0,0,0,0,1887,37,0,1,319,Southampton,Tottenham,Crystal Palace,,,0,0,0,55.4
,Adrian,GLK,WHU,4200000,0,0,0,0,0,0,17804,0,0,0,0,0,0,0,0,119,-3,0,0,3,0,0,0,0,0,0,0,0,0.3,3939,0,0,0,0,0,41,0,0,0,Tottenham,Southampton,Watford,,,0,0,0,0
Sergio,Aguero,FWD,MCI,11800000,7,184,6.1,5.16949152542373E-07,1.5593220338983E-05,0,4640902,4,14,0,0,0,19,0,15.6,21911,8,0,184,-8,0.3,0,3.8,23,0,15,0,11,40.1,5101067,0,0,0,4,2199,105233,0,0,678,Burnley,Leicester,Brighton,,,7.5,8,7.4,279.7
Nathan,Ake,DEF,BOU,5100000,2,105,3,5.88235294117647E-07,2.05882352941176E-05,0,385208,3,62,0,0,0,3,0,20.6,10694,1,0,105,-1,0.5,0,2.3,6,0,9,0,1,6.1,488671,0,0,0,0,3141,3143,0,0,650,Southampton,Tottenham,Crystal Palace,,,2.5,3.5,2.6,136.8
Marc,Albrighton,MID,LEI,5100000,2,55,1.57142857142857,3.0812324929972E-07,1.07843137254902E-05,0,83271,3,16,0,0,0,2,0,10.8,83,-4,0,55,4,0.2,0,0.8,4,0,3,0,2,0.3,39905,0,0,0,0,1373,91,0,0,250,Arsenal,Man City,Chelsea,,,1,0.8,0.8,93
Toby,Alderweireld,DEF,TOT,6000000,10,104,3.4,5.66666666666667E-07,1.73333333333333E-05,0,275017,2,28,0,0,0,0,0,17.3,2848,0,0,104,0,0.5,0,3,7,0,12,0,0,3.8,282672,1,0,0,1,2696,6644,0,0,620,West Ham,Bournemouth,Everton,,,3.9,2.5,4.8,99.2
Trent,Alexander-Arnold,DEF,LIV,5600000,11,150,5.8,1.03571428571429E-06,2.67857142857143E-05,0,2596224,3,12,0,0,0,1,0,26.8,6247,6,-1,150,-6,1.1,0,6.3,18,0,14,0,8,22.7,3024237,0,0,0,6,2193,131906,1,0,623,Huddersfield,Newcastle,Wolverhampton,,,8.1,6.2,8.3,160.3
,Alisson,GLK,LIV,5900000,6,162,4.6,7.79661016949152E-07,2.74576271186441E-05,0,896727,1,20,0,69,0,0,0,27.5,10856,4,0,162,-4,0.7,0,4.3,9,0,19,0,0,23.5,1232496,0,0,0,1,3150,24751,0,0,699,Huddersfield,Newcastle,Wolverhampton,,,6.3,4.4,6.4,61.8
Bamidele,Alli,MID,TOT,8800000,8,90,2.57142857142857,2.92207792207792E-07,1.02272727272727E-05,0,649716,3,19,0,0,0,5,0,10.2,1243,-2,0,90,2,0.3,0,2.4,8,0,8,0,4,2.4,493549,0,0,0,1,1603,2558,0,0,325,West Ham,Bournemouth,Everton,,,2.3,1.8,2.1,141.7
