FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast,ICTIndex
Tammy,Abraham,FWD,CHE,5400000,0,0,0,0,0,0,8744,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1392,0,0,0,0,0,0,0,0,0,Leicester,,,,,0,0
,Adam Smith,DEF,BOU,4300000,4,70,2.8,6.51162790697674E-07,1.62790697674419E-05,0,97056,5,33,0,0,0,1,0,16.3,0,-2,0,70,2,0,0,0,1,0,8,0,1,0.4,82784,0,0,0,0,2067,0,0,1,383,Crystal Palace,,,,,2.2,68.5
,Adrian,GLK,WHU,4200000,0,0,0,0,0,0,18068,0,0,0,0,0,0,0,0,0,-3,0,0,3,0,0,0,0,0,0,0,0,0.3,4237,0,0,0,0,0,0,0,0,0,Watford,,,,,0,0
Sergio,Aguero,FWD,MCI,12000000,6,201,6.1,5.08333333333333E-07,1.675E-05,0,4677736,4,15,0,0,0,21,0,16.8,0,10,0,201,-10,0,0,0,26,0,17,0,11,42.7,5302762,0,0,0,4,2457,0,0,0,740,Brighton,,,,,7.4,315.4
Nathan,Ake,DEF,BOU,5100000,0,120,3.2,6.27450980392157E-07,2.35294117647059E-05,0,409881,3,70,0,0,0,4,0,23.5,0,1,0,120,-1,0,0,0,8,0,10,0,1,6.1,512870,0,0,0,1,3411,0,0,0,716,Crystal Palace,,,,,2.7,156.8
Marc,Albrighton,MID,LEI,5100000,3,63,1.7027027027027,3.33863275039746E-07,1.23529411764706E-05,0,83477,3,17,0,0,0,2,0,12.4,0,-4,0,63,4,0,0,0,4,0,5,0,2,0.3,40529,0,0,0,0,1617,0,0,0,279,Chelsea,,,,,0.9,106.1
Toby,Alderweireld,DEF,TOT,6000000,1,107,3.1,5.16666666666667E-07,1.78333333333333E-05,0,286864,3,31,0,0,0,0,0,17.8,0,0,0,107,0,0,0,0,7,0,12,0,0,3.7,288968,1,0,0,1,2921,0,0,0,651,Everton,,,,,4.2,105.7
Trent,Alexander-Arnold,DEF,LIV,5800000,15,185,6.4,1.10344827586207E-06,3.18965517241379E-05,0,2611834,3,14,0,0,0,1,0,31.9,0,8,0,185,-8,0,0,0,25,0,16,0,13,26.9,3306874,0,0,0,8,2460,0,0,0,753,Wolverhampton,,,,,9.2,184.7
,Alisson,GLK,LIV,5900000,6,176,4.6,7.79661016949152E-07,2.98305084745763E-05,0,931671,1,22,0,76,0,0,0,29.8,0,4,0,176,-4,0,0,0,9,0,21,0,0,23.4,1257121,0,0,0,1,3420,0,0,0,771,Wolverhampton,,,,,6.4,67.6
Bamidele,Alli,MID,TOT,8800000,1,94,2.54054054054054,2.88697788697789E-07,1.06818181818182E-05,0,653376,4,21,0,0,0,5,0,10.7,0,-2,0,94,2,0,0,0,8,0,8,0,4,2.5,505283,0,0,0,1,1822,0,0,0,356,Everton,,,,,2,158.5
