FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4500000,0,0,0,0,0,0,2635,0,4,0,0,0,0,0,0,2635,0,0,0,0,0,0,0,0,0,0,0,0,3,2273,0,-1,0,0,90,2273,0,0,16,Liverpool,Newcastle,Chelsea,West Ham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
Rolando,Aarons,MID,NEW,5000000,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0.1,206,0,-1,0,0,0,206,0,0,0,Arsenal,Norwich,Tottenham,Watford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7000000,0,0,0,0,0,0,2857,0,0,0,0,0,0,0,0,2857,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2916,0,-1,0,0,0,2916,0,0,0,Man Utd,Leicester,Norwich,Sheffield United,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4500000,1,1,0.0263157894736842,5.84795321637427E-09,2.22222222222222E-07,0,1252,1,1,0,0,0,0,0,0.2,1252,0,0,1,0,0.2,0,1,0,0,0,0,0,1.6,702,0,-1,0,0,90,702,0,0,10,Sheffield United,Aston Villa,Man City,Leicester,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Che,Adams,FWD,SOU,6000000,2,2,0.0526315789473684,8.7719298245614E-09,3.33333333333333E-07,0,1917,0,2,0,0,0,0,0,0.3,1917,0,0,2,0,0.3,0,2,0,0,0,0,0,1.3,667,0,-1,0,0,72,667,0,0,-5,Burnley,Liverpool,Brighton,Man Utd,Sheffield United,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0,0,0,1.6
,Adrian,GLK,LIV,4500000,1,1,0.0263157894736842,5.84795321637427E-09,2.22222222222222E-07,0,1038,0,1,0,2,0,0,0,0.2,1038,0,0,1,0,0.2,0,1,0,0,0,0,0,0.8,31036,0,-1,0,0,51,31036,0,0,7,Norwich,Southampton,Arsenal,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
Sergio,Aguero,FWD,MCI,12000000,5,5,0.131578947368421,1.09649122807018E-08,4.16666666666667E-07,0,25580,0,0,0,0,0,1,0,0.4,25580,0,0,5,0,0.4,0,5,0,0,0,0,0,18.6,5877,0,-1,0,0,21,5877,0,0,27,West Ham,Tottenham,Bournemouth,Brighton,Norwich,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,5.1
Albian,Ajeti,FWD,WHU,6000000,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0.1,102,0,-1,0,0,0,102,0,0,0,Man City,Brighton,Watford,Norwich,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,5000000,2,2,0.0526315789473684,1.05263157894737E-08,4E-07,0,13590,0,1,0,0,0,0,0,0.4,13590,0,0,2,0,0.4,0,2,0,0,0,0,0,19.3,8060,0,-1,0,0,90,8060,0,0,19,Sheffield United,Aston Villa,Man City,Leicester,Everton,0,0.1,0,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0.1,6
Marc,Albrighton,MID,LEI,5500000,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0.3,573,0,-1,0,0,0,573,0,0,0,Wolverhampton,Chelsea,Sheffield United,Bournemouth,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
