FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,1,3,0.6,1.36363636363636E-07,6.81818181818182E-07,0,115363,2,12,0,0,0,0,0,0.7,1077,-1,0,3,1,0,0,0.2,0,0,0,0,0,1.4,25539,0,-1,0,0,450,383,0,0,51,Crystal Palace,Aston Villa,Bournemouth,Man Utd,Brighton,0.3,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,15.5
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,3515,0,0,0,0,0,0,0,0,56,-1,0,0,1,0,0,0,0,0,0,0,0,0,1271,0,-1,0,0,0,4,0,0,0,Leicester,Man Utd,Chelsea,Wolverhampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7600000,2,46,6.6,8.68421052631579E-07,6.05263157894737E-06,0,302053,2,9,0,0,0,7,0,6.1,21175,6,-1,46,-6,1,0,7.8,9,0,1,0,0,37.3,2554516,1,-1,0,3,486,69046,1,0,173,Brighton,Southampton,Newcastle,Burnley,Watford,8.1,9.6,7.5,7.7,8.5,9.6,8.1,7.9,9.8,7.7,8.7,8.4,7.8,8.8,9,9.1,8.6,8.8,6.9,9.9,9.2,8.9,9.5,7.3,8.8,7.4,9.1,6.6,7.8,9.9,7.4,7.5,64.8
,Adam Smith,DEF,BOU,4400000,0,5,1.2,2.72727272727273E-07,1.13636363636364E-06,0,68647,1,7,0,0,0,0,0,1.1,1379,-1,0,5,1,0,0,0.2,0,0,0,0,0,0.6,9126,0,-1,0,0,310,4,0,0,39,West Ham,Arsenal,Norwich,Watford,Man Utd,0,0,0,0,0,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,1.1,0.8,0.6,0.6,0.6,1,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.7,9.9
Che,Adams,FWD,SOU,5700000,0,15,2.5,4.3859649122807E-07,2.63157894736842E-06,0,67927,0,6,0,0,0,0,0,2.6,1563,-3,0,15,3,0.4,0,2.2,0,0,2,0,1,0.6,23079,0,-1,0,0,445,316,0,0,26,Tottenham,Chelsea,Wolverhampton,Leicester,Man City,2.5,2,2.1,1.6,2.2,2,2.7,3,3.6,2.4,1.4,1.9,2.8,2,2,1.8,1.3,1.7,2,1.8,2.2,1.9,1.3,3.1,2,3.5,1.7,2.1,2,1.5,2.7,1.2,25.3
,Adrian,GLK,LIV,4600000,5,21,3,6.52173913043478E-07,4.56521739130435E-06,0,163441,1,5,0,12,0,0,0,4.6,5520,1,0,21,-1,0.8,0,3.8,0,0,2,0,0,7,537551,0,-1,0,0,591,12054,0,0,95,Sheffield United,Leicester,Man Utd,Tottenham,Aston Villa,3.3,3.1,2.5,2.9,2.9,2.1,2.6,2.5,3.7,1.8,2.9,2.7,2.4,2.4,2.6,2.5,3.8,2.5,2.2,1.7,2.9,2.7,1.6,2.9,4,1.8,4.1,3,2.3,2.3,2.3,3.8,8.6
Sergio,Aguero,FWD,MCI,12200000,4,59,8.4,6.88524590163934E-07,4.83606557377049E-06,0,409700,0,6,0,0,0,8,0,4.8,16350,2,0,59,-2,0.7,0,8.8,6,0,2,0,3,29.8,1096639,0,-1,0,2,470,20546,0,0,248,Everton,Wolverhampton,Crystal Palace,Aston Villa,Southampton,9.7,10.9,8.9,12.6,10.6,10,11.6,11.4,9.9,12.6,10.7,12.1,10.3,9.6,12.6,9.4,12.6,10.4,10.2,11.4,9.3,11.6,9.2,12.5,10.7,10.8,12.1,11,11.4,11.4,10.4,12.6,78.8
Albian,Ajeti,FWD,WHU,5800000,0,0,0,0,0,0,3547,0,0,0,0,0,0,0,0,45,-2,0,0,2,0,0,0,0,0,0,0,0,0,1192,0,-1,0,0,0,23,0,0,0,Bournemouth,Crystal Palace,Everton,Sheffield United,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4900000,5,20,2.9,5.91836734693878E-07,4.08163265306122E-06,0,507092,1,12,0,0,0,1,0,4.1,5039,-1,0,20,1,0.8,0,4,1,0,0,0,1,12,149626,0,-1,0,0,630,11015,0,0,128,West Ham,Arsenal,Norwich,Watford,Man Utd,2.7,2.2,3.1,2.6,3.6,3.6,2.2,2.5,2.5,2,2.3,2.1,2.1,2.9,2.6,2.7,1.7,2.3,3.9,3.2,1.7,2.1,2.2,3.7,2.4,3,2.4,2.7,2.9,1.8,2.1,2.8,35.1
Marc,Albrighton,MID,LEI,5300000,4,7,1.16666666666667,2.20125786163522E-07,1.32075471698113E-06,0,13426,1,1,0,0,0,0,0,1.3,204,-2,0,7,2,0.2,0,1.2,0,0,0,0,1,0.2,4686,0,-1,0,0,119,188,0,0,35,Newcastle,Liverpool,Burnley,Southampton,Crystal Palace,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.7,0.8,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.9,0.6,0.6,0.8,0.6,0.8,13.9
Toby,Alderweireld,DEF,TOT,5500000,2,19,2.7,4.90909090909091E-07,3.45454545454545E-06,0,215145,0,9,0,0,0,0,0,3.5,7421,0,0,19,0,0.6,0,3.5,1,0,1,0,1,7.2,178832,0,-1,0,1,630,4071,0,0,122,Southampton,Brighton,Watford,Liverpool,Everton,2.1,2.4,2.7,1.7,2.2,2.4,2.1,1.5,1.9,2.1,1.9,2.1,2.3,1.4,2.5,2,2.1,3,1.9,2.3,1.8,2.2,1.4,3.5,2.7,2.6,3.4,1.4,2.1,3,2.9,2,22.6
Trent,Alexander-Arnold,DEF,LIV,7200000,6,37,5.3,7.36111111111111E-07,5.13888888888889E-06,0,429676,2,5,0,0,0,1,0,5.1,6659,2,0,37,-2,0.9,0,6.5,2,0,2,0,3,29.4,795857,0,-1,0,1,630,23301,0,0,170,Sheffield United,Leicester,Man Utd,Tottenham,Aston Villa,7.2,7,5.9,6.6,6.3,5.1,6.1,5.9,7.8,4.5,6.6,6.3,5.7,5.7,6,6,8,5.9,5.4,4.4,6.6,6.3,4.2,6.5,8,4.6,8,6.8,5.5,5.5,5.6,7.5,65.2
,Alisson,GLK,LIV,5800000,0,1,0.166666666666667,2.8735632183908E-08,1.72413793103448E-07,0,1462689,0,0,0,2,0,0,0,0.2,5063,-2,0,1,2,0,0,0,0,0,0,0,0,5.6,16377,0,-1,0,0,38,1426,0,0,7,Sheffield United,Leicester,Man Utd,Tottenham,Aston Villa,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Bamidele,Alli,MID,TOT,8400000,0,1,0.166666666666667,1.98412698412698E-08,1.19047619047619E-07,0,29800,0,1,0,0,0,0,0,0.1,985,-1,0,1,1,0,0,0.2,0,0,0,0,0,0.4,10401,0,-1,0,0,30,313,0,0,3,Southampton,Brighton,Watford,Liverpool,Everton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
Miguel,Almiron,MID,NEW,5900000,2,15,2.1,3.55932203389831E-07,2.54237288135593E-06,0,41725,1,11,0,0,0,0,0,2.5,847,-1,0,15,1,0.4,0,2.2,0,0,2,0,0,0.5,18492,0,-1,0,0,571,169,0,0,44,Leicester,Man Utd,Chelsea,Wolverhampton,West Ham,1,1.6,1.2,1.4,1.2,1.4,1,1,2.4,1,1.4,1.7,1.1,1.5,1.2,1.8,1,1.3,1.8,1.6,1.1,1.5,1.9,1.6,1.4,1.9,1,1,1.7,1,1.8,1,22.2
Marcos,Alonso,DEF,CHE,6200000,5,11,1.83333333333333,2.95698924731183E-07,1.7741935483871E-06,0,195426,2,3,0,0,0,0,0,1.8,1810,-3,0,11,3,0.4,0,2.5,0,0,1,0,1,2.6,49036,0,-1,0,0,256,3658,0,0,67,Brighton,Southampton,Newcastle,Burnley,Watford,1.1,1.5,1.5,0.9,1.2,2,0.9,1.4,2.1,1.3,0.9,1.1,1,1,1.4,1,1.8,1,1,1.9,1.4,0.9,1.8,1.3,0.9,1.2,1.4,1.2,1.5,1.6,1,1.1,19
Steven,Alzate,MID,BHA,4500000,1,4,0.666666666666667,1.48148148148148E-07,8.88888888888889E-07,0,309,1,2,0,0,0,0,0,0.9,62,0,0,4,0,0.3,0,1.3,0,0,1,0,0,0,1644,0,-1,0,0,180,288,0,0,21,Chelsea,Tottenham,Aston Villa,Everton,Norwich,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,7.8
Ibrahim,Amadou,MID,NOR,4500000,2,6,1,2.22222222222222E-07,1.33333333333333E-06,0,3700,1,7,0,0,0,0,0,1.3,145,0,0,6,0,0.3,0,1.5,0,0,0,0,0,0.1,6386,0,-1,0,0,324,306,0,0,42,Crystal Palace,Aston Villa,Bournemouth,Man Utd,Brighton,0.5,0.6,0.5,0.7,0.5,0.7,0.5,0.6,0.5,0.7,0.5,0.6,0.5,0.5,0.8,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.7,0.5,8.1
Daniel,Amartey,MID,LEI,4400000,0,0,0,0,0,0,12228,0,0,0,0,0,0,0,0,351,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,7837,0,-1,0,0,0,288,0,0,0,Newcastle,Liverpool,Burnley,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke,Amos,MID,TOT,4500000,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,-1,0,0,0,6,0,0,0,Southampton,Brighton,Watford,Liverpool,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,1315,0,0,0,0,0,0,0,0,48,-1,0,0,1,0,0,0,0,0,0,0,0,0,654,0,-1,0,0,0,23,0,0,0,Brighton,Southampton,Newcastle,Burnley,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,4900000,0,5,1.7,3.46938775510204E-07,1.02040816326531E-06,0,179792,0,2,0,0,0,1,0,1,1447,-1,0,5,1,0,0,0,1,0,0,0,0,0.6,159053,0,-1,0,0,71,31,0,1,20,Chelsea,Tottenham,Aston Villa,Everton,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6
,Andre Gomes,MID,EVE,5300000,0,6,1,1.88679245283019E-07,1.13207547169811E-06,0,56537,2,4,0,0,0,0,0,1.1,1204,-2,0,6,2,0.1,0,0.5,0,0,1,0,0,0.5,10476,0,-1,0,0,315,3,0,0,40,Man City,Burnley,West Ham,Brighton,Tottenham,0,0,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,10.8
,Angelino,DEF,MCI,4700000,0,0,0,0,0,0,11150,1,0,0,0,0,0,0,0,198,-3,1,0,3,0,0,0,0,0,0,0,0,0.2,2545,0,-1,0,0,45,66,-1,0,14,Everton,Wolverhampton,Crystal Palace,Aston Villa,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
