FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,1,3,0.6,1.36363636363636E-07,6.81818181818182E-07,0,116544,2,12,0,0,0,0,0,0.7,2258,-1,0,3,1,0.1,0,0.3,0,0,0,0,0,1.4,26154,0,-1,0,0,450,998,0,0,51,Aston Villa,Bournemouth,Man Utd,Brighton,Watford,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,15.5
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,3576,0,0,0,0,0,0,0,0,117,-1,0,0,1,0,0,0,0,0,0,0,0,0,1276,0,-1,0,0,0,9,0,0,0,Man Utd,Chelsea,Wolverhampton,West Ham,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7600000,2,46,6.6,8.68421052631579E-07,6.05263157894737E-06,0,329348,2,9,0,0,0,7,0,6.1,48470,6,-1,46,-6,0.8,0,6,9,0,1,0,0,37.9,2621555,1,-1,0,3,486,136085,1,0,173,Southampton,Newcastle,Burnley,Watford,Crystal Palace,9.1,8.8,7.7,8,9.9,8,8.9,9.9,7.7,9,7.9,8.6,8.2,8.5,9.8,8.1,9.3,6.7,9.9,9.7,8.5,9.8,7.3,9.5,7.3,9.6,6.4,8.3,9.9,7.6,8.9,65.3
,Adam Smith,DEF,BOU,4400000,0,5,1.2,2.72727272727273E-07,1.13636363636364E-06,0,70356,1,7,0,0,0,0,0,1.1,3088,-1,0,5,1,0,0,0,0,0,0,0,0,0.5,9133,0,-1,0,0,310,11,0,0,39,Arsenal,Norwich,Watford,Man Utd,Newcastle,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.6,1.2,1,0.6,0.6,0.6,1.2,0.6,0.9,0.6,0.7,0.8,0.6,0.6,0.8,9.9
Che,Adams,FWD,SOU,5700000,0,15,2.5,4.3859649122807E-07,2.63157894736842E-06,0,69739,0,6,0,0,0,0,0,2.6,3375,-3,0,15,3,0.4,0,2.3,0,0,2,0,1,0.5,23474,0,-1,0,0,445,711,0,0,26,Chelsea,Wolverhampton,Leicester,Man City,Everton,2.5,2,2.1,2.3,2.2,2.7,3.2,3.8,2.3,1.7,2,2.7,2.6,2.4,1.8,1.7,1.7,2.1,2.1,2.4,2,1.7,3.1,2.2,3.4,2,2.2,2.1,1.9,2.8,1.2,25.3
,Adrian,GLK,LIV,4600000,5,21,3,6.52173913043478E-07,4.56521739130435E-06,0,171361,1,5,0,12,0,0,0,4.6,13440,1,0,21,-1,0.7,0,3,0,0,2,0,0,7,549594,0,-1,0,0,591,24097,0,0,95,Leicester,Man Utd,Tottenham,Aston Villa,Man City,3.4,2.7,3.1,3.3,2.2,2.8,2.8,3.7,2,3.1,3,2.6,2.7,2.6,2.8,3.6,2.6,2.5,2,3.1,3,1.7,3.3,4.3,2.1,4.2,3.1,2.4,2.3,2.7,3.9,8.6
Sergio,Aguero,FWD,MCI,12200000,4,59,8.4,6.88524590163934E-07,4.83606557377049E-06,0,434571,0,6,0,0,0,8,0,4.8,41221,2,0,59,-2,0.5,0,6.3,6,0,2,0,3,29.8,1117872,0,-1,0,2,470,41779,0,0,248,Wolverhampton,Crystal Palace,Aston Villa,Southampton,Liverpool,12,9,12.6,10.8,10.9,12.1,10.9,10,12.6,10.7,12.6,10.4,9.8,12.4,9.5,12.6,11.6,10.2,12,9.6,11.7,9.5,12.4,10.2,11.2,11.7,11.4,10.9,11.4,10.3,12.6,78.8
Albian,Ajeti,FWD,WHU,5800000,0,0,0,0,0,0,3621,0,0,0,0,0,0,0,0,119,-2,0,0,2,0,0,0,0,0,0,0,0,0,1251,0,-1,0,0,0,82,0,0,0,Crystal Palace,Everton,Sheffield United,Newcastle,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4900000,5,20,2.9,5.91836734693878E-07,4.08163265306122E-06,0,515312,1,12,0,0,0,1,0,4.1,13259,-1,0,20,1,1,0,5,1,0,0,0,1,12,161091,0,-1,0,0,630,22480,0,0,128,Arsenal,Norwich,Watford,Man Utd,Newcastle,2.2,3.4,2.8,3.5,3.7,2.6,2.6,2.7,2.1,2.3,2.3,2.1,3,2.8,3,1.8,2.7,4,3.6,1.9,2.6,2.5,4.1,2.5,3.4,2.5,3,3.3,2,2.4,3.1,35.1
Marc,Albrighton,MID,LEI,5300000,4,7,1,1.88679245283019E-07,1.32075471698113E-06,0,13692,1,1,0,0,0,0,0,1.3,470,-2,0,7,2,0.2,0,1.3,0,0,0,0,1,0.2,4919,0,-1,0,0,119,421,0,0,35,Liverpool,Burnley,Southampton,Crystal Palace,Arsenal,0.5,0.7,0.5,0.5,0.5,0.5,0.6,0.7,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.8,0.5,0.5,0.7,0.5,0.6,13.4
Toby,Alderweireld,DEF,TOT,5500000,2,19,2.7,4.90909090909091E-07,3.45454545454545E-06,0,224101,0,9,0,0,0,0,0,3.5,16377,0,0,19,0,0.6,0,3.5,1,0,1,0,1,7.2,185354,0,-1,0,1,630,10593,0,0,122,Brighton,Watford,Liverpool,Everton,Sheffield United,2.4,3,1.9,2.5,2.5,2.2,1.7,1.9,2.3,1.9,2.6,2.7,1.4,2.5,2.2,2.2,3.3,2.1,2.5,1.8,2.6,1.4,3.4,2.9,3,3.5,1.4,2.2,3,3.2,2.1,22.6
Trent,Alexander-Arnold,DEF,LIV,7200000,6,37,5.3,7.36111111111111E-07,5.13888888888889E-06,0,439495,2,5,0,0,0,1,0,5.1,16478,2,0,37,-2,0.7,0,5,2,0,2,0,3,29.6,819216,0,-1,0,1,630,46660,0,0,170,Leicester,Man Utd,Tottenham,Aston Villa,Man City,7.5,6.2,6.9,6.5,5.4,6.2,6.4,7.5,5.1,7,6.7,6.1,6.3,6.1,6.4,7.7,6.1,5.9,4.9,6.9,6.7,4.4,6.8,8,5.1,7.9,7,5.7,5.6,6.2,7.3,65.2
,Alisson,GLK,LIV,5800000,0,1,0.142857142857143,2.46305418719212E-08,1.72413793103448E-07,0,1468057,0,0,0,2,0,0,0,0.2,10431,-2,0,1,2,0,0,0,0,0,0,0,0,5.5,17818,0,-1,0,0,38,2867,0,0,7,Leicester,Man Utd,Tottenham,Aston Villa,Man City,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Bamidele,Alli,MID,TOT,8400000,0,1,0.142857142857143,1.70068027210884E-08,1.19047619047619E-07,0,30754,0,1,0,0,0,0,0,0.1,1939,-1,0,1,1,0,0,0.2,0,0,0,0,0,0.4,10943,0,-1,0,0,30,855,0,0,3,Brighton,Watford,Liverpool,Everton,Sheffield United,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
Miguel,Almiron,MID,NEW,5800000,2,15,2.1,3.62068965517241E-07,2.58620689655172E-06,0,42993,1,11,0,0,0,0,0,2.5,2115,-2,1,15,2,0.4,0,2.3,0,0,2,0,0,0.5,18674,0,-1,0,0,571,351,-1,0,44,Man Utd,Chelsea,Wolverhampton,West Ham,Bournemouth,1.7,1.2,1.9,1.2,1.7,1,1,2.6,1.3,1.5,2.2,1.1,1.7,1.5,1.7,1.3,1.4,2.1,1.5,1.1,1.8,1.8,1.8,1.6,1.9,1.3,1,1.7,1.2,1.7,1,22.3
Marcos,Alonso,DEF,CHE,6200000,5,11,1.57142857142857,2.53456221198157E-07,1.7741935483871E-06,0,198100,2,3,0,0,0,0,0,1.8,4484,-3,0,11,3,0.5,0,3.3,0,0,1,0,1,2.6,54591,0,-1,0,0,256,9213,0,0,67,Southampton,Newcastle,Burnley,Watford,Crystal Palace,1.1,1.5,0.8,0.9,1.9,0.8,1.3,1.9,1,0.8,0.8,1,0.8,1,0.9,1.4,0.9,0.8,1.6,1.3,0.8,1.6,1.1,0.9,0.9,1.3,0.9,1.3,1.5,0.8,1.1,19
Steven,Alzate,MID,BHA,4500000,1,4,0.571428571428571,1.26984126984127E-07,8.88888888888889E-07,0,425,1,2,0,0,0,0,0,0.9,178,0,0,4,0,0.3,0,1.3,0,0,1,0,0,0,1897,0,-1,0,0,180,541,0,0,21,Tottenham,Aston Villa,Everton,Norwich,Man Utd,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,7.8
Ibrahim,Amadou,MID,NOR,4500000,2,6,0.857142857142857,1.9047619047619E-07,1.33333333333333E-06,0,3905,1,7,0,0,0,0,0,1.3,350,0,0,6,0,0.4,0,1.7,0,0,0,0,0,0.1,6836,0,-1,0,0,324,756,0,0,42,Aston Villa,Bournemouth,Man Utd,Brighton,Watford,0.5,0.4,0.5,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.6,0.4,0.4,0.7,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.6,0.4,8.1
Daniel,Amartey,MID,LEI,4400000,0,0,0,0,0,0,12701,0,0,0,0,0,0,0,0,824,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,8144,0,-1,0,0,0,595,0,0,0,Liverpool,Burnley,Southampton,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke,Amos,MID,TOT,4500000,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,-1,0,0,0,11,0,0,0,Brighton,Watford,Liverpool,Everton,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan,Ampadu,MID,CHE,4400000,0,0,0,0,0,0,1376,0,0,0,0,0,0,0,0,109,-1,0,0,1,0,0,0,0,0,0,0,0,0,667,0,-1,0,0,0,36,0,0,0,Southampton,Newcastle,Burnley,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin,Andone,FWD,BHA,4900000,0,5,1.7,3.46938775510204E-07,1.02040816326531E-06,0,181185,0,2,0,0,0,1,0,1,2840,-1,0,5,1,0,0,0,1,0,0,0,0,0.6,159066,0,-1,0,0,71,44,0,1,20,Tottenham,Aston Villa,Everton,Norwich,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6
,Andre Gomes,MID,EVE,5300000,0,6,0.857142857142857,1.61725067385445E-07,1.13207547169811E-06,0,57714,2,4,0,0,0,0,0,1.1,2381,-2,0,6,2,0.1,0,0.5,0,0,1,0,0,0.4,10510,0,-1,0,0,315,37,0,0,40,Burnley,West Ham,Brighton,Tottenham,Southampton,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.5,10.8
,Angelino,DEF,MCI,4700000,0,0,0,0,0,0,11359,1,0,0,0,0,0,0,0,407,-3,1,0,3,0,0,0,0,0,0,0,0,0.1,2629,0,-1,0,0,45,150,-1,0,14,Wolverhampton,Crystal Palace,Aston Villa,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Michail,Antonio,MID,WHU,6900000,0,6,0.857142857142857,1.24223602484472E-07,8.69565217391304E-07,0,58267,0,2,0,0,0,0,0,0.9,1395,-1,0,6,1,0,0,0,0,0,0,0,1,0.8,5243,0,-1,0,0,125,22,0,0,10,Crystal Palace,Everton,Sheffield United,Newcastle,Burnley,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,16.2
Stuart,Armstrong,MID,SOU,5300000,1,5,0.714285714285714,1.34770889487871E-07,9.43396226415094E-07,0,6143,1,2,0,0,0,0,0,0.9,258,-2,0,5,2,0.2,0,1,0,0,0,0,0,0.1,1133,0,-1,0,0,65,43,0,0,8,Chelsea,Wolverhampton,Leicester,Man City,Everton,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,3.6
Marko,Arnautovic,FWD,WHU,7000000,0,0,0,0,0,0,6572,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0.1,557,0,-1,0,0,0,43,0,0,0,Crystal Palace,Everton,Sheffield United,Newcastle,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Atsu,MID,NEW,5400000,2,17,3.4,6.2962962962963E-07,3.14814814814815E-06,0,14164,1,9,0,0,0,0,0,3.1,1985,-1,0,17,1,0.6,0,3,0,0,2,0,2,0.2,18599,0,-1,0,0,424,662,0,0,55,Man Utd,Chelsea,Wolverhampton,West Ham,Bournemouth,3.6,2.6,3.8,2.6,3.6,2.3,1.9,4.9,2.8,3.2,4.3,2.4,3.6,3.3,3.6,2.9,3,4.2,3.2,2.5,3.7,3.7,3.7,3.4,3.9,2.8,1.7,3.6,2.7,3.6,2.2,24.9
Pierre-Emerick,Aubameyang,FWD,ARS,11000000,9,53,7.6,6.90909090909091E-07,4.81818181818182E-06,0,823232,2,11,0,0,0,7,0,4.8,13277,0,0,53,0,0.8,0,9,10,0,1,0,1,24.9,703432,0,-1,0,1,630,111230,0,0,215,Bournemouth,Sheffield United,Crystal Palace,Wolverhampton,Leicester,10,10.5,11.4,10.3,8.7,9.5,8.5,10.1,9.4,10.6,9.4,10.2,10.7,11.4,8.4,8.2,9.6,9.4,10.1,11,9.7,10.3,10.2,10.9,11.4,9.4,11.3,9.5,9.5,8.9,10.7,72.3
Serge,Aurier,DEF,TOT,5000000,-2,13,1.85714285714286,3.71428571428571E-07,2.6E-06,0,118091,0,3,0,0,0,0,0,2.6,79713,0,0,13,0,0.6,0,3.2,2,0,1,0,2,2.5,253489,0,-1,0,1,210,1194,0,1,47,Brighton,Watford,Liverpool,Everton,Sheffield United,0,1.7,1,1.4,1.4,1.2,0.9,1,1.3,1,1.4,1.5,0.9,1.4,1.2,1.2,1.9,1.1,1.4,0.9,1.4,0.9,2,1.7,1.7,2.1,0.9,1.2,1.7,1.9,1.1,13.6
Charlie,Austin,FWD,SOU,6000000,0,0,0,0,0,0,8152,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0.1,285,0,-1,0,0,0,16,0,0,0,Chelsea,Wolverhampton,Leicester,Man City,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Ayew,FWD,CRY,5100000,1,23,3.8,7.45098039215686E-07,4.50980392156863E-06,0,356295,3,4,0,0,0,2,0,4.5,41235,1,0,23,-1,0.2,0,1,6,0,5,0,0,8,649914,0,-1,0,0,450,20615,0,0,73,West Ham,Man City,Arsenal,Leicester,Chelsea,2.2,5.1,3.1,5.2,3.2,4.2,2.4,5.2,3.5,4.9,2.6,4.6,3.3,2.9,5.3,2.6,4.6,3.5,2.5,4.6,2.9,5.7,3.2,2.3,5.2,1.9,5.7,2.2,5.7,2.1,5.6,34.7
Cesar,Azpilicueta,DEF,CHE,5900000,7,19,2.7,4.57627118644068E-07,3.22033898305085E-06,0,232310,0,13,0,0,0,0,0,3.2,6817,-1,0,19,1,0.7,0,4,1,0,1,0,2,6.1,98117,0,-1,0,0,630,12221,0,0,130,Southampton,Newcastle,Burnley,Watford,Crystal Palace,2.6,3.3,1.4,2.2,4,1.5,2.9,3.9,2.5,1.7,2.1,2.3,1.7,2.4,2.3,3,2.1,1.9,3.4,2.9,1.5,3.5,2.5,2.1,2.2,3,2.1,3,3.3,1.9,2.6,40
Eric,Bailly,DEF,MUN,4900000,0,0,0,0,0,0,2260,0,0,0,0,0,0,0,0,73,-1,0,0,1,0,0,0,0,0,0,0,0,0,661,0,-1,0,0,0,14,0,0,0,Newcastle,Liverpool,Norwich,Bournemouth,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leighton,Baines,DEF,EVE,4900000,0,0,0,0,0,0,6214,0,0,0,0,0,0,0,0,471,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3807,0,-1,0,0,0,315,0,0,0,Burnley,West Ham,Brighton,Tottenham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian,Balbuena,DEF,WHU,4300000,0,0,0,0,0,0,16550,1,5,0,0,0,0,0,0,776,-2,1,0,2,0.1,0,0.3,0,0,0,0,0,0.3,3668,0,-1,0,0,91,265,-1,0,9,Crystal Palace,Everton,Sheffield United,Newcastle,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
George,Baldock,DEF,SHU,4500000,2,24,3.4,7.55555555555556E-07,5.33333333333333E-06,0,19633,2,7,0,0,0,0,0,5.3,1567,0,0,24,0,0.7,0,3,3,0,2,0,1,0.7,47380,0,-1,0,0,630,3161,0,0,91,Watford,Arsenal,West Ham,Burnley,Tottenham,3.9,2.2,4,2.4,3.8,3.8,3.5,3.7,2.8,4.4,4.1,3.2,2.9,3.6,3.2,3.2,2.2,3.8,1.7,2.8,4.3,3.6,4.9,3.6,3.1,2.8,2.7,2.7,3.5,3.8,4.3,23.6
Leon,Balogun,DEF,BHA,4400000,0,0,0,0,0,0,3471,0,0,0,0,0,0,0,0,158,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,569,0,-1,0,0,0,7,0,0,0,Tottenham,Aston Villa,Everton,Norwich,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tudor,Baluta,DEF,BHA,4000000,0,0,0,0,0,0,2388,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8440,0,-1,0,0,0,1418,0,0,0,Tottenham,Aston Villa,Everton,Norwich,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil,Bardsley,DEF,BUR,4400000,0,0,0,0,0,0,5533,0,0,0,0,0,0,0,0,300,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1598,0,-1,0,0,0,65,0,0,0,Everton,Leicester,Chelsea,Sheffield United,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross,Barkley,MID,CHE,5600000,3,8,1.14285714285714,2.04081632653061E-07,1.42857142857143E-06,0,400108,0,5,0,0,0,0,0,1.4,5955,-4,0,8,4,0.2,0,1.3,0,0,1,0,0,2,66414,0,-1,0,0,293,1594,0,0,35,Southampton,Newcastle,Burnley,Watford,Crystal Palace,0.6,0.7,0.6,0.6,1,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.8,0.6,1,0.9,0.6,0.8,33.1
Ashley,Barnes,FWD,BUR,6600000,1,32,4.6,6.96969696969697E-07,4.84848484848485E-06,0,671906,2,7,0,0,0,4,0,4.8,69075,1,0,32,-1,0.3,0,1.7,4,0,3,0,0,7.4,977348,0,-1,0,1,572,9987,0,0,107,Everton,Leicester,Chelsea,Sheffield United,West Ham,6.4,3.7,6.8,4.8,5.5,5.4,6.9,6.1,5.1,5.5,5.5,4.5,6.8,6.7,5.3,6.2,4.2,6.3,5.6,6.2,4.7,6.6,4.7,6.8,3.5,4.2,4.1,4.3,5.5,4.7,5.8,42.5
Harvey,Barnes,MID,LEI,5900000,4,16,2.28571428571429,3.87409200968523E-07,2.71186440677966E-06,0,13240,0,2,0,0,0,1,0,2.7,971,-1,0,16,1,0.4,0,2.3,0,0,0,0,1,0.3,12327,0,-1,0,0,285,917,0,0,64,Liverpool,Burnley,Southampton,Crystal Palace,Arsenal,1.1,2.4,1.5,1.1,2,1.5,2.3,2.5,1.1,2.8,1.1,1.4,1.1,1.6,1.8,1.2,1.8,1.9,1.5,1.2,1.1,2.2,1.5,2.1,1.1,2.9,1.3,1.7,2.4,1.1,2.3,27.2
