FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4400000,3,25,1.5,3.40909090909091E-07,5.68181818181818E-06,0,146880,4,34,0,0,0,0,0,5.7,589,-1,0,25,1,0.3,0,1.5,1,0,2,0,0,1.1,39141,0,-1,0,0,1530,277,0,0,224,Aston Villa,Tottenham,Crystal Palace,Man Utd,Bournemouth,1.2,1.3,1.3,0.8,0.9,0.9,1,0.9,0.8,0.9,0.8,0.8,1.4,0.8,1,0.8,1.2,0.8,0.9,0.8,59.8
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4196,0,0,0,0,0,0,0,0,8,-2,0,0,2,0,0,0,0,0,0,0,0,0,1384,0,-1,0,0,0,3,0,0,0,Man Utd,Everton,Leicester,Wolverhampton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7900000,2,103,5.7,7.21518987341772E-07,1.30379746835443E-05,0,2584292,2,20,0,0,0,11,0,13,117847,9,0,103,-9,0.4,0,3.3,19,0,5,0,3,35.1,4670085,1,-1,0,4,1390,10036,0,0,324,Southampton,Arsenal,Brighton,Burnley,Newcastle,7.1,7.4,7.1,7.5,5.7,7.7,6.1,8.5,8,7.1,7.4,6.8,7.4,7.1,7.8,6.7,5.9,7.8,6.4,7,143.9
,Adam Smith,DEF,BOU,4300000,0,32,3.2,7.44186046511628E-07,7.44186046511628E-06,0,124408,2,12,0,0,0,0,0,7.4,1011,-2,0,32,2,0.1,0,0.3,3,0,3,0,1,0.5,58908,0,-1,0,1,837,10,0,0,163,Arsenal,Brighton,West Ham,Watford,Norwich,0,0,0,0,0,0,4.5,3,2.4,3,3,3.8,2.7,4.2,2.4,3.7,2.8,3.1,2.4,3.4,27.6
Che,Adams,FWD,SOU,5300000,2,24,1.7,3.20754716981132E-07,4.52830188679245E-06,0,89222,0,7,0,0,0,0,0,4.5,154,-7,0,24,7,0.2,0,1,0,0,3,0,1,0.3,28157,0,-1,0,0,565,112,0,0,44,Chelsea,Crystal Palace,Tottenham,Leicester,Wolverhampton,1.4,1.1,1.2,1,0.9,1.1,1.1,1.1,1.2,1.3,1,1.7,1.1,1.2,1,1.1,1.3,1,1.3,0.8,26.8
,Adrian,GLK,LIV,4200000,0,25,1.47058823529412,3.50140056022409E-07,5.95238095238095E-06,0,555919,1,9,0,16,0,0,0,6,2565,-3,0,25,3,0.1,0,0.4,0,0,2,0,0,2.4,612002,0,-1,0,0,783,371,0,0,123,Leicester,Wolverhampton,Sheffield United,Tottenham,Man Utd,0.7,0.7,0.7,1,1,1.8,0.7,0.9,1.1,0.9,0.8,1,1.2,0.9,1.5,0.8,0.8,0.7,0.8,1.1,11.3
Sergio,Aguero,FWD,MCI,11700000,0,73,5.6,4.78632478632479E-07,6.23931623931624E-06,0,2062737,0,13,0,0,0,9,0,6.2,2474,-3,0,73,3,0,0,0.2,6,0,2,0,3,10,1369812,0,-1,0,2,811,4922,0,0,289,Wolverhampton,Sheffield United,Everton,Aston Villa,Crystal Palace,7,5,7.1,6.7,7.2,5.9,7.3,6.8,6,7.4,6.9,7.2,7.4,6,8.1,6.8,7,6.7,7,7.5,109.9
Albian,Ajeti,FWD,WHU,5700000,1,6,0.352941176470588,6.19195046439628E-08,1.05263157894737E-06,0,4586,0,3,0,0,0,0,0,1.1,19,-3,0,6,3,0.1,0,0.4,0,0,0,0,0,0,1947,0,-1,0,0,102,12,0,0,11,Crystal Palace,Leicester,Bournemouth,Sheffield United,Everton,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.1
Nathan,Ake,DEF,BOU,4900000,0,50,3.1,6.3265306122449E-07,1.02040816326531E-05,0,1163014,1,21,0,0,0,1,0,10.2,15584,-1,0,50,1,0.1,0,0.7,5,0,3,0,1,7.7,504239,0,-1,0,0,1384,101,0,0,290,Arsenal,Brighton,West Ham,Watford,Norwich,0,0,0,0,0,0,4.3,2.8,2.3,2.8,2.9,3.6,2.5,4.1,2.3,3.6,2.7,2.9,2.3,3.2,58.6
Marc,Albrighton,MID,LEI,5200000,1,13,0.722222222222222,1.38888888888889E-07,2.5E-06,0,19897,1,6,0,0,0,0,0,2.5,76,-3,0,13,3,0.1,0,0.7,0,0,0,0,1,0.2,8138,0,-1,0,0,262,62,0,0,66,Liverpool,West Ham,Newcastle,Southampton,Burnley,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,20.7
