FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4300000,4,37,1.7,3.95348837209302E-07,8.6046511627907E-06,0,158689,5,43,0,0,0,0,0,8.6,847,-2,0,37,2,0.6,0,2.5,1,0,3,0,1,1.1,50376,0,-1,0,0,1980,1453,0,0,298,Tottenham,Newcastle,Liverpool,Wolverhampton,Leicester,1.2,1.2,1.3,0.8,1.1,0.8,0.9,1.7,0.8,1.4,0.8,1.7,0.9,1.2,0.8,75.2
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4317,0,0,0,0,0,0,0,0,18,-2,0,0,2,0,0,0,0,0,0,0,0,0,1519,0,-1,0,0,0,29,0,0,0,Everton,Norwich,Arsenal,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7700000,5,128,5.6,7.27272727272727E-07,1.66233766233766E-05,0,3669227,2,24,0,0,0,13,0,16.4,268481,7,1,128,-7,0.6,0,4.5,20,0,7,0,5,28.5,5281197,1,-1,0,4,1829,15294,-1,0,393,Arsenal,Leicester,Man Utd,Tottenham,Bournemouth,0,0,8.4,7.8,7,7.5,6.7,7.3,6.7,7.5,6.8,5.4,8.1,5.8,7.2,185.4
,Adam Smith,DEF,BOU,4300000,2,35,2.7,6.27906976744186E-07,8.13953488372093E-06,0,132684,4,17,0,0,0,0,0,8.1,311,-2,0,35,2,0.1,0,0.5,3,0,3,0,1,0.4,60346,0,-1,0,1,1107,200,0,0,195,Brighton,Aston Villa,Sheffield United,Burnley,Chelsea,2.7,3.8,2.1,1.7,2.5,2.3,2.8,1.9,3.4,1.8,3.2,2.2,2,1.9,2.4,34.8
Che,Adams,FWD,SOU,5300000,1,32,1.39130434782609,2.62510254306809E-07,6.0377358490566E-06,0,91958,0,9,0,0,0,0,0,6,375,-7,0,32,7,0.3,0,1.7,0,0,3,0,2,0.3,30219,0,-1,0,0,664,328,0,0,72,Crystal Palace,Liverpool,Burnley,Aston Villa,West Ham,0.9,0.7,0.8,0.9,0.9,0.7,1.2,0.8,0.8,0.8,0.7,0.8,0.8,0.9,0.7,34
,Adrian,GLK,LIV,4100000,0,25,1.13636363636364,2.77161862527716E-07,6.09756097560976E-06,0,597234,1,9,0,16,0,0,0,6.1,2836,-4,0,25,4,0,0,0,0,0,2,0,0,2,623399,0,-1,0,0,783,732,0,0,123,Wolverhampton,West Ham,Southampton,Norwich,West Ham,1.3,0.6,0.6,0.8,0.6,0.6,0.6,0.7,0.6,1.1,0.6,0.6,0.6,0.6,0.7,11.3
Sergio,Aguero,FWD,MCI,12000000,4,119,6.6,5.5E-07,9.91666666666667E-06,0,2180242,1,16,0,0,0,16,0,9.9,15903,0,-1,119,0,0.6,0,7.7,14,0,3,0,4,22.1,2364896,0,-1,0,4,1107,213693,1,0,488,Sheffield United,Tottenham,West Ham,Leicester,Arsenal,7.1,8.5,9,8.1,9,7.9,9.2,8.8,7.4,9.4,8.5,8.5,8.9,8.5,9.4,173.8
Albian,Ajeti,FWD,WHU,5700000,0,8,1,1.75438596491228E-07,1.40350877192982E-06,0,4951,0,3,0,0,0,0,0,1.4,68,-3,0,8,3,0.1,0,0.4,0,0,0,0,0,0,2474,0,-1,0,0,128,66,0,0,14,Leicester,Liverpool,Brighton,Man City,Liverpool,1,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.7,7.3
Nathan,Ake,DEF,BOU,4800000,2,55,2.9,6.04166666666667E-07,1.14583333333333E-05,0,1272600,1,26,0,0,0,1,0,11.5,3594,-2,0,55,2,0.2,0,0.8,5,0,3,0,1,6.4,523452,0,-1,0,0,1654,3947,0,0,334,Brighton,Aston Villa,Sheffield United,Burnley,Chelsea,3,4.2,2.3,1.9,2.8,2.5,3.1,2.1,3.7,2,3.5,2.5,2.2,2.1,2.6,71.1
Marc,Albrighton,MID,LEI,5100000,0,15,0.652173913043478,1.27877237851662E-07,2.94117647058824E-06,0,21113,1,7,0,0,0,0,0,2.9,129,-4,0,15,4,0.1,0,0.5,0,0,0,0,1,0.2,8739,0,-1,0,0,352,64,0,0,76,West Ham,Chelsea,Wolverhampton,Man City,Norwich,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,25.1
Toby,Alderweireld,DEF,TOT,5300000,2,53,2.3,4.33962264150943E-07,1E-05,0,513123,3,31,0,0,0,0,0,10,4938,-2,0,53,2,0.5,0,2.5,2,0,3,0,2,5,324396,0,-1,0,1,2070,1742,0,0,392,Norwich,Man City,Aston Villa,Chelsea,Wolverhampton,2.3,1.6,2.4,1.7,1.8,1.3,2.4,2.6,1.5,2.6,1.5,1.7,2,1.8,1.7,81.8
