FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4300000,0,45,1.8,4.18604651162791E-07,1.04651162790698E-05,0,163541,6,47,0,0,0,0,0,10.5,587,-2,0,45,2,0.6,0,2.7,1,0,4,0,1,1.1,60447,0,-1,0,0,2250,516,0,0,339,Wolverhampton,Leicester,Sheffield United,Southampton,Everton,0.9,1.3,1,1,1.8,0.9,1.5,1,2,1.1,1.2,0.9,86.7
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4420,0,0,0,0,0,0,0,0,6,-2,0,0,2,0,0,0,0,0,0,0,0,0,1537,0,-1,0,0,0,2,0,0,0,Crystal Palace,Burnley,Southampton,Sheffield United,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7600000,1,131,5.2,6.84210526315789E-07,1.72368421052632E-05,0,4372809,2,27,0,0,0,13,0,17.2,26005,6,0,131,-6,0.1,0,1,20,0,7,0,5,20.3,5373352,1,-1,0,4,1930,16575,0,0,396,Tottenham,Bournemouth,Everton,Aston Villa,Man City,7.2,6.5,6.7,6.3,6.6,6.4,6.8,6.3,5.1,7.3,5.4,6.1,191.5
,Adam Smith,DEF,BOU,4300000,0,38,2.4,5.58139534883721E-07,8.83720930232558E-06,0,134247,5,23,0,0,0,0,0,8.8,133,-2,0,38,2,0.2,0,1,3,0,3,0,1,0.4,61367,0,-1,0,1,1377,55,0,0,221,Burnley,Chelsea,Liverpool,Crystal Palace,Wolverhampton,1.4,2.1,1.9,2.3,1.5,3,1.5,2.9,2,1.6,1.6,1.9,43.9
Che,Adams,FWD,SOU,5300000,4,38,1.46153846153846,2.75761973875181E-07,7.16981132075472E-06,0,93058,0,11,0,0,0,0,0,7.2,86,-7,0,38,7,0.4,0,2,0,0,3,0,3,0.3,31101,0,-1,0,0,705,106,0,0,92,Aston Villa,West Ham,Newcastle,Norwich,Arsenal,1,1,0.8,1.2,0.8,1,0.8,0.8,0.9,0.9,1,0.7,40.9
,Adrian,GLK,LIV,4000000,0,25,0.961538461538462,2.40384615384615E-07,6.25E-06,0,607405,1,9,0,16,0,0,0,6.2,631,-5,0,25,5,0,0,0,0,0,2,0,0,1.9,627328,0,-1,0,0,783,322,0,0,123,West Ham,Watford,Bournemouth,Everton,Crystal Palace,0.7,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,11.3
Sergio,Aguero,FWD,MCI,12000000,0,123,5.9,4.91666666666667E-07,1.025E-05,0,2550323,1,17,0,0,0,16,0,10.2,129591,0,0,123,0,0.1,1,1.3,14,0,5,0,4,20.8,2651152,0,-1,0,4,1336,2359,0,0,489,Leicester,Man Utd,Burnley,Chelsea,Liverpool,6.6,0,6.8,7.7,7.7,6.5,8.3,7.5,7.2,8.3,7.3,8.4,202.2
Albian,Ajeti,FWD,WHU,5700000,0,8,1,1.75438596491228E-07,1.40350877192982E-06,0,5219,0,3,0,0,0,0,0,1.4,12,-3,0,8,3,0,0,0,0,0,0,0,0,0,2588,0,-1,0,0,128,20,0,0,14,Liverpool,Southampton,Arsenal,Wolverhampton,Tottenham,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.7,7.3
Nathan,Ake,DEF,BOU,4800000,0,65,3.1,6.45833333333333E-07,1.35416666666667E-05,0,1292376,1,29,0,0,0,2,0,13.5,5087,-2,0,65,2,0.7,0,3.3,6,0,3,0,1,6.6,554894,0,-1,0,1,1834,668,0,0,375,Burnley,Chelsea,Liverpool,Crystal Palace,Wolverhampton,2.2,3.1,2.8,3.4,2.3,4.3,2.4,4.1,3,2.4,2.4,2.8,81.5
Marc,Albrighton,MID,LEI,5100000,0,16,0.615384615384615,1.20663650075415E-07,3.13725490196078E-06,0,21506,1,7,0,0,0,0,0,3.1,37,-4,0,16,4,0.1,0,0.3,0,0,0,0,1,0.2,8937,0,-1,0,0,374,29,0,0,83,Man City,Norwich,Aston Villa,Watford,Brighton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,27.2
Toby,Alderweireld,DEF,TOT,5300000,1,64,2.5,4.71698113207547E-07,1.20754716981132E-05,0,530460,4,35,0,0,0,1,0,12.1,1607,-2,0,64,2,0.7,0,3.7,2,0,4,0,2,4.9,334598,1,-1,0,1,2327,867,0,0,445,Chelsea,Wolverhampton,Burnley,Man Utd,West Ham,1.9,2,1.5,2.6,3.1,1.8,2.9,1.7,1.9,2.3,2.2,1.9,95.4
Trent,Alexander-Arnold,DEF,LIV,7700000,0,153,5.9,7.66233766233766E-07,1.98701298701299E-05,0,1241264,4,15,0,0,0,2,0,19.9,3761,7,0,153,-7,0.6,0,5,15,0,11,0,12,43.9,2655198,0,-1,0,5,2279,8516,0,0,661,West Ham,Watford,Bournemouth,Everton,Crystal Palace,8.2,7,7.6,7.4,7.9,6.8,8.5,7.2,6.9,6,7.5,7.3,209.3
,Alisson,GLK,LIV,6200000,0,87,4.8,7.74193548387097E-07,1.40322580645161E-05,0,1807806,0,7,0,41,0,0,0,14,3163,2,0,87,-2,0.8,0,5.2,6,0,10,0,1,11.5,718725,0,-1,0,1,1553,4365,0,1,379,West Ham,Watford,Bournemouth,Everton,Crystal Palace,6.6,5.2,5.7,5.7,6,5,6.9,5.3,5.1,4.4,5.6,6,35.3
Thomas,Allan,MID,NEW,4500000,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,-1,0,0,0,36,0,0,0,Crystal Palace,Burnley,Southampton,Sheffield United,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0
Bamidele,Alli,MID,TOT,8400000,1,99,5,5.95238095238095E-07,1.17857142857143E-05,0,1370289,2,20,0,0,0,7,0,11.8,20104,-1,0,99,1,0.2,0,2,12,0,4,0,4,5,1629038,0,-1,0,2,1578,4972,0,0,303,Chelsea,Wolverhampton,Burnley,Man Utd,West Ham,4.5,6.2,5.3,6.2,5.9,6.3,6.5,5.4,6.4,5.1,5.1,5,126.8
Miguel,Almiron,MID,NEW,5800000,1,73,2.8,4.82758620689655E-07,1.25862068965517E-05,0,90943,5,37,0,0,0,2,0,12.6,1458,-2,0,73,2,0.3,0,2,5,0,8,0,1,0.7,85590,0,-1,0,1,2190,897,0,0,223,Crystal Palace,Burnley,Southampton,Sheffield United,Aston Villa,1.9,2.9,2.3,3.4,2.6,2.1,2.6,1.4,2,2.3,1.9,1.9,94.8
