FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Maximillian,Aarons,DEF,NOR,4300000,11,56,2.2,5.11627906976744E-07,1.30232558139535E-05,0,165043,6,47,0,0,0,0,0,13,196,-2,0,56,2,1.1,0,4.8,3,0,5,0,2,1.2,63956,0,-1,0,1,2340,2557,0,0,369,Leicester,Sheffield United,Southampton,Everton,Arsenal,1.8,1.5,1.4,2.4,1.1,2.1,1.3,2.6,1.6,1.7,1.4,92.3
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,4436,0,0,0,0,0,0,0,0,3,-2,0,0,2,0,0,0,0,0,0,0,0,0,1546,0,-1,0,0,0,4,0,0,0,Burnley,Southampton,Sheffield United,Aston Villa,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7600000,0,131,5.2,6.84210526315789E-07,1.72368421052632E-05,0,4535935,2,27,0,0,0,13,0,17.2,51444,6,0,131,-6,0.1,0,0.8,20,0,7,0,5,18.5,5406832,1,-1,0,4,1930,146,0,0,396,Bournemouth,Everton,Aston Villa,Man City,West Ham,0,0,0,0,0,6.8,6.1,5.2,7.3,5.4,6.3,191.5
,Adam Smith,DEF,BOU,4300000,0,38,2.2,5.11627906976744E-07,8.83720930232558E-06,0,134654,6,25,0,0,0,0,0,8.8,46,-2,0,38,2,0.2,0,0.8,3,0,3,0,1,0.4,61524,0,-1,0,1,1467,36,0,0,222,Chelsea,Liverpool,Crystal Palace,Wolverhampton,Newcastle,1.9,1.6,2.1,1.3,2.7,1.3,2.7,1.8,1.4,1.4,1.6,44.7
Che,Adams,FWD,SOU,5300000,0,38,1.40740740740741,2.6554856743536E-07,7.16981132075472E-06,0,93293,0,11,0,0,0,0,0,7.2,49,-7,0,38,7,0.3,0,1.5,0,0,3,0,3,0.3,31374,0,-1,0,0,705,36,0,0,92,West Ham,Newcastle,Norwich,Arsenal,Watford,0.9,0.7,1,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.7,40.9
,Adrian,GLK,LIV,4000000,0,25,0.925925925925926,2.31481481481481E-07,6.25E-06,0,609287,1,9,0,16,0,0,0,6.2,225,-5,0,25,5,0,0,0,0,0,2,0,0,1.9,628126,0,-1,0,0,783,140,0,0,123,Watford,Bournemouth,Everton,Crystal Palace,Man City,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,11.3
Sergio,Aguero,FWD,MCI,11900000,0,123,5.9,4.95798319327731E-07,1.03361344537815E-05,0,2822010,1,17,0,0,0,16,0,10.3,12135,-1,0,123,1,0.1,1,1.3,14,0,5,0,4,17.5,2659232,0,-1,0,4,1336,4921,0,0,489,Man Utd,Burnley,Chelsea,Liverpool,Southampton,0,6.9,7.7,7.7,6.3,8.2,7.5,7.4,8.3,7.2,8.4,202.2
Albian,Ajeti,FWD,WHU,5700000,0,8,1,1.75438596491228E-07,1.40350877192982E-06,0,5264,0,3,0,0,0,0,0,1.4,5,-3,0,8,3,0,0,0,0,0,0,0,0,0,2618,0,-1,0,0,128,5,0,0,14,Southampton,Arsenal,Wolverhampton,Tottenham,Chelsea,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.7,7.3
Nathan,Ake,DEF,BOU,4800000,1,66,3,6.25E-07,1.375E-05,0,1298301,1,31,0,0,0,2,0,13.8,730,-2,0,66,2,0.6,0,2.8,6,0,3,0,1,6.5,558819,0,-1,0,1,1924,550,0,0,392,Chelsea,Liverpool,Crystal Palace,Wolverhampton,Newcastle,3,2.7,3.3,2.1,4.2,2.2,4.1,2.9,2.3,2.4,2.7,87.7
Marc,Albrighton,MID,LEI,5100000,1,17,0.62962962962963,1.23456790123457E-07,3.33333333333333E-06,0,21591,1,7,0,0,0,0,0,3.3,18,-4,0,17,4,0.1,0,0.5,0,0,0,0,1,0.2,9027,0,-1,0,0,386,13,0,0,87,Norwich,Aston Villa,Watford,Brighton,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,27.5
Toby,Alderweireld,DEF,TOT,5300000,0,64,2.5,4.71698113207547E-07,1.20754716981132E-05,0,534269,4,35,0,0,0,1,0,12.1,534,-2,0,64,2,0.5,0,2.8,2,0,4,0,2,4.8,337560,1,-1,0,1,2327,358,0,0,445,Wolverhampton,Burnley,Man Utd,West Ham,Sheffield United,2.1,1.5,2.7,3.1,1.8,2.9,1.7,2,2.3,2.2,1.9,95.4
Trent,Alexander-Arnold,DEF,LIV,7700000,1,164,5.9,7.66233766233766E-07,2.12987012987013E-05,0,1247696,4,20,0,0,0,2,0,21.3,2057,7,0,164,-7,0.8,0,6,18,0,11,0,14,44.7,2719414,0,-1,0,6,2459,5580,0,0,709,Watford,Bournemouth,Everton,Crystal Palace,Man City,6.9,7.6,7.4,7.9,7,8.5,7.3,7,6.1,7.5,7.3,227.9
,Alisson,GLK,LIV,6200000,1,89,4.5,7.25806451612903E-07,1.43548387096774E-05,0,1823473,0,12,0,45,0,0,0,14.4,2625,2,0,89,-2,0.6,0,4,6,0,10,0,1,11.4,727673,0,-1,0,1,1733,1130,0,1,408,Watford,Bournemouth,Everton,Crystal Palace,Man City,4.6,5.2,5.3,5.5,4.8,6.5,5,4.7,4.1,5.1,5.6,38.8
Thomas,Allan,MID,NEW,4500000,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0,-1,0,0,0,10,0,0,0,Burnley,Southampton,Sheffield United,Aston Villa,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0
Bamidele,Alli,MID,TOT,8300000,0,99,5,6.02409638554217E-07,1.19277108433735E-05,0,1407135,2,20,0,0,0,7,0,11.8,4423,-2,1,99,2,0.2,0,1.5,12,0,4,0,4,4.8,1650893,0,-1,0,2,1578,1170,-1,0,303,Wolverhampton,Burnley,Man Utd,West Ham,Sheffield United,6.4,5.2,6.4,5.7,6.3,6.6,5.3,6.5,5.1,5,4.9,126.8
Miguel,Almiron,MID,NEW,5800000,3,76,2.8,4.82758620689655E-07,1.31034482758621E-05,0,94481,5,37,0,0,0,2,0,13.1,619,-2,0,76,2,0.4,0,2.2,5,0,9,0,1,0.7,89000,0,-1,0,1,2280,190,0,0,231,Burnley,Southampton,Sheffield United,Aston Villa,Bournemouth,3,2.2,3.4,2.8,2,2.5,1.4,1.9,2.4,1.8,1.9,108.4
Marcos,Alonso,DEF,CHE,6000000,16,71,2.62962962962963,4.38271604938272E-07,1.18333333333333E-05,0,474163,3,7,0,0,0,4,0,11.8,516,-5,0,71,5,1,0,6,8,0,4,0,3,2.6,302521,0,-1,0,3,768,21536,0,0,243,Bournemouth,Everton,Aston Villa,Man City,West Ham,2,2.9,3,2.1,2.8,2.3,2.2,2.2,2.7,2.4,2.1,75.2
Steven,Alzate,MID,BHA,4500000,1,33,1.22222222222222,2.71604938271605E-07,7.33333333333333E-06,0,12270,1,18,0,0,0,0,0,7.3,55,0,0,33,0,0.1,0,0.5,0,0,3,0,0,0.1,18502,0,-1,0,0,1181,43,0,0,183,Crystal Palace,Wolverhampton,Arsenal,Leicester,Man Utd,0.7,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.9,0.6,62.2
Ibrahim,Amadou,MID,NOR,4500000,0,18,1.6,3.55555555555556E-07,4E-06,0,11234,1,20,0,0,0,0,0,4,16,0,0,18,0,0,0,0,0,0,1,0,0,0.1,11521,0,-1,0,0,756,0,0,0,122,Leicester,Sheffield United,Southampton,Everton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,22.7
