FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,5000000,0,0,0,0,0,0,1269,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0.1,478,0,-1,0,0,0,37,0,0,0,Brighton,Tottenham,Burnley,Man Utd,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7400000,0,0,0,0,0,0,79429,0,0,0,0,0,0,0,0,4177,-1,0,0,1,0,0,0,0,0,0,0,0,3.5,4961,0,-1,0,0,0,248,0,0,0,Liverpool,West Brom,Crystal Palace,Southampton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6000000,0,2,2,3.33333333333333E-07,3.33333333333333E-07,0,64296,0,1,0,0,0,0,0,0.3,5423,0,0,2,0,0.2,0,1,0,0,0,0,0,3.8,19231,0,-1,0,0,84,494,0,0,3,Tottenham,Burnley,West Brom,Chelsea,Everton,2.1,2.5,2.8,1,1,2.5,1.1,1,2.8,2.2,2.8,1,2.8,1.8,2.8,1.8,1.7,1,1,2.8,2.5,1,1,1.2,1,2.5,2.5,1.7,2.8,2.5,1.2,2.5,1,1.4,2.2,2.1,2.5,3.9
,Adrian,GLK,LIV,4500000,0,0,0,0,0,0,2180,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0.3,663,0,-1,0,0,0,36,0,0,0,Chelsea,Arsenal,Aston Villa,Everton,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,10500000,0,0,0,0,0,0,102238,0,0,0,0,0,0,0,0,19438,0,0,0,0,0,0,0,0,0,0,0,0,3.3,45064,0,-1,0,0,0,62,0,0,0,Wolverhampton,Leicester,Leeds United F.C.,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,5000000,0,0,0,0,0,0,5535,1,8,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1184,0,-1,0,0,180,60,0,0,11,Everton,Chelsea,Southampton,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,-1,0,0,0,4,0,0,0,Arsenal,Wolverhampton,Leicester,Tottenham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5500000,0,0,0,0,0,0,41252,0,0,0,0,0,0,0,0,1936,0,0,0,0,0,0,0,0,0,0,0,0,7.3,45973,0,-1,0,0,0,2482,0,0,0,Wolverhampton,Leicester,Leeds United F.C.,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc,Albrighton,MID,LEI,5500000,0,1,1,1.81818181818182E-07,1.81818181818182E-07,0,2408,0,0,0,0,0,0,0,0.2,118,0,0,1,0,0.1,0,0.5,0,0,0,0,0,0.2,1041,0,-1,0,0,23,35,0,0,3,Burnley,Man City,West Ham,Aston Villa,Arsenal,1.4,1.2,0.6,1.4,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,1.4,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,1.2,0.5,0.5,0.8,1.2,1.4,0.5,0.5,0.5,0.5,0.5,1.2,0.5,0.7,0.1
Toby,Alderweireld,DEF,TOT,5500000,0,2,2,3.63636363636364E-07,3.63636363636364E-07,0,20429,0,1,0,0,0,0,0,0.4,692,0,0,2,0,0.2,0,1,0,0,0,0,0,2.8,9857,0,-1,0,0,90,541,0,0,12,Southampton,Newcastle,Man Utd,West Ham,Burnley,1.6,1.2,2.5,2.5,2.5,2.5,1.8,2.8,1.6,1.5,2.5,2.5,1.1,1.2,1,1,2.5,1.8,2.8,2.1,2,2.2,2.5,2.1,2.8,2.8,1.2,2,1,2.8,1,1,2.2,1,1.5,2.8,1,3
