FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4900000,0,0,0,0,0,0,2556,0,0,0,0,0,0,0,0,208,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,935,0,-1,0,0,0,65,0,0,0,Tottenham,Burnley,Man Utd,Wolverhampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7300000,6,7,3.5,4.79452054794521E-07,9.58904109589041E-07,0,143830,0,3,0,0,0,1,0,1,5438,-2,0,7,2,0.3,0,2.3,0,0,0,0,0,2.6,14508,0,-1,0,0,101,4280,0,0,26,West Brom,Crystal Palace,Southampton,Man Utd,Burnley,5.2,1.8,1.8,4.8,4.4,1.8,5.2,1.8,1.8,3.9,5.2,1.8,4.3,1.8,1.8,4.1,5.2,1.8,1.8,5.2,4.9,1.8,3.6,1.9,1.8,3.7,4.8,1.8,3.7,1.8,4.5,1.8,4.3,1.8,1.8,2.6,10.1
Che,Adams,FWD,SOU,5900000,5,8,2.7,4.57627118644068E-07,1.35593220338983E-06,0,163281,1,5,0,0,0,0,0,1.4,7935,-1,0,8,1,0.5,0,2.7,0,0,1,0,1,2.4,33677,0,-1,0,0,239,3087,0,0,15,Burnley,West Brom,Chelsea,Everton,Aston Villa,1.9,3.2,3.6,1.6,1.4,1.4,3.3,3.2,3.5,3,1.8,2.9,3.9,1.8,1.8,1.4,1.7,1.7,1.5,2.2,4.1,1.5,1.9,1.6,2.3,1.8,3.9,3,3.2,2.8,1.8,1.5,2.2,3.5,2.5,1.9,18.1
,Adrian,GLK,LIV,4500000,0,0,0,0,0,0,4882,0,0,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1423,0,-1,0,0,0,190,0,0,0,Arsenal,Aston Villa,Everton,Sheffield United,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,10400000,0,0,0,0,0,0,221342,0,0,0,0,0,0,0,0,9137,-1,0,0,1,0,0,0,0,0,0,0,0,1.6,55738,0,-1,0,0,0,217,0,0,0,Leicester,Leeds United F.C.,Arsenal,West Ham,Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4900000,1,1,0.3,6.12244897959184E-08,2.04081632653061E-07,0,10313,1,11,0,0,0,0,0,0.2,655,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.2,2064,0,-1,0,0,270,303,0,0,23,Chelsea,Southampton,Burnley,Brighton,Fulham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,-1,0,0,0,16,0,0,0,Wolverhampton,Leicester,Tottenham,Man City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5500000,5,7,3.5,6.36363636363636E-07,1.27272727272727E-06,0,105259,1,6,0,0,0,1,0,1.3,11671,0,0,7,0,0.6,0,3.5,0,0,0,0,0,8,144698,0,-1,0,0,180,13537,0,0,33,Leicester,Leeds United F.C.,Arsenal,West Ham,Sheffield United,1.8,1.8,2.3,3.7,3.9,4.2,4.3,2.9,2.5,3.7,2.8,1.8,1.8,1.8,5.2,1.8,4.4,3.5,4.2,2.3,5.2,1.8,3.2,2.8,4.4,3.8,2.5,2.5,2.5,4.3,2.8,3.2,2.4,5.2,4,1.8,7.6
Marc,Albrighton,MID,LEI,5400000,0,2,1,1.85185185185185E-07,3.7037037037037E-07,0,5524,0,0,0,0,0,0,0,0.4,526,-1,1,2,1,0.1,0,0.7,0,0,0,0,0,0.2,1803,0,-1,0,0,30,176,-1,0,6,Man City,West Ham,Aston Villa,Arsenal,Leeds United F.C.,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.7,0.5,0.5,1.5,0.5,0.5,0.5,0.5,0.9,1,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.3
Toby,Alderweireld,DEF,TOT,5500000,0,2,1,1.81818181818182E-07,3.63636363636364E-07,0,63891,0,1,0,0,0,0,0,0.4,8683,0,0,2,0,0.1,0,0.7,0,0,0,0,0,2.4,21988,0,-1,0,0,90,869,0,0,12,Newcastle,Man Utd,West Ham,Burnley,Brighton,0.5,0.8,0.5,0.5,0.5,0.7,0.5,1.2,0.5,0.6,1.3,0.5,1.3,0.5,0.5,1,0.8,0.5,0.9,0.5,0.5,0.6,0.8,0.5,0.5,0.6,0.5,1.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,3
