FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,5688,0,0,0,0,0,0,0,0,38,-2,0,0,2,0,0,0,0,0,0,0,0,0,1505,0,-1,0,0,0,1,0,0,0,West Brom,Leeds United F.C.,Fulham,Man City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,1,39,3.9,5.41666666666667E-07,5.41666666666667E-06,0,278376,0,5,0,0,0,3,0,5.4,14190,-3,0,39,3,0.6,0,4,5,0,4,0,2,3.2,182694,0,-1,0,0,556,3956,0,0,128,Leeds United F.C.,Everton,Wolverhampton,West Ham,Arsenal,2.9,5,3.6,3,4.6,2.8,3.5,5.1,5.2,3.3,3.6,4.4,5.4,3.8,3.9,3.5,3.9,5.1,4.1,4.5,4.9,4,3.7,4.6,3.7,3.1,3.1,4.8,56.9
Che,Adams,FWD,SOU,6000000,0,50,5,8.33333333333333E-07,8.33333333333333E-06,0,390132,1,15,0,0,0,3,0,8.3,12298,0,0,50,0,0.5,0,3,7,0,4,0,4,7.7,643320,0,-1,0,1,855,16395,0,0,161,Brighton,Sheffield United,Arsenal,Man City,Fulham,6.3,6.9,5.5,6.1,6,5.4,6.8,6.1,6.1,5.6,5.2,6.5,6.7,5.9,4.8,6,6.3,6.7,5.2,6.3,5.1,7.5,4.2,5.6,4.9,7.2,5.3,4.3,67
Tosin,Adarabioyo,DEF,FUL,4500000,1,14,2,4.44444444444444E-07,3.11111111111111E-06,0,1134,1,10,0,0,0,0,0,3.1,59,0,0,14,0,0.3,0,1.2,0,0,1,0,0,0,2083,0,-1,0,0,630,52,0,0,98,Man City,Liverpool,Brighton,Newcastle,Southampton,2.1,2.3,1.3,1.4,1.3,1.4,1.5,1.8,1,1.5,1.5,1.1,1.7,1.1,1.4,1.3,1.9,2.4,1,2,1.9,2.1,1,1.3,1.4,1,2.4,1,17
,Adrian,GLK,LIV,4400000,0,2,0.2,4.54545454545455E-08,4.54545454545455E-07,0,46032,0,9,0,7,0,0,0,0.5,678,-1,0,2,1,0,0,0,0,0,0,0,0,0.4,47096,0,-1,0,0,180,458,0,0,28,Wolverhampton,Fulham,Tottenham,Crystal Palace,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,0,3,1.5,1.45631067961165E-07,2.9126213592233E-07,0,414125,0,1,0,0,0,0,0,0.3,2208,-2,0,3,2,0,0,0,0,0,1,0,0,1.2,212239,0,-1,0,0,109,137,0,0,16,Fulham,Man Utd,West Brom,Southampton,Newcastle,0,0,0,0,0,1,0.8,1.1,1.5,0.8,1.3,0.9,0.8,0.8,0.9,0.8,0.9,1,0.9,1,0.8,0.9,1.1,0.9,0.8,1.2,1.1,1.1,5.8
Ola,Aina,DEF,FUL,4500000,1,26,3.2,7.11111111111111E-07,5.77777777777778E-06,0,11512,0,11,0,0,0,1,0,5.8,855,0,0,26,0,0.3,0,1.5,3,0,1,0,0,0.3,28726,0,-1,0,1,720,269,0,0,120,Man City,Liverpool,Brighton,Newcastle,Southampton,4,4.4,2.8,3,2.8,3,3.1,3.6,2.2,3.1,3,2.5,3.5,2.4,3,2.9,3.7,4.5,2.2,4,3.9,4.1,2.2,2.7,3,2,4.5,2.2,27.2
Rayan,Ait Nouri,DEF,WOL,5000000,1,20,2,4E-07,4E-06,0,19639,0,3,0,0,0,1,0,4,1704,0,0,20,0,0.2,0,1.2,3,0,1,0,0,0.3,38607,0,-1,0,1,274,263,0,0,64,Liverpool,Aston Villa,Chelsea,Burnley,Tottenham,1.8,1.5,1.1,1.4,1,2.3,1.4,1,2.1,1.2,1.3,1.8,1.2,1,1.1,1.3,1.9,2.4,2,1.8,1.5,1.5,1.5,1.4,1.4,1.3,1,1.9,18.1
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,16,1.6,3.33333333333333E-07,3.33333333333333E-06,0,19523,1,23,0,0,0,0,0,3.3,445,-2,0,16,2,0.6,0,2.8,1,0,1,0,0,0.2,7813,0,-1,0,0,900,158,0,0,128,Crystal Palace,Newcastle,Man City,Aston Villa,Liverpool,1.5,0.8,1.3,1.1,1.1,0.8,1.3,1,1,1.9,1.3,0.9,0.8,1.4,0.9,1,0.8,0.8,0.8,0.8,1,1,1.3,1.5,1.3,1.8,1.4,1,17.8
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,548,0,-1,0,0,0,3,0,0,0,Man Utd,Leeds United F.C.,Crystal Palace,Chelsea,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
