FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,5747,0,0,0,0,0,0,0,0,5,-2,0,0,2,0,0,0,0,0,0,0,0,0,1515,0,-1,0,0,0,4,0,0,0,West Brom,Leeds United F.C.,Fulham,Man City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,1,40,3.6,5E-07,5.55555555555556E-06,0,314550,0,5,0,0,0,3,0,5.6,3592,-3,0,40,3,0.4,0,3.2,5,0,4,0,2,2.7,187190,0,-1,0,0,578,808,0,0,132,Everton,Wolverhampton,West Ham,Arsenal,Aston Villa,4.2,3.1,2.6,4.1,2.3,3.2,4.6,4.7,3.3,3.5,3.9,4.8,3.3,3.1,2.9,3.3,4.4,3.7,4.1,4.5,3.7,3.4,4.4,3,3.1,3,4,57.6
Che,Adams,FWD,SOU,6000000,6,58,4.8,8E-07,9.66666666666667E-06,0,472278,1,16,0,0,0,4,0,9.7,8024,0,0,58,0,0.7,0,4.2,7,0,5,0,4,6.9,669192,0,-1,0,1,1028,4474,0,0,210,Sheffield United,Arsenal,Man City,Fulham,West Ham,6.7,5.2,5.7,5.7,4.9,6.8,5.7,6,5.6,4.5,6,6.3,5.9,4.7,5.5,6,6.4,4.9,6.2,5,7.1,3.8,5.5,4.8,6.9,5.3,4.3,68.8
Tosin,Adarabioyo,DEF,FUL,4500000,0,14,2,4.44444444444444E-07,3.11111111111111E-06,0,1264,1,10,0,0,0,0,0,3.1,18,0,0,14,0,0.2,0,0.8,0,0,1,0,0,0,2205,0,-1,0,0,630,32,0,0,98,Liverpool,Brighton,Newcastle,Southampton,Tottenham,2.5,1.3,1.2,1.3,1.3,1.5,1.9,1.1,1.4,1.5,1.2,1.8,1.1,1.5,1.4,1.9,2.6,1.1,1.9,2.2,2,1.1,1.2,1.6,1,2.4,1,17
,Adrian,GLK,LIV,4300000,0,2,0.181818181818182,4.22832980972516E-08,4.65116279069767E-07,0,47812,0,9,0,7,0,0,0,0.5,235,-2,0,2,2,0,0,0,0,0,0,0,0,0.4,47829,0,-1,0,0,180,132,0,0,28,Fulham,Tottenham,Crystal Palace,West Brom,Newcastle,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,0,3,1.5,1.45631067961165E-07,2.9126213592233E-07,0,417067,0,1,0,0,0,0,0,0.3,622,-2,0,3,2,0,0,0,0,0,1,0,0,1.2,219924,0,-1,0,0,109,2094,0,0,16,Man Utd,West Brom,Southampton,Newcastle,Everton,0,1.3,0.8,1,0.9,0.8,1.2,1.5,0.8,1.4,0.8,0.8,0.8,0.8,0.8,0.9,1,1,1,0.8,0.8,1,1,0.8,1.1,1.1,1,5.8
Ola,Aina,DEF,FUL,4500000,0,26,3.2,7.11111111111111E-07,5.77777777777778E-06,0,13448,0,11,0,0,0,1,0,5.8,197,0,0,26,0,0.2,0,1,3,0,1,0,0,0.3,29515,0,-1,0,1,720,207,0,0,120,Liverpool,Brighton,Newcastle,Southampton,Tottenham,4.6,2.8,2.7,2.7,2.9,3.1,3.8,2.4,3,3.1,2.7,3.6,2.3,3.1,3,3.7,4.7,2.4,3.8,4.2,4,2.5,2.6,3.3,1.9,4.5,2.1,27.2
Rayan,Ait Nouri,DEF,WOL,5000000,0,20,1.81818181818182,3.63636363636364E-07,4E-06,0,23244,0,3,0,0,0,1,0,4,1055,0,0,20,0,0.2,0,0.8,3,0,1,0,0,0.3,39054,0,-1,0,1,274,51,0,0,64,Aston Villa,Chelsea,Burnley,Tottenham,Man Utd,1.3,1,1.2,1,2,1.1,1,1.9,0.9,1.1,1.8,1.1,0.9,1,0.9,1.5,2.3,1.6,1.6,1.2,1.4,1.5,1.1,1.2,1,0.9,1.7,18.1
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,16,1.5,3.125E-07,3.33333333333333E-06,0,20672,2,25,0,0,0,0,0,3.3,144,-2,0,16,2,0.5,0,2.2,1,0,1,0,0,0.2,8138,0,-1,0,0,990,41,0,0,136,Newcastle,Man City,Aston Villa,Liverpool,Leeds United F.C.,0.8,1.2,1,1.1,0.8,1.3,1,0.9,1.8,1.3,0.8,0.8,1.3,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.9,1.1,1.5,1.2,1.7,1.2,0.8,23.1
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,706,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,-1,0,0,0,1,0,0,0,Leeds United F.C.,Crystal Palace,Chelsea,Brighton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
