FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,5889,0,0,0,0,0,0,0,0,13,-2,0,0,2,0,0,0,0,0,0,0,0,0,1537,0,-1,0,0,0,0,0,0,0,Man City,Liverpool,Leicester,Sheffield United,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,6,60,4.3,5.97222222222222E-07,8.33333333333333E-06,0,365841,0,9,0,0,0,6,0,8.3,2924,-3,0,60,3,0.6,0,4,8,0,5,0,2,3,254074,0,-1,0,1,777,17104,0,0,216,Arsenal,Aston Villa,Man City,Fulham,Leicester,4.9,3.3,4.4,0,10,5,4.5,4.8,5.6,5.3,3.8,4.8,4.6,4.9,4.3,5.5,5.5,5.3,4,5.4,3.6,4.6,4.2,4.7,77
Che,Adams,FWD,SOU,6100000,2,69,4.6,7.54098360655738E-07,1.13114754098361E-05,0,592358,1,18,0,0,0,4,0,11.3,20199,1,0,69,-1,0.6,0,3.5,9,0,6,0,5,9.5,982134,0,-1,0,1,1289,20789,0,0,232,Fulham,West Ham,Liverpool,Leicester,Leeds United F.C.,5.1,4.9,5.9,0,10.8,5.2,3.8,5.8,6,5.6,4.9,4.8,5.9,5.9,5.1,5.1,5.2,6.5,3.9,4.8,4.6,6.1,5,4.3,94.1
Tosin,Adarabioyo,DEF,FUL,4500000,6,38,3.5,7.77777777777778E-07,8.44444444444444E-06,0,3541,1,12,0,0,0,0,0,8.4,426,0,0,38,0,1,0,4.3,5,0,3,0,1,0.2,13527,0,-1,0,1,990,1523,0,0,188,Southampton,Tottenham,Burnley,Chelsea,Man Utd,3.2,3.4,3.4,0,7,3.2,3.8,2.9,4.3,2.7,3.5,3.7,3.7,5,2.9,4.5,4.7,4.3,3.1,2.6,3.5,2.4,4.4,2.7,29.6
,Adrian,GLK,LIV,4300000,0,2,0.142857142857143,3.32225913621262E-08,4.65116279069767E-07,0,51843,0,9,0,7,0,0,0,0.5,306,-2,0,2,2,0,0,0,0,0,0,0,0,0.4,50069,0,-1,0,0,180,197,0,0,28,West Brom,Newcastle,Southampton,Man Utd,Burnley,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,1,5,1.2,1.16504854368932E-07,4.85436893203884E-07,0,434638,0,1,0,0,0,0,0,0.5,3047,-2,0,5,2,0,0,0.3,0,0,1,0,0,1.5,253975,0,-1,0,0,136,1595,0,0,17,Newcastle,Everton,Chelsea,Brighton,Crystal Palace,0.8,0.6,0.6,0.8,1,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.8,0.6,0.8,0.7,0.6,10.4
Ola,Aina,DEF,FUL,4500000,6,42,3.5,7.77777777777778E-07,9.33333333333333E-06,0,20243,0,13,0,0,0,1,0,9.3,641,0,0,42,0,0.7,0,3.2,3,0,3,0,0,0.4,42455,0,-1,0,1,1080,1769,0,0,200,Southampton,Tottenham,Burnley,Chelsea,Man Utd,3.2,3.4,3.4,0,7,3.2,3.8,2.9,4.3,2.7,3.5,3.7,3.7,5,2.9,4.5,4.7,4.3,3.1,2.6,3.5,2.4,4.4,2.7,39.4
Rayan,Ait Nouri,DEF,WOL,5000000,0,20,1.42857142857143,2.85714285714286E-07,4E-06,0,32259,0,5,0,0,0,1,0,4,324,0,0,20,0,0,0,0.2,3,0,1,0,0,0.2,39973,0,-1,0,1,333,100,0,0,76,Tottenham,Man Utd,Brighton,Everton,West Brom,0.7,1.1,0.7,0.7,1.2,0.7,0.9,1.1,0.7,0.7,0.7,0.7,1.2,1.2,1.3,1.2,0.8,0.9,0.8,0.9,0.8,0.8,0.7,1,22.6
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,8,30,2.1,4.375E-07,6.25E-06,0,23031,2,30,0,0,0,1,0,6.2,134,-2,0,30,2,0.7,0,3.5,1,0,1,0,1,0.2,10381,0,-1,0,1,1260,413,0,0,185,Liverpool,Leeds United F.C.,Arsenal,Wolverhampton,West Ham,1.7,1.2,2,0,3.8,2.8,2,1.5,1.6,1.8,1.5,1.5,1.1,1.7,1.2,1.1,1.4,1.7,2.2,2.3,2.1,2.2,2.1,1.4,27.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,749,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,-1,0,0,0,2,0,0,0,Brighton,Southampton,Everton,Burnley,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
