FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,5918,0,0,0,0,0,0,0,0,8,-2,0,0,2,0,0,0,0,0,0,0,0,0,1539,0,-1,0,0,0,1,0,0,0,Liverpool,Leicester,Sheffield United,Arsenal,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,0,60,4.3,5.97222222222222E-07,8.33333333333333E-06,0,385133,0,9,0,0,0,6,0,8.3,11605,-3,0,60,3,0.5,0,3.7,8,0,5,0,2,3.4,302419,0,-1,0,1,777,7167,0,0,216,Aston Villa,Man City,Fulham,Leicester,Wolverhampton,3.5,4.7,0,10,5,4.5,4.6,5.5,5.6,3.7,4.7,4.7,4.4,4.4,5.6,5.3,5.3,3.9,5.6,3.6,4.7,4.3,4.4,77
Che,Adams,FWD,SOU,6100000,1,70,4.4,7.21311475409836E-07,1.14754098360656E-05,0,669233,1,18,0,0,0,4,0,11.5,31004,1,0,70,-1,0.5,0,3.3,9,0,6,0,5,9.4,1048873,0,-1,0,1,1346,16981,0,0,232,West Ham,Liverpool,Leicester,Leeds United F.C.,Arsenal,4.6,5.6,0,9.8,4.9,3.7,5.2,5.6,5.2,4.8,4.7,5.7,5.6,4.7,4.7,5.1,6.3,3.7,4.5,4.5,5.9,4.6,3.9,98.6
Tosin,Adarabioyo,DEF,FUL,4500000,0,38,3.5,7.77777777777778E-07,8.44444444444444E-06,0,5077,1,12,0,0,0,0,0,8.4,687,0,0,38,0,1.1,0,5,5,0,3,0,1,0.2,17236,0,-1,0,1,990,1788,0,0,188,Burnley,Chelsea,Man Utd,Brighton,West Brom,0,3.3,0,7.2,3.3,3.9,3,4.4,2.9,3.6,3.7,3.8,5.1,2.9,4.4,4.8,4.1,3.3,2.5,3.6,2.5,4.3,3,29.6
,Adrian,GLK,LIV,4300000,0,2,0.133333333333333,3.10077519379845E-08,4.65116279069767E-07,0,52837,0,9,0,7,0,0,0,0.5,402,-2,0,2,2,0,0,0,0,0,0,0,0,0.4,50435,0,-1,0,0,180,145,0,0,28,Newcastle,Southampton,Man Utd,Burnley,Tottenham,0.1,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,0,5,1.2,1.16504854368932E-07,4.85436893203884E-07,0,443460,0,1,0,0,0,0,0,0.5,2455,-2,0,5,2,0,0,0.4,0,0,1,0,0,1.5,261711,0,-1,0,0,136,1718,0,0,17,Chelsea,Brighton,Crystal Palace,West Brom,Sheffield United,0,0.6,0.8,1,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.8,0.6,0.8,0.7,0.6,10.4
Ola,Aina,DEF,FUL,4500000,0,42,3.5,7.77777777777778E-07,9.33333333333333E-06,0,22537,0,13,0,0,0,1,0,9.3,1026,0,0,42,0,0.8,0,3.4,3,0,3,0,0,0.4,47099,0,-1,0,1,1080,2540,0,0,200,Burnley,Chelsea,Man Utd,Brighton,West Brom,0,3.3,0,7.2,3.3,3.9,3,4.4,2.9,3.6,3.7,3.8,5.1,2.9,4.4,4.8,4.1,3.3,2.5,3.6,2.5,4.3,3,39.4
Rayan,Ait Nouri,DEF,WOL,5000000,2,23,1.53333333333333,3.06666666666667E-07,4.6E-06,0,33326,0,6,0,0,0,1,0,4.6,430,0,0,23,0,0.1,0,0.7,3,0,1,0,0,0.2,40481,0,-1,0,1,438,405,0,0,95,Man Utd,Brighton,Everton,West Brom,Chelsea,1.3,0.8,0.8,1.3,0.8,1,1.2,0.8,0.8,0.8,0.8,1.3,1.4,1.5,1.3,1,1,1,1.1,0.9,0.9,0.8,1.1,27.1
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,31,2.1,4.375E-07,6.45833333333333E-06,0,24133,2,35,0,0,0,1,0,6.5,713,-2,0,31,2,0.5,0,2.5,2,0,1,0,1,0.2,15642,0,-1,0,0,1350,1253,0,0,194,Leeds United F.C.,Arsenal,Wolverhampton,West Ham,Man City,1.2,1.9,0,3.9,2.9,2,1.5,1.6,1.8,1.6,1.5,1.2,1.7,1.2,1.1,1.4,1.8,2.2,2.3,2,2.2,2.1,1.3,36.5
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,-1,0,0,0,9,0,0,0,Southampton,Everton,Burnley,West Brom,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
