FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,5953,0,0,0,0,0,0,0,0,17,-2,0,0,2,0,0,0,0,0,0,0,0,0,1543,0,-1,0,0,0,2,0,0,0,Leicester,Sheffield United,Arsenal,Leeds United F.C.,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,0,60,4.3,5.97222222222222E-07,8.33333333333333E-06,0,424970,0,9,0,0,0,6,0,8.3,11830,-3,0,60,3,0.4,0,3.1,8,0,5,0,2,3,315802,0,-1,0,1,777,5498,0,0,216,Man City,Fulham,Leicester,Wolverhampton,Burnley,4.6,0,10,5.1,4.8,4.4,5.6,5.3,3.9,4.8,4.6,4.7,4.4,5.6,5.3,5.3,3.8,5.6,3.6,4.3,4.4,4.4,77
Che,Adams,FWD,SOU,6100000,0,70,4.4,7.21311475409836E-07,1.14754098360656E-05,0,784442,1,18,0,0,0,4,0,11.5,30345,1,0,70,-1,0.5,0,2.9,9,0,6,0,5,7.8,1081850,0,-1,0,1,1346,13221,0,0,232,Liverpool,Leicester,Leeds United F.C.,Arsenal,Aston Villa,5.5,0,10.1,4.5,3.9,5.1,5.3,5.3,4.8,4.7,5.6,5.5,4.5,5,5.3,6.3,3.6,4.6,4.4,5.8,4.6,3.9,98.6
Tosin,Adarabioyo,DEF,FUL,4500000,0,38,3.5,7.77777777777778E-07,8.44444444444444E-06,0,8310,1,12,0,0,0,0,0,8.4,1873,0,0,38,0,1.1,0,5,5,0,3,0,1,0.3,25638,0,-1,0,1,990,3991,0,0,188,Chelsea,Man Utd,Brighton,West Brom,Leicester,0,0,7.4,3.3,4,3.1,4.5,2.9,3.6,3.7,3.9,5.1,2.9,4.3,4.9,4.1,3.1,2.6,3.9,2.6,4.2,2.9,29.6
,Adrian,GLK,LIV,4300000,0,2,0.125,2.90697674418605E-08,4.65116279069767E-07,0,54157,0,9,0,7,0,0,0,0.5,473,-2,0,2,2,0,0,0,0,0,0,0,0,0.4,50822,0,-1,0,0,180,232,0,0,28,Southampton,Man Utd,Burnley,Tottenham,West Ham,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Sergio,Aguero,FWD,MCI,10300000,1,6,1.2,1.16504854368932E-07,5.8252427184466E-07,0,452995,0,2,0,0,0,0,0,0.6,3214,-2,0,6,2,0,0,0.5,0,0,1,0,0,1.6,272705,0,-1,0,0,140,6486,0,0,20,Chelsea,Brighton,Crystal Palace,Aston Villa,West Brom,0.6,0.8,1.6,0.7,0.9,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.6,10.4
Ola,Aina,DEF,FUL,4500000,0,42,3.5,7.77777777777778E-07,9.33333333333333E-06,0,26570,0,13,0,0,0,1,0,9.3,1953,0,0,42,0,0.8,0,3.4,3,0,3,0,0,0.4,52759,0,-1,0,1,1080,1063,0,0,200,Chelsea,Man Utd,Brighton,West Brom,Leicester,0,0,7.4,3.3,4,3.1,4.5,2.9,3.6,3.7,3.9,5.1,2.9,4.3,4.9,4.1,3.1,2.6,3.9,2.6,4.2,2.9,39.4
Rayan,Ait Nouri,DEF,WOL,5000000,1,24,1.5,3E-07,4.8E-06,0,34659,0,9,0,0,0,1,0,4.8,579,0,0,24,0,0.1,0,0.7,3,0,1,0,0,0.2,42150,0,-1,0,1,528,533,0,0,98,Brighton,Everton,West Brom,Chelsea,Crystal Palace,0.8,0.8,1.3,0.8,0.9,1.1,0.8,0.8,0.8,0.8,1.2,1.4,1.4,1.3,0.9,1,1.1,1,0.9,0.8,0.8,1.2,28
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,31,1.9,3.95833333333333E-07,6.45833333333333E-06,0,26288,2,39,0,0,0,1,0,6.5,870,-2,0,31,2,0.4,0,2.1,2,0,1,0,1,0.2,16986,0,-1,0,0,1440,411,0,0,202,Arsenal,Wolverhampton,West Ham,Man City,Fulham,1.5,0,3.4,2.4,1.7,1.3,1.3,1.5,1.3,1.2,1,1.5,1,1,1.2,1.5,1.9,2,1.7,1.9,1.8,1.2,38
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,775,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,642,0,-1,0,0,0,4,0,0,0,Everton,Burnley,West Brom,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5400000,0,21,1.5,2.77777777777778E-07,3.88888888888889E-06,0,571016,3,7,0,0,0,1,0,3.9,4166,-1,0,21,1,0.2,0,1.3,1,0,2,0,0,3.2,261474,0,-1,0,0,469,1299,0,0,97,Chelsea,Brighton,Crystal Palace,Aston Villa,West Brom,0,0.8,2.3,1,1,0.8,1,0.8,1.1,1.3,1.1,0.9,1.5,1,0.8,1.2,0.9,0.9,0.8,0.8,0.8,0.8,16.6
Marc,Albrighton,MID,LEI,5300000,5,25,1.5625,2.94811320754717E-07,4.71698113207547E-06,0,14251,1,8,0,0,0,0,0,4.7,171,-2,0,25,2,0.5,0,2.4,0,0,2,0,2,0.1,5951,0,-1,0,0,700,188,0,0,114,Newcastle,Southampton,Chelsea,Everton,Leeds United F.C.,1.1,0,1.6,1.1,0.8,1,0.9,0.8,0.9,0.8,1.1,1.2,1.2,0.8,0.9,0.9,0.8,0.9,0.8,0.8,0.9,0.8,38.1
