FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6185,0,0,0,0,0,0,0,0,7,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Wolverhampton,West Brom,Aston Villa,Brighton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7100000,0,67,3.4,4.7887323943662E-07,9.43661971830986E-06,0,744765,0,12,0,0,0,6,0,9.4,4384,-4,0,67,4,0,0,0.3,8,0,5,0,2,2.4,581396,0,-1,0,1,1014,941,0,0,223,Man Utd,Liverpool,Everton,Leeds United F.C.,West Brom,6.6,2.9,3.1,0,3.7,3.4,3.4,2.7,3.4,2.3,3.2,3.1,2.8,85.1
Che,Adams,FWD,SOU,5800000,2,88,3.5,6.03448275862069E-07,1.51724137931034E-05,0,1437207,1,38,0,0,0,4,0,15.2,9583,-2,0,88,2,0.4,0,2.2,9,0,6,0,6,4.3,1418877,0,-1,0,1,1904,11826,0,0,268,Everton,Sheffield United,Man City,Brighton,Burnley,3.6,5.6,3.7,0,3.5,3.5,4.5,0,3.4,3.5,3.7,3.6,2.7,131
Tosin,Adarabioyo,DEF,FUL,4500000,8,80,3.5,7.77777777777778E-07,1.77777777777778E-05,0,43970,1,22,0,0,0,0,0,17.8,905,0,0,80,0,1,0,4.3,8,0,8,0,1,0.6,82790,1,-1,0,1,2070,1554,0,0,410,Crystal Palace,Tottenham,Liverpool,Man City,Leeds United F.C.,6.9,4.4,4.8,3.2,4.2,4.7,4.4,0,3.1,3.3,3,4.2,3.3,66.3
,Adrian,GLK,LIV,4200000,9,11,0.44,1.04761904761905E-07,2.61904761904762E-06,0,61913,0,9,0,10,0,0,0,2.6,276,-3,0,11,3,0.4,0,1.5,2,0,1,0,0,0.4,56371,0,-1,0,0,270,1221,0,0,60,Sheffield United,Chelsea,Fulham,Wolverhampton,Arsenal,0.4,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.9
Sergio,Aguero,FWD,MCI,10300000,2,8,1.3,1.2621359223301E-07,7.76699029126214E-07,0,506203,0,3,0,0,0,0,0,0.8,1320,-2,0,8,2,0,0,0.3,0,0,1,0,0,1.2,302594,0,-1,0,0,200,3298,0,0,23,West Ham,Wolverhampton,Man Utd,Southampton,Fulham,1.4,1.5,0.6,0,0.7,0.7,0.6,0,0.7,0.6,0.8,0.7,0.6,12.8
Ola,Aina,DEF,FUL,4500000,3,84,3.7,8.22222222222222E-07,1.86666666666667E-05,0,83628,2,23,0,0,0,2,0,18.7,5541,0,0,84,0,1,0,4.4,8,0,6,0,1,2.1,243070,0,-1,0,2,1999,4034,0,0,380,Crystal Palace,Tottenham,Liverpool,Man City,Leeds United F.C.,7.5,4.8,5.1,3.5,4.6,5.1,4.8,0,3.4,3.6,3.3,4.5,3.6,70.4
Rayan,Ait Nouri,DEF,WOL,5000000,1,34,1.36,2.72E-07,6.8E-06,0,47412,0,11,0,0,0,1,0,6.8,140,0,0,34,0,0.1,0,0.4,5,0,1,0,1,0.1,49655,0,-1,0,1,698,71,0,0,142,Newcastle,Man City,Aston Villa,Liverpool,West Ham,1.7,0.9,1.1,0,1.1,0.8,0.9,0.8,0.9,0.9,0.7,0.7,1,33.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,41,1.7,3.54166666666667E-07,8.54166666666667E-06,0,47633,3,55,0,0,0,2,0,8.5,346,-2,0,41,2,0,0,0.2,2,0,1,0,1,0.2,34808,0,-1,0,0,2099,312,0,1,272,Brighton,Everton,Newcastle,Crystal Palace,Chelsea,1.9,1,1.1,0,1,1.1,1.3,1.5,1.7,1.5,1.4,1.4,1.1,62.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,835,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Man City,Leeds United F.C.,Man Utd,Arsenal,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
