FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,6000000,2,15,3.8,6.33333333333333E-07,2.5E-06,0,199503,0,6,0,0,0,1,0,2.5,27604,0,0,15,0,0.5,0,3,0,0,1,0,1,3.3,336250,0,-1,0,0,343,17410,0,0,44,West Ham,Man City,Wolverhampton,Chelsea,Leeds United F.C.,3.6,1.9,3.4,1.9,5.5,5.7,4,4.7,4.6,2.6,5.1,3.1,4.1,2.4,4.3,3.2,2.8,5.7,3,5.7,2.4,2.8,4.4,5.5,2.9,5.7,4,4.6,2.7,4.5,3.3,3.7,1.9,2.2,2.3,22.9
Max,Aarons,DEF,NOR,4500000,1,5,1.2,2.66666666666667E-07,1.11111111111111E-06,0,72068,1,11,0,0,0,0,0,1.1,6662,0,0,5,0,0.3,0,1.3,2,0,0,0,0,1.7,28437,0,-1,0,0,360,2614,0,0,59,Arsenal,Watford,Everton,Burnley,Brighton,0.7,1,0.6,0.6,0.7,0.6,0.8,0.6,0.6,0.8,0.6,1.5,0.8,0.8,0.6,0.9,0.6,0.6,0.6,0.6,0.7,1.8,1.1,0.6,1.4,0.6,0.7,0.7,0.9,0.6,0.6,0.6,0.6,0.6,1.7,20.8
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,38876,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2438,0,-1,0,0,0,0,0,0,0,Aston Villa,Tottenham,Man City,Southampton,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,7000000,0,12,4,5.71428571428571E-07,1.71428571428571E-06,0,108261,0,5,0,0,0,0,0,1.7,15940,0,0,12,0,0.3,0,2.3,0,0,0,0,2,1.6,85624,0,-1,0,0,250,2295,0,0,34,West Ham,Man City,Wolverhampton,Chelsea,Leeds United F.C.,3.9,2,3.7,2,5.8,6,4.2,5.1,4.8,2.8,5.5,3.4,4.4,2.6,4.7,3.5,3.1,6,3.2,6,2.6,3.1,4.7,5.8,3.1,6,4.3,4.8,2.9,4.9,3.6,4,2.1,2.4,2.5,14.6
,Adrian,GLK,LIV,4500000,0,0,0,0,0,0,7562,0,0,0,0,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3620,0,-1,0,0,0,296,0,0,0,Leeds United F.C.,Crystal Palace,Brentford F.C.,Man City,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4400000,0,1,0.333333333333333,7.57575757575757E-08,2.27272727272727E-07,0,25407,0,0,0,0,0,0,0,0.2,2042,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.3,3434,0,-1,0,0,6,275,0,0,5,Watford,Brentford F.C.,Southampton,Newcastle,Aston Villa,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,1
Kristoffer,Ajer,DEF,BRE,4500000,1,15,3.8,8.44444444444444E-07,3.33333333333333E-06,0,25539,1,2,0,0,0,0,0,3.3,3390,0,0,15,0,0.7,0,3,0,0,2,0,0,1.1,52313,0,-1,0,0,340,2840,0,0,62,Brighton,Wolverhampton,Liverpool,West Ham,Chelsea,4.6,3.1,5.4,1.9,4.8,5.7,2,5.2,1.9,3.6,3.8,2.6,5.6,5.1,2,3.2,5.7,5.2,4.3,5.1,1.9,4.6,3.4,4.5,2.6,5.5,1.9,1.9,3.5,1.9,5.7,2.8,4.4,1.9,5.2,8.5
Nathan,Ake,DEF,MCI,4900000,0,2,0.666666666666667,1.36054421768707E-07,4.08163265306122E-07,0,25920,0,1,0,0,0,0,0,0.4,1901,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,0.4,15513,0,-1,0,0,90,558,0,0,15,Leicester,Southampton,Chelsea,Liverpool,Burnley,0.3,0.3,0.3,0.3,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.6,0.3,0.3,0.4,0.3,0.7,0.3,1,0.3,0.4,0.3,0.4,0.3,0.6,0.3,0.5,0.3,0.3,0.3,0.4,2.8
Marc,Albrighton,MID,LEI,5400000,2,9,3,5.55555555555556E-07,1.66666666666667E-06,0,10345,1,2,0,0,0,1,0,1.7,1231,-1,0,9,1,0.6,0,3,1,0,0,0,0,0.2,10465,0,-1,0,0,180,1959,0,0,34,Man City,Brighton,Burnley,Crystal Palace,Man Utd,4.5,1.5,4.5,1.5,2,1.5,3.3,1.5,2.9,4.5,1.5,1.5,4.1,2.4,1.5,1.5,1.6,3.6,1.6,2.1,1.5,2.2,1.6,1.5,3.2,1.5,3.7,1.5,3.1,1.5,3.5,1.5,2.8,1.5,3.3,10.9
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,1882,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Crystal Palace,Chelsea,Arsenal,Aston Villa,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
