FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,6000000,2,17,3.4,5.66666666666667E-07,2.83333333333333E-06,0,242363,0,6,0,0,0,1,0,2.8,6679,0,0,17,0,0.5,0,2.8,0,0,2,0,1,3.1,357829,0,-1,0,0,433,3452,0,0,50,Man City,Wolverhampton,Chelsea,Leeds United F.C.,Burnley,1.7,2.6,1.7,4.6,4.5,3.7,4.2,4.1,2.3,3.5,2.7,2.3,2,2.5,2.9,4,4.9,4.1,3.4,1.8,2.8,3.6,5,1.8,5,3.1,4.5,2.7,4.5,3.5,4.2,2.1,1.9,2.8,32.1
Max,Aarons,DEF,NOR,4500000,1,6,1.2,2.66666666666667E-07,1.33333333333333E-06,0,84104,1,14,0,0,0,0,0,1.3,2108,0,0,6,0,0.3,0,1.2,2,0,0,0,0,1.6,35809,0,-1,0,0,450,877,0,0,75,Watford,Everton,Burnley,Brighton,Chelsea,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.6,1.3,0.8,1,0.6,1.4,0.6,0.6,0.6,0.6,1,1.1,1.2,0.6,0.7,0.6,0.9,0.8,0.8,0.6,0.6,0.6,0.6,1,1.8,24
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,39665,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2438,0,-1,0,0,0,0,0,0,0,Tottenham,Man City,Southampton,Brentford F.C.,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,7000000,2,14,3.5,5E-07,2E-06,0,132478,0,5,0,0,0,0,0,2,3407,0,0,14,0,0.3,0,2.2,0,0,1,0,2,1.3,88754,0,-1,0,0,317,850,0,0,41,Man City,Wolverhampton,Chelsea,Leeds United F.C.,Burnley,1.8,2.8,1.8,4.7,4.7,3.9,4.3,4.2,2.4,3.6,2.9,2.4,2.1,2.6,3,4.1,5.1,4.2,3.6,1.9,2.9,3.7,5.1,1.9,5.2,3.3,4.6,2.8,4.7,3.6,4.4,2.2,2,3,16.3
,Adrian,GLK,LIV,4500000,0,0,0,0,0,0,8715,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3964,0,-1,0,0,0,102,0,0,0,Crystal Palace,Brentford F.C.,Man City,Watford,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,0,1,0.25,5.81395348837209E-08,2.32558139534884E-07,0,29209,0,0,0,0,0,0,0,0.2,448,-2,0,1,2,0,0,0.2,0,0,0,0,0,0.3,4188,0,-1,0,0,6,157,0,0,5,Brentford F.C.,Southampton,Newcastle,Aston Villa,Leeds United F.C.,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1
Kristoffer,Ajer,DEF,BRE,4500000,7,22,4.4,9.77777777777778E-07,4.88888888888889E-06,0,31020,1,2,0,0,0,0,0,4.9,835,0,0,22,0,0.9,0,4,1,0,3,0,0,1.1,57756,0,-1,0,0,430,2600,0,0,87,Wolverhampton,Liverpool,West Ham,Chelsea,Leicester,6.6,5.4,4,5.6,5.1,4,5.3,3,4,5,5.3,4.5,5.5,4.2,6,6.3,6.2,6.4,4.6,4,5.9,5,4.3,4.6,5.4,4.8,4.5,4.3,3.2,6.6,5.2,4.8,4,5,10.3
Nathan,Ake,DEF,MCI,4900000,6,8,2,4.08163265306122E-07,1.63265306122449E-06,0,29468,0,1,0,0,0,0,0,1.6,583,-1,0,8,1,0.3,0,1.5,0,0,1,0,0,0.5,24332,0,-1,0,0,180,1888,0,0,37,Southampton,Chelsea,Liverpool,Burnley,Brighton,1.8,1,2.1,2.1,1.3,2.3,1,1.4,1.6,1,1,1.7,1.9,1,2,1,1,2.2,1,2,1,3,1,2.1,1,1.7,1,2.6,1.7,1.7,1,1.6,1,2.5,4.2
Marc,Albrighton,MID,LEI,5400000,0,9,2.25,4.16666666666667E-07,1.66666666666667E-06,0,12946,1,2,0,0,0,1,0,1.7,357,-1,0,9,1,0.4,0,2.2,1,0,0,0,0,0.3,13545,0,-1,0,0,180,337,0,0,34,Brighton,Burnley,Crystal Palace,Man Utd,Brentford F.C.,1.6,2.4,1.1,1.1,1.2,2.3,1.4,1.8,2,1.4,1.1,2.3,2.1,1.1,1.1,1.1,2,1.6,1.1,1.1,1.2,2.6,1.2,1.4,1.1,1.4,1.1,2.2,1.4,2.3,1.1,1.2,1.3,1.8,10.9
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,1952,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Chelsea,Arsenal,Aston Villa,Newcastle,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
