FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,6000000,1,22,2.8,4.66666666666667E-07,3.66666666666667E-06,0,398974,0,10,0,0,0,1,0,3.7,9388,0,0,22,0,0.2,0,1.2,0,0,2,0,1,2.8,494055,0,-1,0,0,614,1176,0,0,64,Burnley,Watford,Aston Villa,Norwich,Liverpool,3.3,3.2,2.7,2.6,2,3.2,2.1,2.1,2,2,2.6,2.9,3.7,2.9,2.4,2,2.6,3,3.3,1.6,3.8,2.5,2.8,1.4,3,2.1,3.4,2.5,2,2.5,40.2
Max,Aarons,DEF,NOR,4400000,-3,15,1.7,3.86363636363636E-07,3.40909090909091E-06,0,117325,2,23,0,0,0,0,0,3.4,1920,-1,0,15,1,0.5,0,2.2,2,0,2,0,0,1.4,49918,1,-1,0,0,810,264,0,0,125,Chelsea,Leeds United F.C.,Brentford F.C.,Southampton,Wolverhampton,1.3,1.6,1.6,1.3,0.8,0.8,1.6,1.5,1.4,1.3,1.5,0.8,0.8,1.3,0.8,1.4,1.6,1.5,0.9,1.4,1.1,1.2,1.2,1.4,1.4,1,0.8,1.1,1.3,2.2,31.5
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41260,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Norwich,Newcastle,Burnley,Leicester,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,1,17,2.8,4.11764705882353E-07,2.5E-06,0,190043,0,6,0,0,0,0,0,2.5,665,-2,0,17,2,0.1,0,0.8,0,0,1,0,2,0.8,100871,0,-1,0,0,391,397,0,0,45,Burnley,Watford,Aston Villa,Norwich,Liverpool,3.3,3.2,2.7,2.6,2,3.2,2.1,2.1,2,2,2.6,2.9,3.7,2.9,2.4,2,2.6,3,3.3,1.6,3.8,2.5,2.8,1.4,3,2.1,3.4,2.5,2,2.5,23.8
,Adrian,GLK,LIV,4400000,0,0,0,0,0,0,13377,0,0,0,0,0,0,0,0,124,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,6795,0,-1,0,0,0,19,0,0,0,Man Utd,Brighton,West Ham,Arsenal,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,6,7,0.875,2.03488372093023E-07,1.62790697674419E-06,0,37403,0,0,0,0,0,0,0,1.6,108,-2,0,7,2,0.3,0,1.5,0,0,1,0,0,0.2,5371,0,-1,0,0,88,218,0,0,23,Leeds United F.C.,Everton,Crystal Palace,West Ham,Norwich,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.6,0.4,0.4,0.5,0.7,0.4,0.8,0.4,0.8,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.6,0.4,0.7,5
Kristoffer,Ajer,DEF,BRE,4500000,0,23,3.8,8.44444444444444E-07,5.11111111111111E-06,0,59026,1,5,0,0,0,0,0,5.1,790,0,0,23,0,0,0,0.2,1,0,3,0,0,1.1,86491,0,-1,0,0,520,420,0,0,98,Leicester,Burnley,Norwich,Newcastle,Everton,2.7,4.4,4,3.3,3.6,5.2,4.6,2.5,3.9,4.1,4.8,4.2,3.8,5.6,2.2,4.4,3.7,4.4,2.9,4.6,3.8,3.4,5,3.1,3.2,4.9,5.3,3.4,4.2,4.1,13.1
Nathan,Ake,DEF,MCI,4900000,0,14,1.75,3.57142857142857E-07,2.85714285714286E-06,0,45098,0,1,0,0,0,0,0,2.9,540,-1,0,14,1,0.3,0,1.5,0,0,2,0,0,0.5,34174,0,-1,0,0,270,261,0,0,64,Brighton,Crystal Palace,Man Utd,Everton,West Ham,1.1,1.5,1.3,1.5,1.3,0.9,0.9,0.9,1.7,0.9,1.1,1.6,0.9,1.3,0.9,1.5,1,2.3,0.9,1.6,0.9,1.3,0.9,1.7,1.3,1,1,1.1,1.2,1.6,6.7
Marc,Albrighton,MID,LEI,5300000,0,10,1.25,2.35849056603774E-07,1.88679245283019E-06,0,22286,1,2,0,0,0,1,0,1.9,599,-2,0,10,2,0,0,0.2,1,0,0,0,0,0.2,15639,0,-1,0,0,190,5,0,0,38,Brentford F.C.,Arsenal,Leeds United F.C.,Chelsea,Watford,0,0,0.6,0.6,0.8,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.6,1,0.6,0.7,0.6,0.6,0.6,0.9,0.6,0.8,0.6,0.6,0.6,0.7,11.1
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2114,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,West Ham,Man Utd,Everton,Leeds United F.C.,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,7500000,0,41,6.8,9.06666666666667E-07,5.46666666666667E-06,0,1900574,0,4,0,0,0,0,0,5.5,4621,0,0,41,0,0.2,0,1.8,8,0,4,0,2,23.8,1197228,0,-1,0,2,513,19320,0,0,173,Man Utd,Brighton,West Ham,Arsenal,Southampton,9.7,8.3,10.1,9.3,8.8,9,10.2,9.4,7.8,8.9,9.2,7.5,10,7.8,7.5,7.5,9,9.1,8.9,8,9.8,8.4,7,8.7,8.3,9,7.4,9.3,8.8,6.5,63.5
,Alisson,GLK,LIV,6000000,0,35,5,8.33333333333333E-07,5.83333333333333E-06,0,398342,0,6,0,15,0,0,0,5.8,3534,0,0,35,0,0.1,0,0.5,4,0,4,0,0,7.5,380870,0,-1,0,1,630,3121,0,0,155,Man Utd,Brighton,West Ham,Arsenal,Southampton,7.1,5.5,6.9,6.4,5.7,5.9,7.1,6.2,4.9,6.5,6.6,4.8,6.9,5.8,4.8,4.7,6.1,6.5,6.1,5.3,6.7,6.2,4.4,6.1,5.4,5.9,4.7,6.9,5.7,4,15.8
,Allan,MID,EVE,4600000,1,27,3,6.52173913043478E-07,5.8695652173913E-06,0,418404,1,13,0,0,0,0,0,5.9,11936,1,0,27,-1,0.6,0,2.8,2,0,2,0,2,7,828919,0,-1,0,0,792,4668,0,0,131,Watford,Wolverhampton,Tottenham,Man City,Brentford F.C.,3.1,3.7,2.7,1.5,2.6,1.6,2.7,1.9,2.1,3,2.4,3.4,2.3,2.7,3.1,2.5,2.8,2.3,2.1,1.8,2.5,2.5,2.2,2,3.4,1.6,2,2.3,2.1,1.8,27.8
Miguel,Almiron,MID,NEW,5300000,1,14,1.8,3.39622641509434E-07,2.64150943396226E-06,0,46137,1,16,0,0,0,0,0,2.6,392,-2,0,14,2,0.2,0,1.2,0,0,0,0,0,0.3,28271,0,-1,0,0,599,152,0,0,75,Crystal Palace,Chelsea,Brighton,Brentford F.C.,Arsenal,0.9,0.9,0.9,0.9,0.9,1.7,1.5,0.9,0.9,0.9,0.9,0.9,0.9,1.5,0.9,1,1.5,0.9,1.1,1,0.9,1.6,0.9,1.1,1.4,1.1,0.9,0.9,1.2,1,25.8
