FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,6000000,2,45,3.5,5.83333333333333E-07,7.5E-06,0,554010,0,18,0,0,0,2,0,7.5,9538,0,0,45,0,0.8,0,4.5,3,0,4,0,3,4,749052,0,-1,0,1,1037,9731,0,0,129,Leicester,Brighton,Arsenal,Crystal Palace,Brentford F.C.,4.3,3.4,2.5,2.6,3.4,3,4,4.9,2.8,3.2,2.8,4.1,4.6,4.4,2.4,5,3.1,3.7,2.1,4.2,3,3.9,3.2,2.9,3.9,81.2
Max,Aarons,DEF,NOR,4300000,2,30,2.1,4.88372093023256E-07,6.97674418604651E-06,0,142443,3,28,0,0,0,0,0,7,1226,-2,0,30,2,0.8,0,3.5,2,0,3,0,1,1.2,64778,1,-1,0,0,1260,523,0,0,196,Newcastle,Tottenham,Man Utd,Aston Villa,West Ham,1,2.3,1.8,2.1,1.7,2.6,1.1,1.2,2.3,1,1.8,2.2,2.2,1,2.1,1.8,2.1,1.8,1.9,2,1.4,1.1,2.1,1.4,3,52.6
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,41791,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Watford,West Ham,Leeds United F.C.,Everton,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6800000,9,45,4.1,6.02941176470588E-07,6.61764705882353E-06,0,225579,0,12,0,0,0,3,0,6.6,1227,-2,0,45,2,0.8,0,5.2,7,0,3,0,2,1.2,171234,0,-1,0,0,767,12198,0,0,151,Leicester,Brighton,Arsenal,Crystal Palace,Brentford F.C.,5.3,4.3,3.2,3.4,4.3,3.8,5,5.9,3.6,4,3.6,5.1,5.6,5.5,3.2,5.9,3.9,4.6,2.7,5.2,3.8,4.9,4.1,3.7,4.9,58.5
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,16140,0,0,0,0,0,0,0,0,121,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,7478,0,-1,0,0,0,46,0,0,0,Everton,Wolverhampton,Aston Villa,Newcastle,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4300000,6,33,2.53846153846154,5.90339892665474E-07,7.67441860465116E-06,0,46067,1,3,0,0,0,0,0,7.7,1118,-2,0,33,2,1.3,0,5.5,3,0,4,0,1,0.6,43776,0,-1,0,0,538,2761,0,0,125,Burnley,Liverpool,Man City,Brighton,Chelsea,2.2,2.9,2.8,2.8,2.4,1.3,2.5,3,1.9,3,3,3.3,1.6,2.7,2.1,2.4,2.7,2.4,1.7,2.6,2.2,2.4,3.3,2.3,3.3,34.3
Kristoffer,Ajer,DEF,BRE,4400000,0,24,3.4,7.72727272727273E-07,5.45454545454545E-06,0,103159,1,6,0,0,0,0,0,5.5,1012,-1,0,24,1,0,0,0,1,0,3,0,0,0.6,90435,0,-1,0,0,565,5,0,0,101,Tottenham,Leeds United F.C.,Watford,Man Utd,Southampton,0,0,0,0,0,0,0,3.7,4.7,2.7,4.3,3.3,3.9,2.6,3.4,3.5,3.3,4.8,3.7,2.4,4.6,4.5,3.1,3.7,4.1,16.1
Nathan,Ake,DEF,MCI,4800000,2,17,1.30769230769231,2.72435897435897E-07,3.54166666666667E-06,0,54128,0,2,0,0,0,0,0,3.5,219,-2,0,17,2,0.2,0,0.8,0,0,2,0,0,0.4,37202,0,-1,0,0,374,198,0,0,81,Aston Villa,Watford,Wolverhampton,Leeds United F.C.,Newcastle,0.7,0.7,0.7,1.1,0.7,0.7,1,0.8,0.9,0.7,0.9,0.7,1.5,0.7,0.8,0.7,0.9,0.7,1.2,0.7,0.7,0.9,0.7,0.9,0.9,8.8
Marc,Albrighton,MID,LEI,5200000,0,13,1,1.92307692307692E-07,2.5E-06,0,26614,1,5,0,0,0,1,0,2.5,81,-3,0,13,3,0.2,0,0.8,1,0,0,0,0,0.1,16430,0,-1,0,0,295,50,0,0,52,Southampton,Aston Villa,Newcastle,Tottenham,Everton,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,15.5
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Brentford F.C.,Norwich,Brighton,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
