FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,0,52,1.79310344827586,3.14579552329099E-07,9.12280701754386E-06,0,866448,1,23,0,0,0,2,0,9.1,360,-3,0,52,3,0.1,0,0.4,3,0,4,0,3,1.5,839572,0,-1,0,1,1212,405,0,0,142,Leeds United F.C.,Chelsea,Arsenal,Burnley,Brighton,0,1.5,0.9,2.4,1.2,1.5,1.1,1.1,1.1,88
Max,Aarons,DEF,NOR,4300000,0,49,1.8,4.18604651162791E-07,1.13953488372093E-05,0,191452,6,54,0,0,0,0,0,11.4,228,-2,0,49,2,0.2,0,1,2,0,4,0,1,0.9,90651,1,-1,0,0,2397,6,0,0,345,Brighton,Burnley,Man Utd,Newcastle,Aston Villa,0,1.6,1.8,1.4,1.1,1.2,2,1.5,1.8,82.3
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42267,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Brentford F.C.,Southampton,Leeds United F.C.,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0
Che,Adams,FWD,SOU,6900000,0,92,4,5.79710144927536E-07,1.33333333333333E-05,0,626461,0,27,0,0,0,7,0,13.3,3579,-1,1,92,1,0.6,0,4,11,0,5,0,4,5.7,973498,0,-1,0,0,1645,4465,-1,0,310,Leeds United F.C.,Chelsea,Arsenal,Burnley,Brighton,0,4.7,3.5,8.4,4.3,4.9,3.9,3.9,4.1,128.7
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,-1,0,0,0,27,0,0,0,Arsenal,Leicester,Newcastle,Leeds United F.C.,Southampton,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,19580,0,0,0,0,0,0,0,0,12,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8499,0,-1,0,0,0,4,0,0,0,Watford,Man City,Aston Villa,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4400000,1,72,2.48275862068966,5.64263322884013E-07,1.63636363636364E-05,0,223953,4,12,0,0,0,0,0,16.4,1586,-1,0,72,1,0.4,0,1.7,7,0,7,0,4,2,346362,0,-1,0,1,1372,320,0,0,290,Leeds United F.C.,Aston Villa,Newcastle,Man City,Burnley,2.6,2.1,1.7,3.1,2.8,2.1,3.2,1.9,3.4,68.8
Kristoffer,Ajer,DEF,BRE,4400000,1,53,3.1,7.04545454545455E-07,1.20454545454545E-05,0,120934,4,23,0,0,0,0,0,12,391,-1,0,53,1,1,0,4.2,3,0,6,0,2,0.7,114105,0,-1,0,0,1405,155,0,0,265,Leicester,Chelsea,West Ham,Watford,Tottenham,2.5,4,4.2,2.4,3.9,3.3,3.2,3.1,3.9,39.6
Nathan,Ake,DEF,MCI,4700000,0,38,1.31034482758621,2.78796771826853E-07,8.08510638297872E-06,0,67935,0,3,0,0,0,1,0,8.1,30,-3,0,38,3,0,0,0,0,0,4,0,0,0.4,48029,0,-1,0,0,669,23,0,0,170,Burnley,Liverpool,Wolverhampton,Brighton,Watford,0,1,1.5,1.7,0.7,0.9,0.7,0.9,0.8,25.3
Marc,Albrighton,MID,LEI,5200000,0,35,1.34615384615385,2.5887573964497E-07,6.73076923076923E-06,0,30767,2,21,0,0,0,1,0,6.7,126,-3,0,35,3,0.5,0,2.6,2,0,2,0,1,0.1,21126,0,-1,0,0,992,4,0,0,148,Brentford F.C.,Man Utd,Crystal Palace,Newcastle,Everton,0,0,0.8,1.4,0.8,0.7,0.8,0.9,0.9,43.5
