FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,0,53,1.55882352941176,2.73477812177503E-07,9.29824561403509E-06,0,884567,1,27,0,0,0,2,0,9.3,883,-3,0,53,3,0,0,0.2,3,0,4,0,3,1.4,853425,0,-1,0,1,1257,263,0,0,143,Crystal Palace,Brentford F.C.,Liverpool,Leicester,,1.2,0.8,0.9,0.9,89.5
Max,Aarons,DEF,NOR,4300000,0,50,1.7,3.95348837209302E-07,1.16279069767442E-05,0,198014,7,56,0,0,0,0,0,11.6,155,-2,0,50,2,0,0,0.2,2,0,4,0,1,0.9,92393,1,-1,0,0,2519,99,0,0,355,Aston Villa,West Ham,Leicester,Wolverhampton,Tottenham,1.1,2.9,1.3,1.5,87.1
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42332,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Everton,Wolverhampton,Leeds United F.C.,Leicester,Watford,0,0,0,0,0
Che,Adams,FWD,SOU,6700000,2,101,3.6,5.37313432835821E-07,1.50746268656716E-05,0,924853,0,37,0,0,0,7,0,15.1,15006,-3,0,101,3,0.2,0,1.4,11,0,5,0,4,3.6,1082037,0,-1,0,0,1999,781,0,0,329,Crystal Palace,Brentford F.C.,Liverpool,Leicester,,4.2,3.2,3.4,3.4,156.2
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,0,-1,0,0,0,34,0,0,0,Southampton,Watford,Aston Villa,Everton,Man Utd,0,0,0,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,19921,0,0,0,0,0,0,0,0,27,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8651,0,-1,0,0,0,5,0,0,0,Newcastle,Tottenham,Aston Villa,Southampton,Wolverhampton,0,0,0,0,0
Rayan,Ait Nouri,DEF,WOL,4100000,1,74,2.24242424242424,5.46932742054693E-07,1.80487804878049E-05,0,303764,4,15,0,0,0,0,0,18,1853,-4,1,74,4,0.2,0,0.7,7,0,7,0,4,1.3,358735,0,-1,0,1,1466,1739,-1,0,303,Brighton,Chelsea,Man City,Norwich,Liverpool,1.9,5,1.7,2.9,71.1
Kristoffer,Ajer,DEF,BRE,4400000,0,66,3.3,7.5E-07,1.5E-05,0,130843,4,25,0,0,0,0,0,15,364,-1,0,66,1,0.6,0,2.8,3,0,7,0,3,0.6,122025,0,-1,0,0,1667,213,0,0,319,Man Utd,Southampton,Everton,Leeds United F.C.,,3.4,3.6,3.1,4.1,58.8
Nathan,Ake,DEF,MCI,4700000,7,53,1.60606060606061,3.41715022566086E-07,1.12765957446809E-05,0,71187,0,3,0,0,0,2,0,11.3,374,-3,0,53,3,0.5,0,2.2,0,0,5,0,0,0.4,56298,0,-1,0,0,890,1370,0,0,225,Leeds United F.C.,Newcastle,Wolverhampton,West Ham,Aston Villa,0,2.1,1.3,1.1,37.4
Marc,Albrighton,MID,LEI,5200000,1,36,1.125,2.16346153846154E-07,6.92307692307692E-06,0,32334,3,24,0,0,0,1,0,6.9,31,-3,0,36,3,0,0,0.2,2,0,2,0,1,0.1,21822,0,-1,0,0,1082,65,0,0,154,Tottenham,Everton,Norwich,Watford,Chelsea,0.6,1.3,1.3,0.7,45.6
Toby,Alderweireld,DEF,TOT,5000000,0,0,0,0,0,0,2287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Leicester,Liverpool,Arsenal,Burnley,Norwich,0,0,0,0,0
Ryan,Alebiosu,DEF,ARS,4000000,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,-1,0,0,0,0,0,0,0,West Ham,Leeds United F.C.,Tottenham,Newcastle,Everton,0,0,0,0,0
Ajibola,Alese,DEF,WHU,4000000,0,0,0,0,0,0,1558,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2489,0,-1,0,0,0,19,0,0,0,Arsenal,Norwich,Man City,Brighton,,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,8400000,0,202,7,8.33333333333333E-07,2.4047619047619E-05,0,3794228,2,19,0,0,0,2,0,24,14167,9,0,202,-9,0.5,0,3.8,32,0,18,0,12,38.9,4369046,0,-1,0,5,2583,5005,0,0,822,Newcastle,Tottenham,Aston Villa,Southampton,Wolverhampton,7.1,18.8,7.9,9.5,254.6
,Alisson,GLK,LIV,6000000,9,166,5.2,8.66666666666667E-07,2.76666666666667E-05,0,878551,0,20,0,65,0,0,0,27.7,2027,0,0,166,0,0.9,0,5.5,15,0,20,0,1,9,951825,1,-1,0,2,2880,9294,0,0,722,Newcastle,Tottenham,Aston Villa,Southampton,Wolverhampton,4.5,13.4,5.1,6.8,64.7
,Allan,MID,EVE,4300000,1,57,2.1,4.88372093023256E-07,1.32558139534884E-05,0,997164,7,38,0,0,0,0,0,13.3,863,-2,0,57,2,0.2,0,1,2,0,6,0,3,3,1073018,0,-1,0,0,2172,389,0,1,310,Chelsea,Leicester,Watford,Brentford F.C.,Crystal Palace,1.2,2.7,3.5,1,70.1
Miguel,Almiron,MID,NEW,5000000,2,52,1.9,3.8E-07,1.04E-05,0,68806,2,28,0,0,0,1,0,10.4,243,-5,0,52,5,0.5,0,2.5,0,0,5,0,0,0.2,45759,0,-1,0,0,1464,102,0,0,196,Liverpool,Man City,Arsenal,Burnley,,1,1,1.2,1.1,74.9
Marcos,Alonso,DEF,CHE,5600000,1,112,4.5,8.03571428571429E-07,2E-05,0,3101276,8,21,0,0,0,3,0,20,2635,1,0,112,-1,1.2,0,6.8,13,0,8,0,5,12.8,3680422,0,-1,0,5,1939,36605,0,0,477,Everton,Wolverhampton,Leeds United F.C.,Leicester,Watford,5.3,11.1,5.1,3.8,163.9
,Alvaro Fernandez,DEF,MUN,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,-1,0,0,0,30,0,0,0,Brentford F.C.,Brighton,Crystal Palace,,,0,0,0,0,0
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,27776,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,818,0,-1,0,0,0,0,0,0,0,Arsenal,Norwich,Man City,Brighton,,0,0,0,0,0
Steven,Alzate,MID,BHA,4800000,0,13,0.382352941176471,7.9656862745098E-08,2.70833333333333E-06,0,6361,0,7,0,0,0,0,0,2.7,7,-2,0,13,2,0,0,0,0,0,0,0,0,0,3538,0,-1,0,0,401,10,0,0,77,Wolverhampton,Man Utd,Leeds United F.C.,West Ham,,0.2,0.2,0.2,0.2,13.3
Daniel,Amartey,DEF,LEI,4000000,0,45,2,5E-07,1.125E-05,0,1766897,3,37,0,0,0,0,0,11.2,7351,0,0,45,0,0.2,0,0.6,4,0,4,0,0,11,1544014,0,-1,0,1,1807,4706,0,0,353,Tottenham,Everton,Norwich,Watford,Chelsea,1.6,3.8,3.1,1.7,47.4
