FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
,A.Armstrong,FWD,SOU,5700000,0,55,1.52777777777778,2.68031189083821E-07,9.64912280701754E-06,0,890092,1,30,0,0,0,2,0,9.6,489,-3,0,55,3,0.1,0,0.4,3,0,4,0,3,1.4,855786,0,-1,0,1,1347,332,0,0,146,Liverpool,Leicester,,,,0.8,0.8,91.3
Max,Aarons,DEF,NOR,4300000,4,55,1.7,3.95348837209302E-07,1.27906976744186E-05,0,199585,8,64,0,0,0,0,0,12.8,143,-2,0,55,2,0.3,0,1.2,2,0,4,0,2,0.9,93354,1,-1,0,0,2789,211,0,0,398,Wolverhampton,Tottenham,,,,1.3,1.5,97.4
Tammy,Abraham,FWD,CHE,6500000,0,0,0,0,0,0,42356,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2438,0,-1,0,0,0,0,0,0,0,Leicester,Watford,,,,0,0,0
Che,Adams,FWD,SOU,6500000,1,102,3.5,5.38461538461538E-07,1.56923076923077E-05,0,1020204,0,37,0,0,0,7,0,15.7,4004,-5,0,102,5,0.2,0,1.2,11,0,5,0,4,2.7,1090910,0,-1,0,0,2007,1316,0,0,331,Liverpool,Leicester,,,,3.2,3.2,156.4
Tayo,Adaramola,DEF,CRY,4000000,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,0,-1,0,0,0,42,0,0,0,Aston Villa,Everton,Man Utd,,,0,0,0
,Adrian,GLK,LIV,4300000,0,0,0,0,0,0,20074,0,0,0,0,0,0,0,0,16,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,8727,0,-1,0,0,0,18,0,0,0,Southampton,Wolverhampton,,,,0,0,0
Rayan,Ait Nouri,DEF,WOL,4100000,11,86,2.38888888888889,5.82655826558266E-07,2.09756097560976E-05,0,319856,4,23,0,0,0,1,0,21,1273,-4,0,86,4,0.6,0,2.6,10,0,7,0,4,1.3,378466,0,-1,0,2,1736,2685,0,0,355,Norwich,Liverpool,,,,1.9,3.2,86.2
Kristoffer,Ajer,DEF,BRE,4400000,-1,80,3.5,7.95454545454545E-07,1.81818181818182E-05,0,134970,5,30,0,0,0,1,0,18.2,647,-1,0,80,1,0.8,0,3.5,5,0,8,0,3,0.7,131979,0,-1,0,1,1905,1755,0,0,374,Everton,Leeds United F.C.,,,,3.3,4.4,69
Nathan,Ake,DEF,MCI,4700000,0,54,1.5,3.19148936170213E-07,1.14893617021277E-05,0,75948,0,3,0,0,0,2,0,11.5,918,-3,0,54,3,0.4,0,1.7,0,0,5,0,0,0.6,72963,0,-1,0,0,919,636,0,0,234,West Ham,Aston Villa,,,,1.2,0.9,37.9
Marc,Albrighton,MID,LEI,5200000,4,40,1.14285714285714,2.1978021978022E-07,7.69230769230769E-06,0,32730,3,24,0,0,0,1,0,7.7,50,-3,0,40,3,0.1,0,0.7,2,0,2,0,2,0.1,22395,0,-1,0,0,1127,73,0,0,169,Watford,Chelsea,Southampton,,,1.2,0.7,49.7
