"FirstName","Surname","PositionsList","Team","Cost","PointsLastRound","TotalPoints","TransfersOut","YellowCards","GoalsConceded","GoalsConcededPoints","GoalsScored","GoalsScoredPoints","TransfersOutRound","PriceRise","PriceFallRound","LastSeasonPoints","PriceFall","PenaltiesMissed","Form","Bonus","CleanSheets","CleanSheetPoints","Assists","SelectedByPercent","TransfersIn","OwnGoals","MinutesPlayed","TransfersInRound","PriceRiseRound","RedCards","Week","Season"
"Tammy","Abraham","FWD","SWA",5400000,1,86,1348417,0,31,0,5,0,0,-1,0,86,1,0,0,11,4,0,3,3.4,1332277,0,1715,0,0,0,"37",2017
"Sergio","Aguero","FWD","MCI",11500000,0,169,4192169,2,12,0,21,0,0,0,0,169,0,0,0,22,13,0,6,10.7,4137173,0,1960,0,0,0,"37",2017
"Nathan","Ake","DEF","BOU",5e+06,2,102,550652,5,59,0,2,0,0,0,0,102,0,0,0,8,6,0,3,6.1,473457,0,3352,0,0,0,"37",2017
"Marc","Albrighton","MID","LEI",5500000,0,107,469984,5,42,0,2,0,0,0,0,107,0,0,0,12,8,0,8,2.2,480100,0,2533,0,0,1,"37",2017
"Trent","Alexander-Arnold","DEF","LIV",4400000,6,83,386082,3,17,0,1,0,0,-1,0,83,1,0,0,10,8,0,2,5.5,567608,0,1573,0,0,0,"37",2017
"Joe","Allen","MID","STK",5100000,1,109,260198,8,55,0,2,0,0,-4,0,109,4,0,0,12,6,0,6,1.7,132625,0,3139,0,0,0,"37",2017
"Bamidele","Alli","MID","TOT",9e+06,1,175,2312061,7,28,0,9,0,0,-5,0,175,5,0,0,12,16,0,13,13.8,1310914,0,2957,0,0,0,"37",2017
"Marcos","Alonso","DEF","CHE",7100000,0,165,1821079,6,30,0,7,0,0,1,0,165,-1,0,0,15,13,0,2,16.2,1720420,0,2855,0,0,0,"37",2017
NA,"Andre Ayew","MID","SWA",6800000,5,77,107492,5,42,0,3,0,0,-2,0,77,2,1,0,2,3,0,5,1,60750,0,1834,0,0,0,"37",2017
"Marko","Arnautovic","MID","WHU",7100000,12,144,1122460,5,50,0,11,0,0,1,0,144,-1,0,0,12,7,0,7,7.6,1535109,0,2309,0,0,1,"37",2017
"Christian","Atsu","MID","NEW",4800000,0,78,540835,1,22,0,2,0,0,-2,0,78,2,0,0,5,6,0,4,1.2,453946,0,1776,0,0,0,"37",2017
"Pierre-Emerick","Aubameyang","FWD","ARS",10800000,8,87,726140,0,15,0,10,0,0,3,0,87,-3,1,0,12,4,0,4,14,1545427,0,1056,0,0,0,"37",2017
"Serge","Aurier","DEF","TOT",5900000,0,77,113870,1,13,0,2,0,0,-1,0,77,1,0,0,9,6,0,2,0.7,138247,0,1427,0,0,1,"37",2017
"Cesar","Azpilicueta","DEF","CHE",6900000,1,175,1138791,1,38,0,2,0,0,4,0,175,-4,0,0,25,15,0,6,21,1565365,1,3330,0,0,0,"37",2017
"Leighton","Baines","DEF","EVE",5700000,1,82,496323,1,34,0,2,0,0,-3,0,82,3,0,0,10,5,0,3,4,175183,0,1909,0,0,0,"37",2017
"Tiemoue","Bakayoko","MID","CHE",4900000,1,77,351226,3,24,0,2,0,0,-1,0,77,1,0,0,5,11,0,2,1.2,359695,0,2121,0,0,1,"37",2017
"Ashley","Barnes","FWD","BUR",5300000,0,92,305066,10,23,0,9,0,0,-2,0,92,2,0,0,9,5,0,0,3.2,440245,0,2150,0,0,0,"37",2017
"Hector","Bellerin","DEF","ARS",5900000,6,132,960552,5,44,0,2,0,0,-1,0,132,1,0,0,11,12,0,4,10.3,748052,0,3050,0,0,0,"37",2017
"Christian","Benteke","FWD","CRY",7500000,1,84,528298,6,36,0,3,0,0,-5,0,84,5,1,0,5,6,0,7,2.5,199121,0,2234,0,0,0,"37",2017
NA,"Bernardo Silva","MID","MCI",7200000,3,112,224703,0,10,0,6,0,0,-8,0,112,8,0,0,8,9,0,5,1.4,188040,0,1514,0,0,0,"37",2017
"Ryan","Bertrand","DEF","SOU",5300000,6,103,812081,2,49,0,0,0,0,-2,0,103,2,0,0,4,8,0,5,5.2,327658,0,3135,0,0,0,"37",2017
NA,"Bruno","DEF","BHA",4500000,0,84,109790,3,23,0,0,0,0,0,0,84,0,0,0,8,10,0,0,0.8,137877,0,2014,0,0,0,"37",2017
"Chris","Brunt","MID","WBA",5e+06,1,81,140787,5,23,0,0,0,0,-5,0,81,5,0,0,6,9,0,8,0.5,128820,0,1917,0,0,0,"37",2017
"Dominic","Calvert-Lewin","FWD","EVE",4900000,0,88,1203014,4,28,0,4,0,0,-1,0,88,1,0,0,3,6,0,8,3.5,1297077,0,1871,0,0,0,"37",2017
"Emre","Can","MID","LIV",4900000,0,92,736665,8,29,0,3,0,0,-1,0,92,1,0,0,10,8,0,6,4,550138,0,2089,0,0,0,"37",2017
"Tom","Carroll","MID","SWA",4300000,2,85,682952,3,39,0,0,0,0,-2,0,85,2,0,0,6,7,0,4,4.5,622581,0,2562,0,0,0,"37",2017
NA,"Cedric","DEF","SOU",4700000,1,85,733910,3,44,0,0,0,0,-3,0,85,3,0,0,2,7,0,3,4,333610,0,2794,0,0,0,"37",2017
NA,"Chamberlain","MID","LIV",5500000,0,94,491196,3,28,0,3,0,0,-5,0,94,5,0,0,5,5,0,7,2.2,405944,0,1718,0,0,0,"37",2017
NA,"Chicharito","FWD","WHU",6700000,0,93,1958547,3,36,0,8,0,0,-3,0,93,3,0,0,14,6,0,2,7.2,1272180,0,1537,0,0,0,"37",2017
"Eric Maxim","Choupo-Moting","MID","STK",5200000,0,107,805583,3,45,0,5,0,0,-3,0,107,3,0,0,9,5,0,5,1.9,847130,0,2241,0,0,0,"37",2017
"Andreas","Christensen","DEF","CHE",5300000,1,79,528289,0,23,0,0,0,0,-2,0,79,2,0,0,4,8,0,0,1.9,588107,0,2067,0,0,0,"37",2017
"Sam","Clucas","MID","SWA",4700000,1,75,52093,2,30,0,3,0,0,-3,0,75,3,0,0,4,5,0,1,0.4,70980,0,2039,0,0,0,"37",2017
"Jack","Cork","MID","BUR",4500000,2,100,419154,7,39,0,2,0,0,0,0,100,0,0,0,6,12,0,1,3.6,553294,0,3420,0,0,0,"37",2017
"Philippe","Coutinho","MID","LIV",9100000,0,103,1731180,0,14,0,7,0,0,1,0,103,-1,0,0,15,5,0,7,3,1531129,0,1109,0,0,0,"37",2017
"Aaron","Cresswell","DEF","WHU",4900000,2,118,320817,7,60,0,1,0,0,-1,0,118,1,0,0,10,10,0,7,3.2,502197,0,3069,0,0,0,"37",2017
"Charlie","Daniels","DEF","BOU",4700000,5,94,1178667,0,50,0,1,0,0,-3,0,94,3,0,0,4,6,0,3,6.6,592879,0,3001,0,0,0,"37",2017
NA,"Danilo","DEF","MCI",5e+06,9,100,449727,2,11,0,3,0,0,-5,0,100,5,0,0,8,9,0,2,2.8,353830,0,1340,0,0,0,"37",2017
NA,"David Silva","MID","MCI",8200000,0,169,2594234,5,18,0,9,0,0,2,0,169,-2,0,0,26,14,0,11,11.5,2818085,0,2431,0,0,0,"37",2017
"Ben","Davies","DEF","TOT",5800000,0,143,1984637,3,20,0,2,0,0,3,0,143,-3,0,0,14,12,0,7,21.9,2774181,0,2323,0,0,0,"37",2017
"Craig","Dawson","DEF","WBA",4800000,0,87,335441,6,39,0,2,0,0,-2,0,87,2,0,0,4,8,0,1,1.5,129651,0,2510,0,0,0,"37",2017
"Kevin","De Bruyne","MID","MCI",10300000,6,209,2488550,2,22,0,8,0,0,3,0,209,-3,0,0,25,19,0,18,21.4,2110213,0,3073,0,0,0,"37",2017
"Laurent","Depoitre","FWD","HUD",5e+06,1,94,676216,1,34,0,6,0,0,-5,0,94,5,0,0,14,4,0,2,2.6,796262,0,1807,0,0,0,"37",2017
"Eric","Dier","MID","TOT",4700000,2,85,306589,4,30,0,0,0,0,-3,0,85,3,0,0,2,15,0,2,2.4,211695,0,2822,0,0,0,"37",2017
"Mame Biram","Diouf","FWD","STK",5200000,2,99,625742,6,49,0,6,0,0,-3,0,99,3,0,0,8,8,0,3,1.9,677119,0,2592,0,0,0,"37",2017
"Abdoulaye","Doucoure","MID","WAT",5200000,2,136,1690548,10,63,0,7,0,0,2,0,136,-2,0,0,16,9,0,4,11,2158021,0,3324,0,0,0,"37",2017
"Shane","Duffy","DEF","BHA",4600000,1,100,300665,8,52,0,0,0,0,1,0,100,-1,0,0,7,10,0,2,2.9,444847,0,3292,0,0,0,"37",2017
"Lewis","Dunk","DEF","BHA",4500000,0,97,275863,7,54,0,1,0,0,0,0,97,0,0,0,7,10,0,1,2.9,356298,4,3420,0,0,0,"37",2017
"Christian","Eriksen","MID","TOT",9700000,2,199,2307725,0,33,0,11,0,0,2,0,199,-2,0,0,23,17,0,10,19.4,2542509,0,3218,0,0,0,"37",2017
"Jonny","Evans","DEF","WBA",4900000,0,78,132817,7,38,0,2,0,0,-1,0,78,1,0,0,5,6,0,2,1,134223,1,2269,0,0,0,"37",2017
"Cesc","Fabregas","MID","CHE",6800000,0,89,709968,4,26,0,2,0,0,-2,0,89,2,0,0,7,11,0,4,3.1,423827,0,2300,0,0,1,"37",2017
"Federico","Fernandez","DEF","SWA",4500000,0,85,308826,5,44,0,1,0,0,0,0,85,0,0,0,10,7,0,1,3.3,391091,1,2676,0,0,0,"37",2017
NA,"Fernandinho","MID","MCI",5e+06,3,120,761299,7,24,0,5,0,0,0,0,120,0,0,0,9,15,0,4,4.6,855827,0,2880,0,0,0,"37",2017
"Roberto","Firmino","FWD","LIV",9500000,2,181,3869077,1,32,0,15,0,0,10,0,181,-10,0,0,29,16,0,8,36.1,4655247,0,2760,0,0,0,"37",2017
"Ryan","Fraser","MID","BOU",5100000,2,97,138149,0,38,0,5,0,0,-4,0,97,4,0,0,13,2,0,3,0.7,112022,0,2003,0,0,0,"37",2017
